assists,bonus,bps,clean_sheets,creativity,ea_index,element_code,end_cost,goals_conceded,goals_scored,ict_index,id,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season,season_name,start_cost,threat,total_points,yellow_cards
1,6,0,0,0.0,0,20695,48,19,1,0.0,500,0.0,1374,0,0,0,1,0,1,2006/07,50,0.0,48,6
4,12,0,0,0.0,0,20695,49,35,3,0.0,1288,0.0,2711,0,0,0,0,0,2,2007/08,50,0.0,108,5
5,21,0,0,0.0,0,20695,64,36,3,0.0,1960,0.0,2677,0,0,0,1,0,3,2008/09,60,0.0,115,3
9,17,0,0,0.0,0,20695,84,18,5,0.0,2386,0.0,2613,0,0,0,0,0,4,2009/10,85,0.0,144,3
2,10,0,4,0.0,0,20695,79,6,1,0.0,3013,0.0,742,0,0,0,0,0,5,2010/11,85,0.0,42,1
14,17,0,14,0.0,534,20695,83,18,4,0.0,3668,0.0,2124,0,0,0,0,0,6,2011/12,80,0.0,140,3
7,4,0,8,0.0,412,20695,82,30,1,0.0,4358,0.0,2207,0,0,0,0,0,7,2012/13,90,0.0,86,6
3,4,91,9,0.0,379,20695,70,22,2,0.0,5070,0.0,1947,0,0,0,1,0,8,2013/14,75,0.0,72,6
5,6,571,11,0.0,468,20695,57,21,0,0.0,5791,0.0,2580,0,0,0,0,0,9,2014/15,60,0.0,88,4
3,10,256,5,0.0,186,20695,51,6,0,0.0,6253,0.0,857,0,0,0,0,0,10,2015/16,55,0.0,59,1
3,9,612,12,614.8,0,20695,58,20,1,140.6,6972,547.2,2483,0,0,0,0,0,11,2016/17,55,243.0,120,5
1,13,660,16,438.5,0,20695,69,22,3,125.5,7656,559.2,2741,0,0,0,0,0,12,2017/18,65,259.0,146,7
