h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.418711,2.04268,0.418711,2.04268,"{'att': 260, 'def': 24}","{'att': 214, 'def': 29}",3,7,0,1,0.2815,l,2024-08-16 19:00:00,0,0,1,0,-1.6239689999999998
h,1.96218,0.857005,1.96218,0.857005,"{'att': 318, 'def': 31}","{'att': 274, 'def': 20}",7,1,2,1,2.1938,w,2024-08-24 14:00:00,1,0,0,3,1.105175
a,1.18883,0.707048,1.18883,0.707048,"{'att': 229, 'def': 21}","{'att': 250, 'def': 27}",4,2,1,1,1.7666,d,2024-08-31 14:00:00,0,1,0,1,0.48178200000000004
h,2.88601,0.682719,2.88601,0.682719,"{'att': 164, 'def': 35}","{'att': 213, 'def': 31}",6,4,1,1,2.7014,d,2024-09-14 14:00:00,0,1,0,1,2.203291
h,3.21141,1.09768,3.21141,1.09768,"{'att': 352, 'def': 27}","{'att': 149, 'def': 13}",7,3,3,1,2.5946000000000002,w,2024-09-21 14:00:00,1,0,0,3,2.11373
a,1.43592,0.614351,0.674751,0.614351,"{'att': 157, 'def': 19}","{'att': 281, 'def': 14}",4,8,1,0,2.1275,w,2024-09-28 14:00:00,1,0,0,3,0.06040000000000001
a,2.75846,1.36684,2.75846,1.36684,"{'att': 310, 'def': 14}","{'att': 216, 'def': 15}",11,8,2,3,2.289,l,2024-10-05 14:00:00,0,0,1,0,1.3916199999999999
h,2.63074,1.43595,1.86957,1.43595,"{'att': 247, 'def': 20}","{'att': 252, 'def': 15}",3,9,1,3,2.2527000000000004,l,2024-10-19 14:00:00,0,0,1,0,0.4336199999999999
a,1.49531,0.884845,1.49531,0.884845,"{'att': 219, 'def': 20}","{'att': 360, 'def': 17}",7,7,1,1,1.8721,d,2024-10-26 16:30:00,0,1,0,1,0.6104649999999999
h,1.43017,0.739231,1.43017,0.739231,"{'att': 156, 'def': 26}","{'att': 296, 'def': 24}",13,2,2,1,1.8809,w,2024-11-04 20:00:00,1,0,0,3,0.690939
