h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,2.8047,2.6703,2.04353,2.6703,"{'att': 224, 'def': 24}","{'att': 260, 'def': 23}",5,8,1,2,1.4689999999999999,l,2024-08-17 16:30:00,0,0,1,0,-0.62677
a,1.53421,1.3761,1.53421,1.3761,"{'att': 302, 'def': 22}","{'att': 235, 'def': 34}",5,6,2,0,1.4699,w,2024-08-24 14:00:00,1,0,0,3,0.15810999999999997
h,0.947201,3.19297,0.947201,3.19297,"{'att': 353, 'def': 17}","{'att': 194, 'def': 16}",5,21,1,3,0.2524,l,2024-08-31 16:30:00,0,0,1,0,-2.245769
a,0.682719,2.88601,0.682719,2.88601,"{'att': 213, 'def': 31}","{'att': 164, 'def': 35}",4,6,1,1,0.2015,d,2024-09-14 14:00:00,0,1,0,1,-2.203291
h,0.758267,2.39727,0.758267,2.39727,"{'att': 301, 'def': 31}","{'att': 277, 'def': 17}",12,9,0,3,0.38339999999999996,l,2024-09-21 11:30:00,0,0,1,0,-1.6390029999999998
a,0.878617,0.370222,0.878617,0.370222,"{'att': 277, 'def': 10}","{'att': 181, 'def': 18}",12,7,1,1,1.7666,d,2024-09-28 14:00:00,0,1,0,1,0.5083949999999999
h,4.39402,1.18463,4.39402,1.18463,"{'att': 244, 'def': 15}","{'att': 337, 'def': 23}",6,6,4,1,2.8891,w,2024-10-05 14:00:00,1,0,0,3,3.20939
a,0.858803,1.44052,0.858803,1.44052,"{'att': 208, 'def': 24}","{'att': 197, 'def': 32}",6,11,1,4,0.9253,l,2024-10-19 11:30:00,0,0,1,0,-0.581717
h,2.99312,2.62598,2.23195,2.62598,"{'att': 274, 'def': 13}","{'att': 216, 'def': 21}",7,7,2,1,1.6669999999999998,w,2024-10-27 14:00:00,1,0,0,3,-0.3940300000000003
a,0.132317,2.35011,0.132317,2.35011,"{'att': 196, 'def': 15}","{'att': 227, 'def': 16}",2,11,0,3,0.1008,l,2024-11-02 15:00:00,0,0,1,0,-2.217793
h,1.1237,0.865983,1.1237,0.865983,"{'att': 213, 'def': 21}","{'att': 200, 'def': 18}",8,7,0,0,1.5993,d,2024-11-09 15:00:00,0,1,0,1,0.257717
