h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.342601,3.92906,0.342601,3.92906,"{'att': 338, 'def': 18}","{'att': 201, 'def': 23}",2,13,0,2,0.025799999999999997,l,2024-08-17 11:30:00,0,0,1,0,-3.586459
a,0.479999,3.07818,0.479999,2.31701,"{'att': 296, 'def': 17}","{'att': 163, 'def': 20}",1,15,1,4,0.06889999999999999,l,2024-08-24 14:00:00,0,0,1,0,-1.8370109999999997
h,0.707048,1.18883,0.707048,1.18883,"{'att': 250, 'def': 27}","{'att': 229, 'def': 21}",2,4,1,1,0.9218,d,2024-08-31 14:00:00,0,1,0,1,-0.48178200000000004
a,0.721323,1.75696,0.721323,1.75696,"{'att': 324, 'def': 22}","{'att': 146, 'def': 38}",1,12,0,0,0.519,d,2024-09-14 14:00:00,0,1,0,1,-1.035637
a,1.645,2.89813,1.645,2.89813,"{'att': 314, 'def': 34}","{'att': 220, 'def': 25}",5,7,1,1,0.5590999999999999,d,2024-09-21 14:00:00,0,1,0,1,-1.25313
h,1.84608,1.14494,1.84608,1.14494,"{'att': 265, 'def': 16}","{'att': 262, 'def': 22}",6,5,2,2,1.9244999999999997,d,2024-09-29 13:00:00,0,1,0,1,0.7011399999999999
a,1.18463,4.39402,1.18463,4.39402,"{'att': 337, 'def': 23}","{'att': 244, 'def': 15}",6,6,1,4,0.0715,l,2024-10-05 14:00:00,0,0,1,0,-3.20939
h,1.174,1.60804,1.174,1.60804,"{'att': 240, 'def': 21}","{'att': 302, 'def': 19}",3,9,0,2,1.0131999999999999,l,2024-10-19 14:00:00,0,0,1,0,-0.43404
a,1.65698,4.09663,1.65698,3.33546,"{'att': 354, 'def': 19}","{'att': 119, 'def': 15}",6,9,3,4,0.2695,l,2024-10-26 14:00:00,0,0,1,0,-1.67848
h,1.33617,2.33858,1.33617,2.33858,"{'att': 249, 'def': 22}","{'att': 138, 'def': 13}",4,10,1,1,0.6904,d,2024-11-02 15:00:00,0,1,0,1,-1.0024099999999998
a,2.18392,1.75088,2.18392,1.75088,"{'att': 290, 'def': 31}","{'att': 126, 'def': 19}",6,10,2,1,1.7298,w,2024-11-10 14:00:00,1,0,0,3,0.4330400000000001
h,1.98714,1.26912,1.98714,1.26912,"{'att': 465, 'def': 22}","{'att': 216, 'def': 18}",4,5,1,1,1.9564,d,2024-11-24 16:30:00,0,1,0,1,0.7180199999999999
a,0.462771,1.76587,0.462771,1.0047,"{'att': 139, 'def': 18}","{'att': 206, 'def': 16}",5,3,0,1,0.3504,l,2024-11-30 15:00:00,0,0,1,0,-0.5419289999999999
h,0.471708,1.65422,0.471708,1.65422,"{'att': 252, 'def': 23}","{'att': 312, 'def': 23}",2,6,0,1,0.46419999999999995,l,2024-12-03 19:30:00,0,0,1,0,-1.182512
h,1.5668,3.49127,1.5668,3.49127,"{'att': 188, 'def': 20}","{'att': 164, 'def': 32}",12,12,1,2,0.30200000000000005,l,2024-12-08 14:00:00,0,0,1,0,-1.9244700000000001
a,1.73349,1.23748,1.73349,1.23748,"{'att': 272, 'def': 22}","{'att': 267, 'def': 23}",4,11,2,1,1.8144999999999998,w,2024-12-14 15:00:00,1,0,0,3,0.49601000000000006
h,1.06427,3.23386,1.06427,3.23386,"{'att': 409, 'def': 23}","{'att': 233, 'def': 19}",0,14,0,4,0.25579999999999997,l,2024-12-21 15:00:00,0,0,1,0,-2.16959
a,0.0783327,2.16462,0.0783327,2.16462,"{'att': 330, 'def': 17}","{'att': 180, 'def': 28}",0,12,0,1,0.0856,l,2024-12-27 20:15:00,0,0,1,0,-2.0862873000000004
h,1.50093,1.60622,0.739758,1.60622,"{'att': 367, 'def': 16}","{'att': 121, 'def': 16}",4,18,2,0,1.2616,w,2024-12-30 19:45:00,1,0,0,3,-0.866462
a,1.4434,2.65469,0.682234,1.13235,"{'att': 330, 'def': 24}","{'att': 131, 'def': 16}",2,5,2,2,0.5066,d,2025-01-05 14:00:00,0,1,0,1,-0.45011599999999996
h,0.268127,1.06343,0.268127,1.06343,"{'att': 266, 'def': 23}","{'att': 274, 'def': 26}",1,9,0,2,0.5738,l,2025-01-16 19:30:00,0,0,1,0,-0.7953030000000001
h,0.795637,3.20228,0.795637,3.20228,"{'att': 398, 'def': 10}","{'att': 204, 'def': 23}",3,17,0,6,0.1748,l,2025-01-19 16:30:00,0,0,1,0,-2.406643
a,0.804707,2.16809,0.804707,2.16809,"{'att': 293, 'def': 25}","{'att': 190, 'def': 29}",2,15,1,4,0.3684,l,2025-01-25 15:00:00,0,0,1,0,-1.3633829999999998
h,1.94845,1.17566,1.94845,1.17566,"{'att': 217, 'def': 24}","{'att': 299, 'def': 29}",5,1,1,2,1.9861,l,2025-02-01 15:00:00,0,0,1,0,0.7727900000000001
a,0.332864,2.89841,0.332864,2.89841,"{'att': 317, 'def': 24}","{'att': 115, 'def': 15}",0,19,1,1,0.0906,d,2025-02-15 15:00:00,0,1,0,1,-2.5655460000000003
h,1.15389,1.58741,1.15389,1.58741,"{'att': 358, 'def': 35}","{'att': 189, 'def': 21}",4,7,1,4,0.958,l,2025-02-22 15:00:00,0,0,1,0,-0.4335199999999999
a,1.04498,1.40202,1.04498,1.40202,"{'att': 209, 'def': 24}","{'att': 201, 'def': 13}",8,4,2,3,0.9478,l,2025-02-26 19:30:00,0,0,1,0,-0.35704
