h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.02614,1.40775,1.02614,1.40775,"{'att': 331, 'def': 16}","{'att': 159, 'def': 29}",2,21,1,1,1.0574,d,2024-08-19 19:00:00,0,1,0,1,-0.38161
a,0.857005,1.96218,0.857005,1.96218,"{'att': 274, 'def': 20}","{'att': 318, 'def': 31}",1,7,1,2,0.5912000000000001,l,2024-08-24 14:00:00,0,0,1,0,-1.105175
h,0.774741,2.16385,0.774741,2.16385,"{'att': 224, 'def': 35}","{'att': 314, 'def': 30}",3,6,1,2,0.3729,l,2024-08-31 14:00:00,0,0,1,0,-1.389109
a,1.65187,2.88716,1.65187,2.12599,"{'att': 315, 'def': 22}","{'att': 167, 'def': 34}",7,15,2,2,0.5925,d,2024-09-14 14:00:00,0,1,0,1,-0.4741199999999999
h,1.33793,1.82377,1.33793,1.82377,"{'att': 160, 'def': 19}","{'att': 251, 'def': 13}",8,6,1,1,1.0394,d,2024-09-21 14:00:00,0,1,0,1,-0.4858399999999998
a,0.337909,6.05305,0.337909,6.05305,"{'att': 265, 'def': 9}","{'att': 139, 'def': 30}",4,21,2,4,0.0018,l,2024-09-28 14:00:00,0,0,1,0,-5.715141
h,0.912063,1.94963,0.912063,1.94963,"{'att': 201, 'def': 15}","{'att': 221, 'def': 26}",2,7,1,0,0.5877,w,2024-10-05 14:00:00,1,0,0,3,-1.0375670000000001
a,2.83826,2.42776,2.0771,2.42776,"{'att': 199, 'def': 30}","{'att': 240, 'def': 15}",11,8,3,2,1.6762000000000001,w,2024-10-19 14:00:00,1,0,0,3,-0.35065999999999997
h,0.832415,2.54488,0.832415,2.54488,"{'att': 118, 'def': 23}","{'att': 298, 'def': 21}",8,6,1,3,0.281,l,2024-10-25 19:00:00,0,0,1,0,-1.712465
a,2.33858,1.33617,2.33858,1.33617,"{'att': 138, 'def': 13}","{'att': 249, 'def': 22}",10,4,1,1,2.1052000000000004,d,2024-11-02 15:00:00,0,1,0,1,1.0024099999999998
a,0.417295,1.2369,0.417295,1.2369,"{'att': 292, 'def': 20}","{'att': 284, 'def': 28}",5,2,0,3,0.6164000000000001,l,2024-11-10 14:00:00,0,0,1,0,-0.8196050000000001
h,0.967987,2.81658,0.206818,2.81658,"{'att': 319, 'def': 24}","{'att': 192, 'def': 23}",3,13,1,2,0.2195,l,2024-11-23 12:30:00,0,0,1,0,-2.609762
a,0.907555,2.21885,0.907555,2.21885,"{'att': 274, 'def': 19}","{'att': 213, 'def': 28}",3,7,1,4,0.4798,l,2024-11-30 15:00:00,0,0,1,0,-1.3112950000000003
h,2.78061,2.87716,2.78061,2.87716,"{'att': 292, 'def': 29}","{'att': 230, 'def': 18}",4,14,3,1,1.3649,w,2024-12-03 20:15:00,1,0,0,3,-0.09655000000000014
h,1.42438,1.12184,1.42438,1.12184,"{'att': 290, 'def': 20}","{'att': 323, 'def': 26}",3,5,2,2,1.6399000000000001,d,2024-12-08 14:00:00,0,1,0,1,0.30254000000000003
a,0.186759,3.95461,0.186759,3.95461,"{'att': 341, 'def': 23}","{'att': 216, 'def': 19}",3,21,0,4,0.0098,l,2024-12-14 15:00:00,0,0,1,0,-3.7678510000000003
h,0.78868,1.13531,0.78868,1.13531,"{'att': 320, 'def': 27}","{'att': 321, 'def': 22}",3,3,0,3,1.017,l,2024-12-22 14:00:00,0,0,1,0,-0.34663
a,0.22097,1.89935,0.22097,1.89935,"{'att': 312, 'def': 4}","{'att': 181, 'def': 33}",0,26,1,3,0.2228,l,2024-12-26 20:00:00,0,0,1,0,-1.6783800000000002
h,1.84208,1.58002,1.84208,1.58002,"{'att': 291, 'def': 19}","{'att': 387, 'def': 14}",5,9,0,2,1.5841,l,2024-12-29 14:30:00,0,0,1,0,0.26205999999999996
a,0.81548,2.3456,0.81548,2.3456,"{'att': 396, 'def': 19}","{'att': 262, 'def': 29}",3,9,1,2,0.2842,l,2025-01-04 15:00:00,0,0,1,0,-1.5301200000000001
h,2.09904,2.2647,2.09904,2.2647,"{'att': 270, 'def': 22}","{'att': 356, 'def': 23}",7,7,0,2,1.238,l,2025-01-15 19:30:00,0,0,1,0,-0.16565999999999992
h,0.676934,2.36823,0.676934,2.36823,"{'att': 304, 'def': 16}","{'att': 206, 'def': 21}",2,10,0,2,0.25039999999999996,l,2025-01-18 15:00:00,0,0,1,0,-1.691296
a,1.40469,1.27483,1.40469,1.27483,"{'att': 304, 'def': 27}","{'att': 171, 'def': 15}",5,5,2,1,1.4557,w,2025-01-26 14:00:00,1,0,0,3,0.1298600000000001
a,0.447136,3.11261,0.447136,3.11261,"{'att': 277, 'def': 23}","{'att': 323, 'def': 18}",4,14,0,4,0.1015,l,2025-02-01 15:00:00,0,0,1,0,-2.665474
