first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,value_per_m
David,Raya Martín,0,0,162,3330,26,33.5,541.6,0.0,11,633,57.5,19,0,1,36.4,62,GK,26.1
Kepa,Arrizabalaga Revuelta,0,0,2,90,1,0.0,19.8,0.0,0,11,2.0,0,0,0,0.4,40,GK,0.5
Karl,Hein,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,GK,0.0
Tommy,Setford,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,GK,0.0
Gabriel,dos Santos Magalhães,3,5,209,2750,20,128.5,824.0,298.0,30,724,125.0,18,0,4,45.4,73,DEF,28.6
William,Saliba,1,0,137,2614,20,201.0,552.6,90.0,12,581,84.3,15,0,2,17.1,63,DEF,21.7
Riccardo,Calafiori,1,2,109,1697,8,182.3,283.0,313.0,6,389,77.9,13,0,5,6.0,56,DEF,19.5
Jurriën,Timber,3,6,149,2452,20,402.6,499.0,352.0,9,532,125.7,13,0,5,15.2,60,DEF,24.8
Jakub,Kiwior,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,DEF,0.0
Myles,Lewis-Skelly,0,0,29,697,8,74.6,73.2,29.0,0,110,17.6,2,0,3,1.9,50,DEF,5.8
Benjamin,White,0,1,45,699,6,133.4,154.8,54.0,3,181,34.3,5,0,0,0.5,51,DEF,8.8
Brayden,Clarke,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,37,DEF,0.0
Maldini,Kacurri,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39,DEF,0.0
Josh,Nichols,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,37,DEF,0.0
Bukayo,Saka,7,10,157,2218,16,847.6,627.0,828.0,18,570,230.6,12,0,2,11.6,100,MID,15.7
Martin,Ødegaard,1,7,74,1363,13,564.4,311.8,168.0,5,306,104.4,6,0,0,1.7,78,MID,9.5
Noni,Madueke,3,1,72,1205,9,352.8,257.4,404.0,9,254,101.3,8,0,0,0.8,68,MID,10.6
Gabriel,Martinelli Silva,1,5,57,1065,8,202.2,204.6,390.0,3,195,79.0,2,0,3,0.9,68,MID,8.4
Leandro,Trossard,6,6,119,1997,15,545.5,494.0,541.0,11,445,158.3,11,0,2,1.8,66,MID,18.0
Declan,Rice,4,9,184,3093,25,1027.4,827.2,298.0,23,790,215.4,18,0,3,23.3,72,MID,25.6
Mikel,Merino Zazón,4,3,67,1024,10,191.8,304.4,244.0,5,236,73.6,4,0,1,0.7,53,MID,12.6
Fábio,Ferreira Vieira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,MID,0.0
Christian,Nørgaard,0,0,7,101,1,5.5,23.4,10.0,0,28,4.0,0,0,0,0.1,51,MID,1.4
Ethan,Nwaneri,0,0,8,165,0,22.5,8.6,24.0,0,20,5.4,1,0,0,0.1,50,MID,1.6
Martín,Zubimendi Ibáñez,5,1,133,2991,25,385.1,603.2,271.0,9,604,126.2,16,0,4,2.7,49,MID,27.1
Ismeal,Kabia,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID,0.0
Albert,Sambi Lokonga,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Kai,Havertz,2,3,36,577,4,134.6,152.6,210.0,3,143,49.9,4,0,1,0.7,73,FWD,4.9
Gabriel,Fernando de Jesus,3,0,24,418,6,54.3,141.8,281.0,0,92,47.5,1,0,3,0.4,64,FWD,3.8
Eberechi,Eze,7,3,113,1885,14,305.7,393.4,455.0,8,439,115.1,11,0,1,8.7,73,MID,15.5
Cristhian,Mosquera,0,0,40,986,8,88.7,219.2,20.0,1,195,32.9,3,0,4,0.3,53,DEF,7.5
Viktor,Gyökeres,14,1,128,2217,14,271.7,539.6,772.0,16,474,157.5,12,0,5,16.4,91,FWD,14.1
Max,Dowman,1,1,16,152,1,55.5,45.2,65.0,0,51,16.6,1,0,0,0.9,42,MID,3.8
Andre,Harriman-Annous,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,MID,0.0
Piero,Hincapié,1,2,87,1787,19,184.7,453.6,72.0,7,335,70.9,5,0,2,0.9,51,DEF,17.1
Marli,Salmon,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,0.0
Emiliano,Martínez Romero,0,1,120,2835,39,23.2,769.8,0.0,11,530,79.2,7,0,2,4.4,50,GK,24.0
Marco,Bizot,0,0,16,585,10,0.0,139.2,0.0,0,75,13.9,1,0,2,0.4,42,GK,3.8
Joe,Gauci,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,GK,0.0
Filip,Marschall,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK,0.0
Matty,Cash,3,3,117,3016,38,510.7,643.0,221.0,7,450,137.5,8,0,9,7.4,46,DEF,25.4
Lucas,Digne,0,7,97,1842,23,455.5,400.2,130.0,5,381,98.5,7,0,3,1.5,45,DEF,21.6
Ezri,Konsa Ngoyo,0,1,100,3035,44,108.3,601.4,124.0,3,497,84.0,9,1,0,7.0,44,DEF,22.7
Ian,Maatsen,0,1,54,1590,27,373.4,336.6,231.0,1,242,94.3,2,0,2,0.5,42,DEF,12.9
Tyrone,Mings,0,1,50,1322,23,80.5,282.6,105.0,4,169,46.8,3,0,1,0.6,43,DEF,11.6
Pau,Torres,0,2,64,1673,19,47.1,321.8,79.0,2,280,45.1,5,0,1,0.3,43,DEF,14.9
Andrés,García,0,0,5,83,3,3.2,17.8,2.0,0,12,2.3,0,0,0,0.2,39,DEF,1.3
Álex,Moreno Lopera,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.5,40,DEF,0.0
Lamare,Bogarde,0,0,40,1042,17,59.4,133.0,14.0,4,121,20.6,2,0,5,0.5,40,DEF,10.0
Lino,da Cruz Sousa,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,38,DEF,0.0
Yasin,Özcan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
Morgan,Rogers,10,8,169,3280,48,706.2,746.2,871.0,17,605,232.0,9,0,7,20.2,73,MID,23.2
Youri,Tielemans,0,4,68,1857,27,513.6,432.0,184.0,3,417,113.1,4,0,0,0.7,59,MID,11.5
