assists,birth_date,bonus,bps,can_select,can_transact,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,clearances_blocks_interceptions,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,defensive_contribution,defensive_contribution_per_90,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,has_temporary_code,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,known_name,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,opta_code,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,price_change_percent,recoveries,red_cards,region,removed,saves,saves_per_90,scout_news_link,scout_risks,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,tackles,team,team_code,team_join_date,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,1995-09-15,11,633,False,True,None,None,19,0.51,37,154561,None,,0,0,7,-7,33.5,391,3,0,0.0,None,,2,1,8.8,6.2,0,0.07,0.0,0.07,0.0,0.00,27.56,0.74,0.0,David,5.2,21,1,26,0.7,0,False,57.5,279,17,1,True,541.6,108,17,,3330,,None,62,72,1,p154561,0,0,None,0,,154561.jpg,4.4,36,3,0,304,0,200,False,60,1.62,,[],Raya Martín,36.4,5,1,False,None,37,1.0,a,1,1,3,2024-07-04,0.0,833,97,162,4930540,0,3003061,0,0.8,26.1,Raya,1
0,1994-10-03,0,11,False,True,None,None,0,0.0,3,109745,None,,0,0,-5,5,0.0,572,55,0,0.0,None,,0,1,1.0,1.5,2,0.00,0.0,0.00,0.0,0.00,0.98,0.98,0.0,Kepa,0.5,322,25,1,1.0,0,False,2.0,489,38,2,False,19.8,464,38,,90,,None,40,679,44,p109745,0,0,None,0,,109745.jpg,2.0,343,35,0,8,0,200,False,2,2.0,,[],Arrizabalaga Revuelta,0.4,287,37,False,None,1,1.0,a,0,1,3,2025-07-01,0.0,541,40,2,23561,0,79865,0,0.1,0.5,Arrizabalaga,0
0,2002-04-13,0,0,False,True,0,0,0,0,0,463748,None,,0,0,0,0,0.0,590,65,0,0,None,,0,1,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Karl,0.0,488,68,0,0,0,False,0.0,602,76,3,False,0.0,599,76,,0,Has joined Werder Bremen on loan for the rest of the season.,2025-08-26T13:44:02.357864Z,40,701,54,p463748,0,0,None,0,,463748.jpg,0.0,610,76,0,0,0,67,False,0,0,,[],Hein,0.2,385,55,False,None,0,0,u,0,1,3,2020-10-28,0.0,559,50,0,5545,0,48759,0,0.0,0.0,Hein,0
0,2006-03-13,0,0,False,True,None,None,0,0,0,551221,None,,0,0,-1,1,0.0,558,46,0,0,None,,0,1,1.0,1.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Tommy,0.0,455,52,0,0,0,False,0.0,575,62,4,False,0.0,572,62,,0,,None,39,792,90,p551221,0,0,None,0,,551221.jpg,0.0,583,62,0,0,0,241,False,0,0,,[],Setford,0.2,375,53,False,None,0,0,a,0,1,3,2024-07-24,0.0,527,31,0,34587,0,36016,0,0.0,0.0,Setford,0
5,1997-12-19,30,724,False,True,100,100,18,0.59,239,226597,None,,0,0,13,-13,128.5,274,77,277,9.07,None,,5,2,8.8,7.0,1,1.75,0.06,4.69,0.16,2.94,22.01,0.72,0.1,Gabriel,6.0,12,3,20,0.65,3,False,125.0,91,20,5,True,824.0,27,9,Gabriel Magalhães,2750,,2026-03-24T00:00:10.555559Z,73,25,1,p226597,0,0,None,0,,226597.jpg,6.5,4,1,0,64,0,30,False,0,0.0,,[],dos Santos Magalhães,45.4,4,1,False,None,30,0.98,a,38,1,3,2020-09-01,298.0,116,18,209,9241680,0,6017049,0,0.8,28.6,Gabriel,4
0,2001-03-24,12,581,False,True,100,100,15,0.52,158,462424,None,,0,0,3,-3,201.0,205,51,193,6.64,None,,2,2,7.5,5.8,0,1.21,0.04,2.09,0.07,0.88,20.41,0.7,0.03,William,4.8,39,14,20,0.69,1,False,84.3,192,66,6,False,552.6,104,48,,2614,,2026-03-23T13:00:10.244912Z,63,69,2,p462424,0,0,None,0,,462424.jpg,4.4,37,13,0,113,0,73,False,0,0.0,,[],Saliba,17.1,19,7,False,None,30,1.03,a,35,1,3,2019-07-25,90.0,302,91,137,2702830,0,2551293,0,0.8,21.7,Saliba,2
2,2002-05-19,6,389,False,True,100,100,13,0.69,70,466075,None,,0,0,1,-1,182.3,223,56,102,5.41,None,,2,2,4.8,5.0,1,0.76,0.04,4.12,0.22,3.36,9.72,0.52,0.18,Riccardo,4.0,77,25,8,0.42,1,False,77.9,211,74,7,False,283.0,257,101,,1697,,2026-05-11T00:00:10.879576Z,56,131,13,p466075,0,0,None,0,,466075.jpg,4.2,46,16,0,74,0,106,False,0,0.0,,[],Calafiori,6.0,69,22,False,None,22,1.17,a,32,1,3,2024-07-29,313.0,107,14,109,2701773,0,2532675,0,0.7,19.5,Calafiori,5
6,2001-06-17,9,532,False,True,25,25,13,0.48,82,445122,None,,0,0,5,-5,402.6,89,22,148,5.43,None,,3,2,0.2,0.2,0,1.53,0.06,6.24,0.23,4.71,17.45,0.64,0.17,Jurriën,0.0,822,269,20,0.73,3,False,125.7,90,19,8,False,499.0,132,58,,2452,Lack of match fitness - 25% chance of playing,2026-03-23T13:00:10.259821Z,60,84,5,p445122,0,0,None,0,,445122.jpg,5.0,13,3,0,97,0,152,False,0,0.0,https://www.arsenal.com/news/every-word-artetas-pre-crystal-palace-presser?utm_source=premier_league&utm_medium=referral&utm_campaign=fantasy&utm_content=injuries-flag,[],Timber,15.2,23,8,False,None,28,1.03,d,66,1,3,2023-07-14,352.0,90,10,149,6784707,0,5670508,0,0.0,24.8,J.Timber,5
0,2000-02-15,0,0,False,True,0,0,0,0,0,440854,None,,0,0,-1,1,0.0,825,270,0,0,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Jakub,0.0,804,268,0,0,0,False,0.0,825,270,9,False,0.0,825,270,,0,has joined Porto on loan for the rest of the season.,2025-09-02T13:37:25.929594Z,54,165,20,p440854,0,0,None,0,,440854.jpg,0.0,825,270,0,0,0,172,False,0,0,,[],Kiwior,0.0,596,212,False,None,0,0,u,0,1,3,2023-01-23,0.0,824,270,0,1119,0,10955,0,0.0,0.0,Kiwior,0
0,2006-09-26,0,110,False,True,None,None,2,0.26,17,499169,None,,0,0,-5,5,74.6,336,115,25,3.23,None,,0,2,4.5,4.8,2,0.20,0.03,0.30,0.04,0.10,9.01,1.16,0.01,Myles,3.8,82,29,8,1.03,0,False,17.6,403,144,10,False,73.2,410,153,,697,,None,50,268,41,p499169,0,0,None,0,,499169.jpg,1.4,436,159,0,30,0,241,False,0,0.0,,[],Lewis-Skelly,1.9,139,55,False,None,5,0.65,a,8,1,3,2022-12-04,29.0,383,133,29,216990,0,478401,0,0.8,5.8,Lewis-Skelly,3
1,1997-10-08,3,181,False,True,0,0,5,0.64,38,198869,None,,0,0,-4,4,133.4,267,73,53,6.82,None,,1,2,0.0,0.0,0,0.69,0.09,1.14,0.15,0.45,8.68,1.12,0.06,Benjamin,1.8,204,72,6,0.77,0,False,34.3,355,118,11,False,154.8,344,130,,699,Knee injury - Expected back 24 May,2026-05-11T00:00:10.901815Z,51,226,33,p198869,0,0,None,0,,198869.jpg,3.8,81,29,0,28,0,241,False,0,0.0,https://www.arsenal.com/news/medical-update-ben-white?utm_source=premier_league&utm_medium=referral&utm_campaign=fantasy&utm_content=injuries-flag,[],White,0.5,269,100,False,None,9,1.16,i,15,1,3,2021-07-30,54.0,344,113,45,378865,0,434751,0,0.4,8.8,White,0
0,None,0,0,False,True,None,None,0,0,0,563324,None,,0,0,-3,3,0.0,510,185,0,0,None,,0,2,1.0,1.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Brayden,0.0,404,141,0,0,0,False,0.0,532,186,13,False,0.0,529,186,,0,,None,37,838,267,p563324,0,0,None,0,,563324.jpg,0.0,540,186,0,0,0,None,False,0,0,,[],Clarke,0.5,279,105,False,None,0,0,a,0,1,3,None,0.0,478,180,0,65565,0,85106,0,0.0,0.0,Clarke,0
0,None,0,0,False,True,0,0,0,0,0,588793,None,,0,0,-1,1,0.0,563,209,0,0,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Maldini,0.0,461,172,0,0,0,False,0.0,580,210,14,False,0.0,577,210,,0,has joined Morecambe on loan for the rest of the season.,2025-09-22T21:14:30.857843Z,39,798,232,p588793,0,0,None,0,,588793.jpg,0.0,588,210,0,0,0,None,False,0,0,,[],Kacurri,0.1,501,180,False,None,0,0,u,0,1,3,None,0.0,532,205,0,10218,0,22844,0,0.0,0.0,Kacurri,0
0,2006-07-26,0,0,False,True,None,None,0,0,0,499167,None,,0,0,-3,3,0.0,508,183,0,0,None,,0,2,1.0,1.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Josh,0.0,402,139,0,0,0,False,0.0,531,185,15,False,0.0,528,185,,0,,None,37,836,265,p499167,0,0,None,0,,499167.jpg,0.0,539,185,0,0,0,241,False,0,0,,[],Nichols,0.2,364,132,False,None,0,0,a,0,1,3,2024-07-24,0.0,476,178,0,34995,0,35855,0,0.0,0.0,Nichols,0
10,2001-09-05,18,570,False,True,100,100,12,0.49,28,223340,2,,0,0,0,0,847.6,12,11,184,7.47,2,,3,3,7.0,6.8,0,7.16,0.29,14.73,0.6,7.57,15.57,0.63,0.31,Bukayo,5.8,14,8,16,0.65,7,False,230.6,11,8,16,False,627.0,74,22,,2218,,2026-03-30T10:00:10.614078Z,100,6,4,p223340,0,0,1,0,,223340.jpg,5.1,12,6,0,116,0,241,False,0,0.0,,[],Saka,11.6,35,12,False,None,25,1.01,a,40,1,3,2018-11-28,828.0,11,6,157,5027975,0,5509494,0,0.6,15.7,Saka,2
7,1998-12-17,5,306,False,True,100,100,6,0.4,13,184029,4,,0,0,-2,2,564.4,44,38,102,6.74,None,,1,3,3.5,2.8,0,3.65,0.24,4.90,0.32,1.25,16.20,1.07,0.08,Martin,1.8,212,94,13,0.86,1,False,104.4,138,75,17,False,311.8,238,100,,1363,,2026-05-01T14:00:09.623702Z,78,19,13,p184029,0,0,3,0,,184029.jpg,3.1,187,73,0,70,0,161,False,0,0.0,,[],Ødegaard,1.7,156,50,False,None,16,1.06,a,19,1,3,2021-08-20,168.0,218,117,74,409252,0,664528,0,0.2,9.5,Ødegaard,0
1,2002-03-10,9,254,False,True,100,100,8,0.6,14,248857,3,,0,0,-2,2,352.8,113,79,70,5.23,None,,3,3,2.2,4.2,11,2.86,0.21,4.09,0.3,1.23,12.77,0.95,0.09,Noni,3.2,110,49,9,0.67,3,False,101.3,145,79,18,False,257.4,272,115,,1205,,2026-04-16T13:00:09.580957Z,68,43,27,p248857,0,0,None,0,,248857.jpg,2.8,230,90,0,35,0,241,False,0,0.0,,[],Madueke,0.8,218,75,False,None,16,1.2,a,21,1,3,2025-07-18,404.0,77,45,72,391478,0,439154,0,0.5,10.6,Madueke,0
5,2001-06-18,3,195,False,True,100,100,2,0.17,13,444145,None,,0,0,-2,2,202.2,204,135,77,6.51,None,,0,3,1.2,3.0,7,1.27,0.11,5.39,0.46,4.12,10.51,0.89,0.35,Gabriel,2.0,192,88,8,0.68,1,False,79.0,209,99,19,False,204.6,308,131,Gabriel Martinelli,1065,,2025-12-24T02:30:10.584394Z,68,44,28,p444145,0,0,None,0,,444145.jpg,1.9,372,161,0,52,0,30,False,0,0.0,,[],Martinelli Silva,0.9,208,72,False,None,11,0.93,a,12,1,3,2019-07-15,390.0,82,49,57,203187,0,278367,0,0.3,8.4,Martinelli,3
6,1994-12-04,11,445,False,True,100,100,11,0.5,26,116216,None,,0,0,-4,4,545.5,47,41,133,5.99,None,,2,3,5.5,5.5,0,3.59,0.16,9.18,0.41,5.60,13.94,0.63,0.25,Leandro,4.5,51,21,15,0.68,6,False,158.3,51,35,20,False,494.0,134,45,,1997,,2026-03-24T00:00:10.597737Z,66,47,30,p116216,0,0,4,0,,116216.jpg,3.8,85,41,0,80,0,21,False,0,0.0,,[],Trossard,1.8,144,46,False,None,21,0.95,a,27,1,3,2023-01-20,541.0,48,27,119,726467,0,554690,0,0.7,18.0,Trossard,2
