pens_made,sca,carries,pens_att,blocks,dayofweek,gca,comp,assists,progressive_passes,touches,xg,position,pressures,date,shots_on_target,passes_completed,game_started,squad,shots_total,dribbles,xa,npxg,passes_pct,cards_yellow,passes,match_report,minutes,dribbles_completed,result,cards_red,bench_explain,progressive_carries,tackles,venue,goals,round,opponent,interceptions
0,,,0,,Sat,,Community Shield,,,,,CM,,2021-08-07,0,,Y,Manchester City,0,,,,,0,,,73,,L 0–1,0,,,,Neutral,0,FA Community Shield,Leicester City,0
0,,,0,,Sun,,PL2 — Div. 1,0,,,,CM,,2021-08-15,,,Y,Manchester City,,,,,,0,,,90,,D 0–0,0,,,,Away,0,Matchweek 1,Liverpool,
0,0,15,0,0,Sat,0,Premier League,0,1,19,0.0,CM,6,2021-08-21,0,13,N,Manchester City,0,0,0.0,0.0,86.7,0,15,,22,0,W 5–0,0,,2,1,Home,0,Matchweek 2,Norwich City,1
,,,,,Sat,,Premier League,,,,,,,2021-08-28,,,N,Manchester City,,,,,,,,,,,W 5–0,,"On matchday squad, but did not play",,,Home,,Matchweek 3,Arsenal,
0,,,0,,Sat,,PL2 — Div. 1,2,,,,RW,,2021-09-11,,,Y,Manchester City,,,,,,0,,,90,,W 4–1,0,,,,Home,0,Matchweek 4,Chelsea,
,,,,,Wed,,Champions Lg,,,,,,,2021-09-15,,,N,Manchester City,,,,,,,,,,,W 6–3,,"On matchday squad, but did not play",,,Home,,Group stage,RB Leipzig,
,,,,,Sat,,Premier League,,,,,,,2021-09-18,,,N,Manchester City,,,,,,,,,,,D 0–0,,"On matchday squad, but did not play",,,Home,,Matchweek 5,Southampton,
0,,,0,,Tue,,EFL Cup,0,,,,,,2021-09-21,2,,N,Manchester City,3,,,,,0,,,19,,W 6–1,0,,,,Home,1,Third round,Wycombe,0
,,,,,Sat,,Premier League,,,,,,,2021-09-25,,,N,Manchester City,,,,,,,,,,,W 1–0,,"On matchday squad, but did not play",,,Away,,Matchweek 6,Chelsea,
,,,,,Sun,,Premier League,,,,,,,2021-10-03,,,N,Manchester City,,,,,,,,,,,D 2–2,,"On matchday squad, but did not play",,,Away,,Matchweek 7,Liverpool,
0,,,0,,Sat,,PL2 — Div. 1,0,,,,CM,,2021-10-16,,,Y,Manchester City,,,,,,0,,,90,,W 5–0,0,,,,Home,3,Matchweek 8,Leicester City,
0,0,1,0,0,Sat,0,Premier League,0,0,5,0.0,CM,3,2021-10-16,0,4,N,Manchester City,0,0,0.0,0.0,80.0,0,5,,1,0,W 2–0,0,,0,0,Home,0,Matchweek 8,Burnley,0
0,1,17,0,1,Tue,0,Champions Lg,0,2,22,0.1,CM,10,2021-10-19,1,11,N,Manchester City,1,0,0.0,0.1,73.3,0,15,,27,0,W 5–1,0,,2,2,Away,1,Group stage,Club Brugge,0
,,,,,Sat,,Premier League,,,,,,,2021-10-23,,,N,Manchester City,,,,,,,,,,,W 4–1,,"On matchday squad, but did not play",,,Away,,Matchweek 9,Brighton,
0,,,0,,Wed,,EFL Cup,0,,,,FW,,2021-10-27,1,,Y,Manchester City,3,,,,,0,,,75,,D 0 ,0,,,,Away,0,Fourth round,West Ham,0
,,,,,Sat,,Premier League,,,,,,,2021-10-30,,,N,Manchester City,,,,,,,,,,,L 0–2,,"On matchday squad, but did not play",,,Home,,Matchweek 10,Crystal Palace,
0,1,8,0,0,Wed,0,Champions Lg,0,0,8,0.3,FW,5,2021-11-03,1,3,N,Manchester City,1,3,0.0,0.3,75.0,0,4,,11,1,W 4–1,0,,1,1,Home,0,Group stage,Club Brugge,0
,,,,,Sat,,Premier League,,,,,,,2021-11-06,,,N,Manchester City,,,,,,,,,,,W 2–0,,"On matchday squad, but did not play",,,Away,,Matchweek 11,Manchester Utd,
0,7,35,0,2,Sun,1,Premier League,0,4,46,0.3,FW,18,2021-11-21,1,24,Y,Manchester City,4,2,0.2,0.3,82.8,0,29,,86,1,W 3–0,0,,5,1,Home,0,Matchweek 12,Everton,1
,,,,,Wed,,Champions Lg,,,,,,,2021-11-24,,,N,Manchester City,,,,,,,,,,,W 2–1,,"On matchday squad, but did not play",,,Home,,Group stage,Paris S-G,
,,,,,Sun,,Premier League,,,,,,,2021-11-28,,,N,Manchester City,,,,,,,,,,,W 2–1,,"On matchday squad, but did not play",,,Home,,Matchweek 13,West Ham,
0,,,0,,Mon,,PL2 — Div. 1,1,,,,RW,,2021-11-29,,,Y,Manchester City,,,,,,1,,,90,,W 3–2,0,,,,Home,1,Matchweek 13,Leeds Utd U23,
,,,,,Wed,,Premier League,,,,,,,2021-12-01,,,N,Manchester City,,,,,,,,,,,W 2–1,,"On matchday squad, but did not play",,,Away,,Matchweek 14,Aston Villa,
0,,,0,,Sat,,PL2 — Div. 1,0,,,,CM,,2021-12-04,,,Y,Manchester City,,,,,,0,,,90,,L 0–3,0,,,,Away,0,Matchweek 14,Tottenham,
0,0,2,0,0,Tue,0,Champions Lg,0,0,2,0.0,FW,2,2021-12-07,0,2,N,Manchester City,0,0,0.0,0.0,100.0,0,2,,4,0,L 1–2,0,,0,0,Away,0,Group stage,RB Leipzig,0
,,,,,Sat,,Premier League,,,,,,,2021-12-11,,,N,Manchester City,,,,,,,,,,,W 1–0,,"On matchday squad, but did not play",,,Home,,Matchweek 16,Wolves,
,,,,,Tue,,Premier League,,,,,,,2021-12-14,,,N,Manchester City,,,,,,,,,,,W 7–0,,"On matchday squad, but did not play",,,Home,,Matchweek 17,Leeds United,
0,,,0,,Fri,,PL2 — Div. 1,0,,,,CM,,2021-12-17,,,Y,Manchester City,,,,,,0,,,90,,W 3–1,0,,,,Home,1,Matchweek 15,Brighton,
0,0,6,0,0,Sun,0,Premier League,0,0,6,0.0,FW,2,2021-12-19,0,4,N,Manchester City,0,1,0.0,0.0,100.0,0,4,,14,0,W 4–0,0,,0,0,Away,0,Matchweek 18,Newcastle Utd,0
,,,,,Sun,,Premier League,,,,,,,2021-12-26,,,N,Manchester City,,,,,,,,,,,W 6–3,,"On matchday squad, but did not play",,,Home,,Matchweek 19,Leicester City,
,,,,,Wed,,Premier League,,,,,,,2021-12-29,,,N,Manchester City,,,,,,,,,,,W 1–0,,"On matchday squad, but did not play",,,Away,,Matchweek 20,Brentford,
,,,,,Sat,,Premier League,,,,,,,2022-01-01,,,N,Manchester City,,,,,,,,,,,W 2–1,,"On matchday squad, but did not play",,,Away,,Matchweek 21,Arsenal,
0,,,0,,Fri,,FA Cup,1,,,,FW,,2022-01-07,1,,Y,Manchester City,5,,,,,0,,,85,,W 4–1,0,,,,Away,1,Third round proper,Swindon Town,1
,,,,,Wed,,Premier League,,,,,,,2022-04-20,,,N,Manchester City,,,,,,,,,,,W 3–0,,"On matchday squad, but did not play",,,Home,,Matchweek 30,Brighton,
0,,,0,,Fri,,PL2 — Div. 1,0,,,,AM,,2022-04-22,,,Y,Manchester City,,,,,,0,,,45,,W 3–1,0,,,,Away,1,Matchweek 25,Leeds Utd U23,
,,,,,Sat,,Premier League,,,,,,,2022-04-23,,,N,Manchester City,,,,,,,,,,,W 5–1,,"On matchday squad, but did not play",,,Home,,Matchweek 34,Watford,
,,,,,Tue,,Champions Lg,,,,,,,2022-04-26,,,N,Manchester City,,,,,,,,,,,W 4–3,,"On matchday squad, but did not play",,,Home,,Semi-finals,Real Madrid,
