pens_made,sca,carries,pens_att,blocks,dayofweek,gca,comp,assists,progressive_passes,touches,xg,position,date,pressures,shots_on_target,passes_completed,game_started,squad,shots_total,dribbles,xa,npxg,passes_pct,cards_yellow,passes,match_report,minutes,dribbles_completed,result,cards_red,bench_explain,progressive_carries,tackles,venue,goals,round,opponent,interceptions
,,,,,Sat,,Premier League,,,,,,2021-08-14,,,,N,Brighton,,,,,,,,,,,W 2–1,,"On matchday squad, but did not play",,,Away,,Matchweek 1,Burnley,
,,,,,Sat,,Premier League,,,,,,2021-08-21,,,,N,Brighton,,,,,,,,,,,W 2–0,,"On matchday squad, but did not play",,,Home,,Matchweek 2,Watford,
0,,,0,,Tue,,EFL Cup,0,,,,GK,2021-08-24,,0,,Y*,Brighton,0,,,,,0,,,90,,W 2–0,0,,,,Away,0,Second round,Cardiff City,0
,,,,,Sat,,Premier League,,,,,,2021-08-28,,,,N,Brighton,,,,,,,,,,,L 0–2,,"On matchday squad, but did not play",,,Home,,Matchweek 3,Everton,
,,,,,Sat,,Premier League,,,,,,2021-09-11,,,,N,Brighton,,,,,,,,,,,W 1–0,,"On matchday squad, but did not play",,,Away,,Matchweek 4,Brentford,
,,,,,Sun,,Premier League,,,,,,2021-09-19,,,,N,Brighton,,,,,,,,,,,W 2–1,,"On matchday squad, but did not play",,,Home,,Matchweek 5,Leicester City,
0,,,0,,Wed,,EFL Cup,0,,,,GK,2021-09-22,,0,,Y*,Brighton,0,,,,,0,,,90,,W 2–0,0,,,,Home,0,Third round,Swansea City,0
,,,,,Mon,,Premier League,,,,,,2021-09-27,,,,N,Brighton,,,,,,,,,,,D 1–1,,"On matchday squad, but did not play",,,Away,,Matchweek 6,Crystal Palace,
,,,,,Sat,,Premier League,,,,,,2021-10-02,,,,N,Brighton,,,,,,,,,,,D 0–0,,"On matchday squad, but did not play",,,Home,,Matchweek 7,Arsenal,
,,,,,Sat,,Premier League,,,,,,2021-10-16,,,,N,Brighton,,,,,,,,,,,D 0–0,,"On matchday squad, but did not play",,,Away,,Matchweek 8,Norwich City,
,,,,,Sat,,Premier League,,,,,,2021-10-23,,,,N,Brighton,,,,,,,,,,,L 1–4,,"On matchday squad, but did not play",,,Home,,Matchweek 9,Manchester City,
0,,,0,,Wed,,EFL Cup,0,,,,GK,2021-10-27,,0,,Y,Brighton,0,,,,,0,,,90,,D 2 ,0,,,,Away,0,Fourth round,Leicester City,0
,,,,,Sat,,Premier League,,,,,,2021-10-30,,,,N,Brighton,,,,,,,,,,,D 2–2,,"On matchday squad, but did not play",,,Away,,Matchweek 10,Liverpool,
