pens_made,sca,carries,pens_att,blocks,dayofweek,gca,comp,assists,progressive_passes,touches,xg,position,date,pressures,shots_on_target,passes_completed,game_started,squad,shots_total,dribbles,xa,npxg,passes_pct,cards_yellow,passes,match_report,minutes,dribbles_completed,result,cards_red,bench_explain,progressive_carries,tackles,venue,goals,round,opponent,interceptions
,,,,,Sat,,Premier League,,,,,,2021-08-14,,,,N,Aston Villa,,,,,,,,,,,L 2–3,,"On matchday squad, but did not play",,,Away,,Matchweek 1,Watford,
,,,,,Sat,,Premier League,,,,,,2021-08-21,,,,N,Aston Villa,,,,,,,,,,,W 2–0,,"On matchday squad, but did not play",,,Home,,Matchweek 2,Newcastle Utd,
0,,,0,,Tue,,EFL Cup,0,,,,GK,2021-08-24,,0,,Y,Aston Villa,0,,,,,0,,,90,,W 6–0,0,,,,Away,0,Second round,Barrow,0
,,,,,Sat,,Premier League,,,,,,2021-08-28,,,,N,Aston Villa,,,,,,,,,,,D 1–1,,"On matchday squad, but did not play",,,Home,,Matchweek 3,Brentford,
0,0,19,0,0,Sat,0,Premier League,0,0,37,0.0,GK,2021-09-11,0,0,27,Y,Aston Villa,0,0,0.0,0.0,75.0,0,36,,90,0,L 0–3,0,,0,0,Away,0,Matchweek 4,Chelsea,0
,,,,,Sat,,Premier League,,,,,,2021-09-18,,,,N,Aston Villa,,,,,,,,,,,W 3–0,,"On matchday squad, but did not play",,,Home,,Matchweek 5,Everton,
0,,,0,,Wed,,EFL Cup,0,,,,GK,2021-09-22,,0,,Y,Aston Villa,0,,,,,0,,,90,,D 1 ,0,,,,Away,0,Third round,Chelsea,0
,,,,,Sat,,Premier League,,,,,,2021-09-25,,,,N,Aston Villa,,,,,,,,,,,W 1–0,,"On matchday squad, but did not play",,,Away,,Matchweek 6,Manchester Utd,
,,,,,Sun,,Premier League,,,,,,2021-10-03,,,,N,Aston Villa,,,,,,,,,,,L 1–2,,"On matchday squad, but did not play",,,Away,,Matchweek 7,Tottenham,
,,,,,Sat,,Premier League,,,,,,2021-10-16,,,,N,Aston Villa,,,,,,,,,,,L 2–3,,"On matchday squad, but did not play",,,Home,,Matchweek 8,Wolves,
,,,,,Fri,,Premier League,,,,,,2021-10-22,,,,N,Aston Villa,,,,,,,,,,,L 1–3,,"On matchday squad, but did not play",,,Away,,Matchweek 9,Arsenal,
,,,,,Sun,,Premier League,,,,,,2021-10-31,,,,N,Aston Villa,,,,,,,,,,,L 1–4,,"On matchday squad, but did not play",,,Home,,Matchweek 10,West Ham,
,,,,,Fri,,Premier League,,,,,,2021-11-05,,,,N,Aston Villa,,,,,,,,,,,L 0–1,,"On matchday squad, but did not play",,,Away,,Matchweek 11,Southampton,
,,,,,Sat,,Premier League,,,,,,2021-11-20,,,,N,Aston Villa,,,,,,,,,,,W 2–0,,"On matchday squad, but did not play",,,Home,,Matchweek 12,Brighton,
,,,,,Sat,,Premier League,,,,,,2021-11-27,,,,N,Aston Villa,,,,,,,,,,,W 2–1,,"On matchday squad, but did not play",,,Away,,Matchweek 13,Crystal Palace,
,,,,,Wed,,Premier League,,,,,,2021-12-01,,,,N,Aston Villa,,,,,,,,,,,L 1–2,,"On matchday squad, but did not play",,,Home,,Matchweek 14,Manchester City,
,,,,,Sun,,Premier League,,,,,,2021-12-05,,,,N,Aston Villa,,,,,,,,,,,W 2–1,,"On matchday squad, but did not play",,,Home,,Matchweek 15,Leicester City,
,,,,,Sat,,Premier League,,,,,,2021-12-11,,,,N,Aston Villa,,,,,,,,,,,L 0–1,,"On matchday squad, but did not play",,,Away,,Matchweek 16,Liverpool,
,,,,,Sun,,Premier League,,,,,,2021-12-26,,,,N,Aston Villa,,,,,,,,,,,L 1–3,,"On matchday squad, but did not play",,,Home,,Matchweek 19,Chelsea,
,,,,,Sun,,Premier League,,,,,,2022-01-02,,,,N,Aston Villa,,,,,,,,,,,L 1–2,,"On matchday squad, but did not play",,,Away,,Matchweek 21,Brentford,
,,,,,Mon,,FA Cup,,,,,,2022-01-10,,,,N,Aston Villa,,,,,,,,,,,L 0–1,,"On matchday squad, but did not play",,,Away,,Third round proper,Manchester Utd,
,,,,,Sat,,Premier League,,,,,,2022-01-15,,,,N,Aston Villa,,,,,,,,,,,D 2–2,,"On matchday squad, but did not play",,,Home,,Matchweek 22,Manchester Utd,
,,,,,Tue,,Championship,,,,,,2022-02-01,,,,N,Luton Town,,,,,,,,,,,W 1–0,,"On matchday squad, but did not play",,,Away,,Matchweek 25,Swansea City,
0,,,0,,Sat,,FA Cup,0,,,,GK,2022-02-05,,0,,Y,Luton Town,0,,,,,0,,,90,,W 3–0,0,,,,Away,0,Fourth round proper,Cambridge Utd,0
,,,,,Tue,,Championship,,,,,,2022-02-08,,,,N,Luton Town,,,,,,,,,,,W 2–1,,"On matchday squad, but did not play",,,Home,,Matchweek 31,Barnsley,
,,,,,Sat,,Championship,,,,,,2022-02-12,,,,N,Luton Town,,,,,,,,,,,L 0–3,,"On matchday squad, but did not play",,,Away,,Matchweek 32,Birmingham City,
0,,,0,,Sat,,Championship,0,,,,GK,2022-02-19,,0,,Y,Luton Town,0,,,,,0,,,90,,W 2–0,0,,,,Home,0,Matchweek 33,West Brom,0
0,,,0,,Wed,,Championship,0,,,,GK,2022-02-23,,0,,Y,Luton Town,0,,,,,0,,,90,,W 2–1,0,,,,Away,0,Matchweek 34,Stoke City,0
0,,,0,,Sat,,Championship,0,,,,GK,2022-02-26,,0,,Y,Luton Town,0,,,,,0,,,90,,W 1–0,0,,,,Home,0,Matchweek 35,Derby County,0
0,,,0,,Wed,,FA Cup,0,,,,GK,2022-03-02,,0,,Y,Luton Town,0,,,,,0,,,13,,L 2–3,0,,,,Home,0,Fifth round proper,Chelsea,0
