pens_made,sca,carries,pens_att,blocks,dayofweek,gca,comp,assists,progressive_passes,touches,xg,position,date,pressures,shots_on_target,passes_completed,game_started,squad,shots_total,dribbles,xa,npxg,passes_pct,cards_yellow,passes,match_report,minutes,dribbles_completed,result,cards_red,bench_explain,progressive_carries,tackles,venue,goals,round,opponent,interceptions
,,,,,Sun,,Premier League,,,,,,2021-08-22,,,,N,Manchester Utd,,,,,,,,,,,D 1–1,,"On matchday squad, but did not play",,,Away,,Matchweek 2,Southampton,
0,1,54,0,4,Sun,1,Premier League,1,3,74,0.0,CB,2021-08-29,7,0,58,Y,Manchester Utd,0,1,0.0,0.0,92.1,0,63,,90,0,W 1–0,0,,0,1,Away,0,Matchweek 3,Wolves,1
0,,,0,,Wed,,WCQ,0,,,,CB,2021-09-01,,0,,Y,France,1,,,,,0,,,90,,D 1–1,0,,,,Home,0,First round,Bosnia and Herzegovina,1
,,,,,Sat,,WCQ,,,,,,2021-09-04,,,,N,France,,,,,,,,,,,D 1–1,,"On matchday squad, but did not play",,,Away,,First round,Ukraine,
0,,,0,,Tue,,WCQ,0,,,,CB,2021-09-07,,0,,Y,France,0,,,,,0,,,90,,W 2–0,0,,,,Home,0,First round,Finland,3
0,0,41,0,1,Sat,0,Premier League,0,1,67,0.1,CB,2021-09-11,11,0,51,Y,Manchester Utd,2,0,0.0,0.1,89.5,0,57,,90,0,W 4–1,0,,8,1,Home,0,Matchweek 4,Newcastle Utd,2
0,0,3,0,1,Tue,0,Champions Lg,0,0,21,0.0,CB,2021-09-14,8,0,7,N,Manchester Utd,0,0,0.0,0.0,70.0,1,10,,45,0,L 1–2,0,,0,0,Away,0,Group stage,Young Boys,1
0,1,61,0,4,Sun,0,Premier League,0,4,94,0.0,CB,2021-09-19,6,0,80,Y,Manchester Utd,0,1,0.0,0.0,97.6,0,82,,90,0,W 2–1,0,,8,2,Away,0,Matchweek 5,West Ham,1
0,3,29,0,1,Sat,0,Premier League,0,0,61,0.1,CB,2021-09-25,8,0,38,Y,Manchester Utd,1,0,0.1,0.1,82.6,0,46,,90,0,L 0–1,0,,1,2,Home,0,Matchweek 6,Aston Villa,5
0,0,65,0,1,Wed,0,Champions Lg,0,6,96,0.0,CB,2021-09-29,5,0,78,Y,Manchester Utd,0,0,0.0,0.0,94.0,0,83,,90,0,W 2–1,0,,7,1,Home,0,Group stage,Villarreal,4
