pens_made,sca,carries,pens_att,blocks,dayofweek,gca,comp,assists,progressive_passes,touches,xg,position,date,pressures,shots_on_target,passes_completed,game_started,squad,shots_total,dribbles,xa,npxg,passes_pct,cards_yellow,passes,match_report,minutes,dribbles_completed,result,cards_red,bench_explain,progressive_carries,tackles,venue,goals,round,opponent,interceptions
,,,,,Sat,,Premier League,,,,,,2021-08-14,,,,N,Everton,,,,,,,,,,,W 3–1,,"On matchday squad, but did not play",,,Home,,Matchweek 1,Southampton,
,,,,,Sat,,Premier League,,,,,,2021-08-21,,,,N,Everton,,,,,,,,,,,D 2–2,,"On matchday squad, but did not play",,,Away,,Matchweek 2,Leeds United,
0,,,0,,Tue,,EFL Cup,0,,,,RM,2021-08-24,,0,,Y,Everton,0,,,,,0,,,90,,W 2–1,0,,,,Away,0,Second round,Huddersfield,1
,,,,,Sat,,Premier League,,,,,,2021-08-28,,,,N,Everton,,,,,,,,,,,W 2–0,,"On matchday squad, but did not play",,,Away,,Matchweek 3,Brighton,
,,,,,Mon,,Premier League,,,,,,2021-09-13,,,,N,Everton,,,,,,,,,,,W 3–1,,"On matchday squad, but did not play",,,Home,,Matchweek 4,Burnley,
0,1,2,0,0,Sat,0,Premier League,0,1,4,0.0,RB,2021-09-18,1,0,3,N,Everton,0,0,0.0,0.0,100.0,0,3,,11,0,L 0–3,0,,1,1,Away,0,Matchweek 5,Aston Villa,0
0,,,0,,Tue,,EFL Cup,0,,,,RB,2021-09-21,,0,,Y,Everton,0,,,,,0,,,90,,D 2 ,0,,,,Away,0,Third round,QPR,0
,,,,,Sat,,Premier League,,,,,,2021-09-25,,,,N,Everton,,,,,,,,,,,W 2–0,,"On matchday squad, but did not play",,,Home,,Matchweek 6,Norwich City,
,,,,,Sat,,Premier League,,,,,,2021-10-02,,,,N,Everton,,,,,,,,,,,D 1–1,,"On matchday squad, but did not play",,,Away,,Matchweek 7,Manchester Utd,
,,,,,Sun,,Premier League,,,,,,2021-10-17,,,,N,Everton,,,,,,,,,,,L 0–1,,"On matchday squad, but did not play",,,Home,,Matchweek 8,West Ham,
,,,,,Sat,,Premier League,,,,,,2021-10-23,,,,N,Everton,,,,,,,,,,,L 2–5,,"On matchday squad, but did not play",,,Home,,Matchweek 9,Watford,
,,,,,Mon,,Premier League,,,,,,2021-11-01,,,,N,Everton,,,,,,,,,,,L 1–2,,"On matchday squad, but did not play",,,Away,,Matchweek 10,Wolves,
,,,,,Sun,,Premier League,,,,,,2021-11-07,,,,N,Everton,,,,,,,,,,,D 0–0,,"On matchday squad, but did not play",,,Home,,Matchweek 11,Tottenham,
,,,,,Sun,,Premier League,,,,,,2021-11-21,,,,N,Everton,,,,,,,,,,,L 0–3,,"On matchday squad, but did not play",,,Away,,Matchweek 12,Manchester City,
,,,,,Sun,,Premier League,,,,,,2021-11-28,,,,N,Everton,,,,,,,,,,,L 0–1,,"On matchday squad, but did not play",,,Away,,Matchweek 13,Brentford,
,,,,,Wed,,Premier League,,,,,,2021-12-01,,,,N,Everton,,,,,,,,,,,L 1–4,,"On matchday squad, but did not play",,,Home,,Matchweek 14,Liverpool,
,,,,,Mon,,Premier League,,,,,,2021-12-06,,,,N,Everton,,,,,,,,,,,W 2–1,,"On matchday squad, but did not play",,,Home,,Matchweek 15,Arsenal,
,,,,,Sun,,Premier League,,,,,,2021-12-12,,,,N,Everton,,,,,,,,,,,L 1–3,,"On matchday squad, but did not play",,,Away,,Matchweek 16,Crystal Palace,
0,0,10,0,2,Thu,0,Premier League,0,1,25,0.0,WB,2021-12-16,10,0,10,Y,Everton,1,0,0.0,0.0,71.4,0,14,,90,0,D 1–1,0,,0,1,Away,0,Matchweek 17,Chelsea,2
0,3,31,0,1,Sun,2,Premier League,1,1,54,0.0,WB,2022-01-02,14,0,34,Y,Everton,0,1,0.2,0.0,75.6,1,45,,75,0,L 2–3,0,,3,4,Home,0,Matchweek 21,Brighton,3
0,,,0,,Sat,,FA Cup,1,,,,RM,2022-01-08,,0,,Y,Everton,0,,,,,0,,,73,,W 3–2,0,,,,Away,0,Third round proper,Hull City,2
,,,,,Sat,,Premier League,,,,,,2022-01-15,,,,N,Everton,,,,,,,,,,,L 1–2,,"On matchday squad, but did not play",,,Away,,Matchweek 22,Norwich City,
0,1,34,0,1,Sat,0,Premier League,0,6,68,0.0,RB,2022-01-22,11,0,41,Y,Everton,0,0,0.0,0.0,65.1,0,63,,90,0,L 0–1,0,,2,0,Home,0,Matchweek 23,Aston Villa,4
0,,,0,,Sat,,FA Cup,0,,,,,2022-02-05,,0,,N,Everton,0,,,,,0,,,18,,W 4–1,0,,,,Home,0,Fourth round proper,Brentford,0
,,,,,Tue,,Premier League,,,,,,2022-02-08,,,,N,Everton,,,,,,,,,,,L 1–3,,"On matchday squad, but did not play",,,Away,,Matchweek 24,Newcastle Utd,
0,5,23,0,1,Sat,0,Premier League,0,2,52,0.0,LB,2022-02-12,18,0,30,Y,Everton,1,3,0.0,0.0,73.2,0,41,,90,3,W 3–0,0,,5,2,Home,0,Matchweek 25,Leeds United,5
0,1,29,0,2,Sat,0,Premier League,0,3,57,0.0,LB,2022-02-19,8,0,39,Y,Everton,0,0,0.0,0.0,78.0,0,50,,90,0,L 0–2,0,,2,0,Away,0,Matchweek 26,Southampton,3
0,0,22,0,1,Sat,0,Premier League,0,3,42,0.2,LB,2022-02-26,11,0,26,Y,Everton,1,1,0.0,0.2,78.8,0,33,,90,0,L 0–1,0,,0,0,Home,0,Matchweek 27,Manchester City,2
0,,,0,,Thu,,FA Cup,1,,,,CB,2022-03-03,,0,,Y,Everton,0,,,,,0,,,90,,W 2–0,0,,,,Home,0,Fifth round proper,Boreham Wood,1
0,0,39,0,2,Mon,0,Premier League,0,3,57,0.0,"LB,CB",2022-03-07,8,0,42,Y,Everton,0,0,0.0,0.0,84.0,0,50,,90,0,L 0–5,0,,6,2,Away,0,Matchweek 28,Tottenham,1
0,0,28,0,2,Sun,0,Premier League,0,2,48,0.0,"CB,LB",2022-03-13,13,0,28,Y,Everton,1,0,0.0,0.0,77.8,2,36,,77,0,L 0–1,1,,5,2,Home,0,Matchweek 29,Wolves,3
0,,,0,,Sun,,FA Cup,0,,,,LM,2022-03-20,,0,,Y,Everton,0,,,,,0,,,45,,L 0–4,0,,,,Away,0,Quarter-finals,Crystal Palace,0
0,3,26,0,1,Sun,0,Premier League,0,3,46,0.0,RB,2022-04-03,13,0,30,Y,Everton,0,2,0.2,0.0,73.2,0,41,,90,0,L 1–2,0,,3,0,Away,0,Matchweek 31,West Ham,3
