pens_made,sca,carries,pens_att,blocks,dayofweek,gca,comp,assists,progressive_passes,touches,xg,position,pressures,date,shots_on_target,passes_completed,game_started,squad,shots_total,dribbles,xa,npxg,passes_pct,cards_yellow,passes,match_report,minutes,dribbles_completed,result,cards_red,progressive_carries,tackles,venue,goals,round,opponent,interceptions
0,7,26,0,1,Sun,2,Premier League,0,2,35,0.5,RW,14,2021-08-15,2,19,Y,West Ham,2,3,0.1,0.5,70.4,0,27,,89,3,W 4–2,0,9,2,Away,0,Matchweek 1,Newcastle Utd,0
0,8,23,0,1,Mon,1,Premier League,0,1,45,0.0,RW,14,2021-08-23,0,27,Y,West Ham,0,0,0.7,0.0,77.1,0,35,,90,0,W 4–1,0,1,4,Home,0,Matchweek 2,Leicester City,0
0,2,19,0,1,Sat,0,Premier League,0,2,29,0.0,RW,10,2021-08-28,0,12,Y,West Ham,1,1,0.2,0.0,63.2,0,19,,78,1,D 2–2,0,1,2,Home,0,Matchweek 3,Crystal Palace,1
0,2,31,0,1,Sat,0,Premier League,0,0,42,0.2,RW,13,2021-09-11,1,20,Y,West Ham,2,2,0.1,0.2,69.0,0,29,,82,1,D 0–0,0,6,0,Away,0,Matchweek 4,Southampton,2
0,0,12,0,0,Thu,0,Europa Lg,0,0,13,0.0,RW,3,2021-09-16,0,10,N,West Ham,0,2,0.0,0.0,83.3,0,12,,22,1,W 2–0,0,2,0,Away,0,Group stage,Dinamo Zagreb,1
0,5,17,0,1,Sun,1,Premier League,1,2,30,0.4,FW,19,2021-09-19,2,12,Y,West Ham,4,4,0.2,0.4,75.0,0,16,,89,2,L 1–2,0,2,1,Home,0,Matchweek 5,Manchester Utd,1
0,,,0,,Wed,,EFL Cup,0,,,,FW,,2021-09-22,1,,Y,West Ham,2,,,,,0,,,90,,W 1–0,0,,,Away,0,Third round,Manchester Utd,0
0,4,31,0,0,Sat,0,Premier League,0,2,42,0.1,RW,12,2021-09-25,0,25,Y,West Ham,3,2,0.0,0.1,86.2,0,29,,89,1,W 2–1,0,3,1,Away,0,Matchweek 6,Leeds United,2
0,2,18,0,1,Thu,1,Europa Lg,1,1,24,0.6,"RW,FW",8,2021-09-30,0,4,N,West Ham,1,6,0.1,0.6,40.0,0,10,,29,3,W 2–0,0,1,1,Home,0,Group stage,Rapid Wien,1
0,1,26,0,2,Sun,0,Premier League,0,0,35,0.4,RW,11,2021-10-03,2,17,Y,West Ham,3,1,0.0,0.4,65.4,0,26,,90,1,L 1–2,0,4,2,Home,1,Matchweek 7,Brentford,0
0,3,42,0,2,Sun,1,Premier League,1,3,54,0.2,"RW,AM",10,2021-10-17,2,28,Y,West Ham,3,3,0.3,0.2,75.7,0,37,,89,0,W 1–0,0,4,2,Away,0,Matchweek 8,Everton,1
0,2,30,0,1,Thu,0,Europa Lg,0,2,45,0.1,FW,14,2021-10-21,1,26,Y,West Ham,2,1,0.1,0.1,74.3,0,35,,82,0,W 3–0,0,2,1,Home,1,Group stage,Genk,0
0,2,23,0,2,Sun,0,Premier League,0,2,33,0.1,RW,25,2021-10-24,0,13,Y,West Ham,2,0,0.1,0.1,76.5,0,17,,89,0,W 1–0,0,4,3,Home,0,Matchweek 9,Tottenham,1
0,,,0,,Wed,,EFL Cup,0,,,,,,2021-10-27,0,,N,West Ham,0,,,,,0,,,59,,D 0 ,0,,,Home,0,Fourth round,Manchester City,0
0,5,30,0,4,Sun,1,Premier League,0,2,47,1.3,RW,28,2021-10-31,3,14,Y,West Ham,6,1,0.1,1.3,53.8,1,26,,89,1,W 4–1,0,5,2,Away,1,Matchweek 10,Aston Villa,0
0,3,16,0,0,Thu,0,Europa Lg,0,4,19,0.0,FW,7,2021-11-04,0,12,N,West Ham,0,4,0.1,0.0,75.0,0,16,,33,1,D 2–2,0,0,0,Away,0,Group stage,Genk,0
0,3,17,0,4,Sun,3,Premier League,2,3,28,0.2,RW,20,2021-11-07,0,11,Y,West Ham,1,4,0.5,0.2,64.7,0,17,,83,1,W 3–2,0,1,0,Home,0,Matchweek 11,Liverpool,0
0,1,14,0,1,Sat,0,Premier League,0,0,24,0.3,RW,18,2021-11-20,0,8,Y,West Ham,3,2,0.0,0.3,66.7,0,12,,70,1,L 0–1,0,1,1,Away,0,Matchweek 12,Wolves,2
0,3,17,0,0,Thu,0,Europa Lg,0,0,25,1.5,FW,8,2021-11-25,1,15,Y,West Ham,3,3,0.0,1.5,75.0,0,20,,64,3,W 2–0,0,1,0,Away,0,Group stage,Rapid Wien,0
0,1,10,0,0,Sun,0,Premier League,0,0,15,0.0,RW,6,2021-11-28,0,7,N,West Ham,0,2,0.0,0.0,70.0,0,10,,17,0,L 1–2,0,1,0,Away,0,Matchweek 13,Manchester City,3
0,3,24,0,3,Wed,0,Premier League,0,1,43,0.4,RW,19,2021-12-01,1,13,Y,West Ham,3,3,0.1,0.4,56.5,0,23,,90,1,D 1–1,0,4,0,Home,0,Matchweek 14,Brighton,4
0,3,26,0,1,Sat,1,Premier League,0,1,39,0.8,"AM,RM",32,2021-12-04,1,19,Y,West Ham,4,2,0.0,0.8,70.4,0,27,,90,1,W 3–2,0,4,0,Home,1,Matchweek 15,Chelsea,1
0,6,37,0,3,Sun,0,Premier League,0,2,60,0.1,RW,14,2021-12-12,1,30,Y,West Ham,2,4,0.2,0.1,68.2,0,44,,90,0,D 0–0,0,5,2,Away,0,Matchweek 16,Burnley,1
0,1,17,0,1,Wed,0,Premier League,0,0,24,0.2,"RW,FW",4,2021-12-15,1,10,Y,West Ham,3,0,0.0,0.2,55.6,0,18,,90,0,L 0–2,0,3,0,Away,0,Matchweek 17,Arsenal,1
