pens_made,sca,carries,pens_att,blocks,dayofweek,gca,comp,assists,progressive_passes,touches,xg,position,pressures,date,shots_on_target,passes_completed,game_started,squad,shots_total,dribbles,xa,npxg,passes_pct,cards_yellow,passes,match_report,minutes,dribbles_completed,result,cards_red,progressive_carries,tackles,venue,goals,round,opponent,interceptions
0,3,18,0,0,Sat,0,Premier League,0,2,27,0.0,"AM,LW",9,2021-08-14,0,14,Y,Everton,0,0,0.2,0.0,70.0,0,20,,82,0,W 3–1,0,5,3,Home,0,Matchweek 1,Southampton,0
0,2,17,0,0,Sat,0,Premier League,0,0,27,0.1,LM,13,2021-08-21,1,11,Y,Everton,1,0,0.2,0.1,64.7,0,17,,82,0,D 2–2,0,3,2,Away,1,Matchweek 2,Leeds United,0
0,,,0,,Tue,,EFL Cup,0,,,,,,2021-08-24,1,,N,Everton,1,,,,,0,,,16,,W 2–1,0,,,Away,0,Second round,Huddersfield,0
0,2,24,0,0,Sat,0,Premier League,0,2,33,0.2,LM,6,2021-08-28,1,16,Y,Everton,3,3,0.2,0.2,80.0,0,20,,80,0,W 2–0,0,9,0,Away,1,Matchweek 3,Brighton,1
0,2,25,0,1,Mon,0,Premier League,0,1,39,0.6,AM,13,2021-09-13,1,20,Y,Everton,4,1,0.0,0.6,80.0,0,25,,87,1,W 3–1,0,11,0,Home,1,Matchweek 4,Burnley,2
0,3,32,0,0,Sat,0,Premier League,0,1,36,0.1,"AM,FW,LM",10,2021-09-18,0,17,Y,Everton,2,4,0.1,0.1,81.0,0,21,,90,2,L 0–3,0,6,2,Away,0,Matchweek 5,Aston Villa,0
0,,,0,,Tue,,EFL Cup,0,,,,,,2021-09-21,0,,N,Everton,0,,,,,0,,,18,,D 2 ,0,,,Away,0,Third round,QPR,0
0,2,37,0,0,Sat,1,Premier League,1,2,43,0.0,AM,15,2021-09-25,0,25,Y,Everton,1,3,0.4,0.0,75.8,0,33,,82,1,W 2–0,0,8,1,Home,0,Matchweek 6,Norwich City,2
0,6,28,0,0,Sat,0,Premier League,0,1,32,0.2,"AM,LW",8,2021-10-02,1,18,Y,Everton,2,2,0.1,0.2,75.0,0,24,,89,1,D 1–1,0,4,1,Away,0,Matchweek 7,Manchester Utd,1
0,4,27,0,2,Sun,0,Premier League,0,1,43,0.2,AM,8,2021-10-17,1,23,Y,Everton,2,2,0.1,0.2,74.2,0,31,,90,0,L 0–1,0,6,1,Home,0,Matchweek 8,West Ham,0
0,4,33,0,2,Sat,2,Premier League,1,3,41,0.0,"AM,LM",10,2021-10-23,0,26,Y,Everton,0,3,0.5,0.0,83.9,0,31,,76,1,L 2–5,0,4,0,Home,0,Matchweek 9,Watford,1
0,2,29,0,2,Mon,0,Premier League,0,1,47,0.3,"LM,FW",20,2021-11-01,0,23,Y,Everton,3,2,0.0,0.3,71.9,0,32,,89,1,L 1–2,0,3,0,Away,0,Matchweek 10,Wolves,0
0,3,43,0,1,Sun,0,Premier League,0,0,54,0.3,LM,16,2021-11-07,0,29,Y,Everton,5,5,0.1,0.3,87.9,0,33,,89,4,D 0–0,0,9,2,Home,0,Matchweek 11,Tottenham,2
0,0,4,0,0,Sun,0,Premier League,0,0,7,0.0,LM,3,2021-11-21,0,4,Y,Everton,1,1,0.0,0.0,100.0,0,4,,16,0,L 0–3,0,1,0,Away,0,Matchweek 12,Manchester City,0
0,0,23,0,0,Sun,0,Premier League,0,2,25,0.0,AM,0,2021-11-28,0,17,N,Everton,1,0,0.0,0.0,73.9,0,23,,21,0,L 0–1,0,6,0,Away,0,Matchweek 13,Brentford,0
0,3,21,0,2,Wed,0,Premier League,0,3,28,0.2,"LM,FW",8,2021-12-01,1,9,Y,Everton,3,3,0.1,0.2,56.3,1,16,,83,1,L 1–4,0,5,0,Home,1,Matchweek 14,Liverpool,0
0,3,31,0,3,Mon,1,Premier League,0,2,44,0.1,LM,8,2021-12-06,1,17,Y,Everton,3,3,0.1,0.1,58.6,1,29,,90,1,W 2–1,0,6,2,Home,1,Matchweek 15,Arsenal,0
0,4,33,0,1,Sun,0,Premier League,0,1,38,0.2,"LM,LW",10,2021-12-12,3,11,Y,Everton,4,6,0.0,0.2,47.8,1,23,,90,5,L 1–3,0,9,2,Away,0,Matchweek 16,Crystal Palace,1
0,6,47,0,1,Sun,0,Premier League,0,1,51,0.1,"LW,LM",12,2022-01-02,1,20,Y,Everton,2,9,0.2,0.1,57.1,0,35,,90,6,L 2–3,0,9,1,Home,0,Matchweek 21,Brighton,0
0,,,0,,Sat,,FA Cup,0,,,,FW,,2022-01-08,2,,Y,Everton,6,,,,,0,,,104,,W 3–2,0,,,Away,1,Third round proper,Hull City,0
0,5,37,0,3,Sat,0,Premier League,0,2,58,0.1,LM,17,2022-01-15,1,30,Y,Everton,2,4,0.1,0.1,68.2,0,44,,90,1,L 1–2,0,8,1,Away,0,Matchweek 22,Norwich City,0
0,3,24,0,1,Sat,0,Premier League,0,2,37,0.1,LM,11,2022-01-22,0,13,Y,Everton,3,5,0.0,0.1,59.1,0,22,,90,2,L 0–1,0,4,2,Home,0,Matchweek 23,Aston Villa,1
0,,,0,,Sat,,FA Cup,1,,,,FW,,2022-02-05,0,,Y,Everton,3,,,,,0,,,87,,W 4–1,0,,,Home,0,Fourth round proper,Brentford,0
0,3,12,0,0,Tue,0,Premier League,0,2,14,0.0,AM,5,2022-02-08,0,8,Y,Everton,0,1,0.2,0.0,88.9,0,9,,24,1,L 1–3,0,2,1,Away,0,Matchweek 24,Newcastle Utd,0
0,1,7,0,0,Sat,0,Premier League,0,0,8,0.0,"LW,RW",1,2022-02-26,0,4,N,Everton,0,0,0.0,0.0,50.0,0,8,,14,0,L 0–1,0,2,0,Home,0,Matchweek 27,Manchester City,0
0,1,21,0,1,Sun,0,Premier League,0,2,29,0.1,LW,7,2022-03-13,1,12,Y,Everton,1,4,0.1,0.1,54.5,0,22,,73,3,L 0–1,0,7,1,Home,0,Matchweek 29,Wolves,0
0,1,19,0,0,Thu,0,Premier League,0,1,29,0.1,LW,10,2022-03-17,0,16,Y,Everton,3,3,0.0,0.1,72.7,0,22,,75,1,W 1–0,0,3,0,Home,0,Matchweek 20,Newcastle Utd,0
0,,,0,,Sun,,FA Cup,0,,,,,,2022-03-20,1,,N,Everton,3,,,,,0,,,74,,L 0–4,0,,,Away,0,Quarter-finals,Crystal Palace,0
0,1,32,0,0,Sun,0,Premier League,0,1,45,0.1,"RW,LM,RM",11,2022-04-03,0,29,Y,Everton,2,6,0.1,0.1,80.6,0,36,,90,4,L 1–2,0,10,0,Away,0,Matchweek 31,West Ham,2
0,1,12,0,1,Wed,0,Premier League,0,0,14,0.1,"RW,RM",3,2022-04-06,0,8,N,Everton,2,2,0.0,0.1,100.0,0,8,,18,2,L 2–3,0,6,0,Away,0,Matchweek 19,Burnley,0
0,0,7,0,2,Sat,0,Premier League,0,0,10,0.0,LW,4,2022-04-09,0,3,N,Everton,0,2,0.0,0.0,60.0,0,5,,20,0,W 1–0,0,1,0,Home,0,Matchweek 32,Manchester Utd,0
0,4,23,0,3,Wed,0,Premier League,0,2,32,0.2,LW,11,2022-04-20,0,17,Y,Everton,3,1,0.1,0.2,89.5,0,19,,65,1,D 1–1,0,8,0,Home,0,Matchweek 18,Leicester City,1
0,1,12,0,4,Sun,0,Premier League,0,0,22,0.2,RW,14,2022-04-24,0,2,Y,Everton,3,3,0.0,0.2,33.3,0,6,,76,2,L 0–2,0,0,2,Away,0,Matchweek 34,Liverpool,1
0,1,16,0,3,Sun,1,Premier League,1,2,36,0.2,"LW,RW",22,2022-05-01,1,13,Y,Everton,2,1,0.4,0.2,76.5,0,17,,89,0,W 1–0,0,1,6,Home,0,Matchweek 35,Chelsea,1
0,3,35,0,2,Sun,0,Premier League,0,0,39,0.0,LW,16,2022-05-08,0,22,Y,Everton,1,3,0.6,0.0,78.6,0,28,,73,3,W 2–1,0,3,1,Away,0,Matchweek 36,Leicester City,0
0,6,38,0,1,Wed,0,Premier League,0,4,56,0.6,"RW,LW",16,2022-05-11,0,34,Y,Everton,3,0,0.2,0.6,75.6,0,45,,76,0,D 0–0,0,7,1,Away,0,Matchweek 30,Watford,0
0,1,5,0,0,Sun,0,Premier League,0,1,7,0.0,"RM,LW,CM",3,2022-05-15,0,5,N,Everton,0,0,0.1,0.0,71.4,0,7,,19,0,L 2–3,0,1,0,Home,0,Matchweek 37,Brentford,0
0,1,11,0,0,Thu,1,Premier League,1,3,12,0.0,"RW,FW",7,2022-05-19,0,10,N,Everton,0,3,0.2,0.0,90.9,0,11,,30,3,W 3–2,0,2,0,Home,0,Matchweek 33,Crystal Palace,0
0,1,28,0,2,Sun,0,Premier League,0,0,45,0.2,AM,12,2022-05-22,1,18,Y,Everton,3,1,0.0,0.2,58.1,0,31,,90,0,L 1–5,0,5,1,Away,0,Matchweek 38,Arsenal,0
