pens_made,sca,carries,pens_att,blocks,dayofweek,gca,comp,assists,progressive_passes,touches,xg,position,date,pressures,shots_on_target,passes_completed,game_started,squad,shots_total,dribbles,xa,npxg,passes_pct,cards_yellow,passes,match_report,minutes,dribbles_completed,result,cards_red,bench_explain,progressive_carries,tackles,venue,goals,round,opponent,interceptions
,,,,,Sat,,UEFA Euro,,,,,,2021-07-03,,,,N,England,,,,,,,,,,,W 4–0,,"On matchday squad, but did not play",,,Away,,Quarter-finals,Ukraine,
,,,,,Wed,,Super Cup,,,,,,2021-08-11,,,,N,Chelsea,,,,,,,,,,,D 1 ,,"On matchday squad, but did not play",,,Home,,UEFA Super Cup,Villarreal,
,,,,,Sat,,Premier League,,,,,,2021-08-14,,,,N,Chelsea,,,,,,,,,,,W 3–0,,"On matchday squad, but did not play",,,Home,,Matchweek 1,Crystal Palace,
,,,,,Sun,,Premier League,,,,,,2021-08-22,,,,N,Chelsea,,,,,,,,,,,W 2–0,,"On matchday squad, but did not play",,,Away,,Matchweek 2,Arsenal,
,,,,,Sat,,Premier League,,,,,,2021-08-28,,,,N,Chelsea,,,,,,,,,,,D 1–1,,"On matchday squad, but did not play",,,Away,,Matchweek 3,Liverpool,
,,,,,Sat,,Premier League,,,,,,2021-09-11,,,,N,Chelsea,,,,,,,,,,,W 3–0,,"On matchday squad, but did not play",,,Home,,Matchweek 4,Aston Villa,
0,0,12,0,0,Tue,0,Champions Lg,0,0,16,0.0,WB,2021-09-14,1,0,12,N,Chelsea,0,0,0.0,0.0,85.7,0,14,,8,0,W 1–0,0,,3,1,Home,0,Group stage,Zenit,0
,,,,,Sun,,Premier League,,,,,,2021-09-19,,,,N,Chelsea,,,,,,,,,,,W 3–0,,"On matchday squad, but did not play",,,Away,,Matchweek 5,Tottenham,
0,,,0,,Wed,,EFL Cup,0,,,,LB,2021-09-22,,0,,Y,Chelsea,0,,,,,0,,,90,,D 1 ,0,,,,Home,0,Third round,Aston Villa,1
,,,,,Sat,,Premier League,,,,,,2021-09-25,,,,N,Chelsea,,,,,,,,,,,L 0–1,,"On matchday squad, but did not play",,,Home,,Matchweek 6,Manchester City,
0,3,24,0,0,Wed,0,Champions Lg,0,1,39,0.1,WB,2021-09-29,6,0,27,N,Chelsea,2,0,0.1,0.1,79.4,0,34,,45,0,L 0–1,0,,1,1,Away,0,Group stage,Juventus,1
0,7,32,0,0,Sat,0,Premier League,0,2,69,0.5,WB,2021-10-02,14,3,48,Y,Chelsea,4,1,0.3,0.5,81.4,0,59,,90,1,W 3–1,0,,5,1,Home,1,Matchweek 7,Southampton,2
0,,,0,,Sat,,WCQ,0,,,,LB,2021-10-09,,1,,Y,England,2,,,,,0,,,90,,W 5–0,0,,,,Away,1,First round,Andorra,0
,,,,,Tue,,WCQ,,,,,,2021-10-12,,,,N,England,,,,,,,,,,,D 1–1,,"On matchday squad, but did not play",,,Home,,First round,Hungary,
0,2,40,0,2,Sat,0,Premier League,0,3,79,0.1,WB,2021-10-16,17,1,37,Y,Chelsea,1,0,0.0,0.1,61.7,0,60,,90,0,W 1–0,0,,3,5,Away,1,Matchweek 8,Brentford,2
0,1,18,0,0,Wed,0,Champions Lg,0,1,36,0.3,WB,2021-10-20,7,1,22,Y,Chelsea,3,0,0.1,0.3,84.6,0,26,,64,0,W 4–0,0,,3,3,Home,0,Group stage,Malmö,3
0,2,38,0,3,Sat,0,Premier League,0,2,60,0.1,WB,2021-10-23,19,1,35,Y,Chelsea,2,0,0.0,0.1,74.5,0,47,,90,0,W 7–0,0,,3,1,Home,1,Matchweek 9,Norwich City,1
0,,,0,,Tue,,EFL Cup,0,,,,,2021-10-26,,0,,N,Chelsea,0,,,,,0,,,24,,D 1 ,0,,,,Home,0,Fourth round,Southampton,1
0,2,44,0,1,Sat,0,Premier League,0,1,75,0.0,WB,2021-10-30,13,0,57,Y,Chelsea,0,0,0.1,0.0,83.8,0,68,,90,0,W 3–0,0,,4,1,Away,0,Matchweek 10,Newcastle Utd,1
,,,,,Tue,,Champions Lg,,,,,,2021-11-02,,,,N,Chelsea,,,,,,,,,,,W 1–0,,"On matchday squad, but did not play",,,Away,,Group stage,Malmö,
0,6,58,0,1,Sat,0,Premier League,0,4,78,0.1,WB,2021-11-06,12,0,59,Y,Chelsea,3,2,0.2,0.1,92.2,0,64,,90,0,D 1–1,0,,5,0,Home,0,Matchweek 11,Burnley,0
0,,,0,,Fri,,WCQ,0,,,,LM,2021-11-12,,0,,Y,England,0,,,,,0,,,90,,W 5–0,0,,,,Home,0,First round,Albania,0
0,,,0,,Mon,,WCQ,0,,,,,2021-11-15,,0,,N,England,0,,,,,0,,,45,,W 10–0,0,,,,Away,0,First round,San Marino,0
0,2,28,0,3,Sat,1,Premier League,1,1,60,0.5,WB,2021-11-20,17,1,28,Y,Chelsea,3,2,0.3,0.5,62.2,0,45,,90,1,W 3–0,0,,3,2,Away,0,Matchweek 12,Leicester City,0
0,0,22,0,1,Tue,0,Champions Lg,0,2,47,0.2,WB,2021-11-23,14,0,27,Y,Chelsea,3,0,0.0,0.2,73.0,0,37,,70,0,W 4–0,0,,2,2,Home,0,Group stage,Juventus,1
0,0,1,0,0,Sun,0,Premier League,0,0,1,0.0,LW,2022-05-22,0,0,1,N,Chelsea,0,0,0.0,0.0,100.0,0,1,,2,0,W 2–1,0,,0,0,Home,0,Matchweek 38,Watford,0
