pens_made,sca,carries,pens_att,blocks,dayofweek,gca,comp,assists,progressive_passes,touches,xg,position,date,pressures,shots_on_target,passes_completed,game_started,squad,shots_total,dribbles,xa,npxg,passes_pct,cards_yellow,passes,match_report,minutes,dribbles_completed,result,cards_red,bench_explain,progressive_carries,tackles,venue,goals,round,opponent,interceptions
,,,,,Sat,,Premier League,,,,,,2021-08-14,,,,N,Wolves,,,,,,,,,,,L 0–1,,"On matchday squad, but did not play",,,Away,,Matchweek 1,Leicester City,
0,,,0,,Mon,,PL2 — Div. 2,0,,,,FW,2021-08-16,,,,Y,Wolves,,,,,,0,,,90,,W 2–1,0,,,,Home,0,Matchweek 1,Middlesbrough,
,,,,,Sun,,Premier League,,,,,,2021-08-22,,,,N,Wolves,,,,,,,,,,,L 0–1,,"On matchday squad, but did not play",,,Home,,Matchweek 2,Tottenham,
0,,,0,,Tue,,EFL Cup,0,,,,,2021-08-24,,0,,N,Wolves,0,,,,,0,,,2,,W 4–0,0,,,,Away,0,Second round,Nott'ham Forest,0
0,,,0,,Fri,,PL2 — Div. 2,0,,,,FW,2021-08-27,,,,Y,Wolves,,,,,,1,,,90,,W 1–0,0,,,,Home,0,Matchweek 3,Nottingham Forest FC U23,
,,,,,Sun,,Premier League,,,,,,2021-08-29,,,,N,Wolves,,,,,,,,,,,L 0–1,,"On matchday squad, but did not play",,,Home,,Matchweek 3,Manchester Utd,
0,,,0,,Fri,,PL2 — Div. 2,0,,,,DM,2021-09-10,,,,Y*,Wolves,,,,,,0,,,90,,D 1–1,0,,,,Away,1,Matchweek 4,Burnley FC U23,
0,,,0,,Mon,,PL2 — Div. 2,0,,,,CM,2021-09-20,,,,Y*,Wolves,,,,,,0,,,90,,W 2–1,0,,,,Home,0,Matchweek 5,Fulham,
,,,,,Sun,,Premier League,,,,,,2021-09-26,,,,N,Wolves,,,,,,,,,,,W 1–0,,"On matchday squad, but did not play",,,Away,,Matchweek 6,Southampton,
0,,,0,,Mon,,PL2 — Div. 2,0,,,,CM,2021-09-27,,,,Y*,Wolves,,,,,,1,,,90,,L 1–3,0,,,,Home,0,Matchweek 6,Sunderland,
0,,,0,,Fri,,PL2 — Div. 2,0,,,,CM,2021-10-01,,,,Y*,Wolves,,,,,,0,,,62,,D 0–0,0,,,,Away,0,Matchweek 7,Aston Villa,
,,,,,Sat,,Premier League,,,,,,2021-10-02,,,,N,Wolves,,,,,,,,,,,W 2–1,,"On matchday squad, but did not play",,,Home,,Matchweek 7,Newcastle Utd,
,,,,,Sat,,Premier League,,,,,,2021-10-16,,,,N,Wolves,,,,,,,,,,,W 3–2,,"On matchday squad, but did not play",,,Away,,Matchweek 8,Aston Villa,
0,,,0,,Mon,,PL2 — Div. 2,0,,,,CM,2021-10-18,,,,Y*,Wolves,,,,,,0,,,90,,L 0–1,0,,,,Home,0,Matchweek 8,Southampton,
,,,,,Sat,,Premier League,,,,,,2021-10-23,,,,N,Wolves,,,,,,,,,,,D 1–1,,"On matchday squad, but did not play",,,Away,,Matchweek 9,Leeds United,
0,,,0,,Mon,,PL2 — Div. 2,0,,,,CM,2021-10-25,,,,Y*,Wolves,,,,,,0,,,90,,W 3–2,0,,,,Away,0,Matchweek 9,Newcastle Utd,
,,,,,Mon,,Premier League,,,,,,2021-11-01,,,,N,Wolves,,,,,,,,,,,W 2–1,,"On matchday squad, but did not play",,,Home,,Matchweek 10,Everton,
,,,,,Sat,,Premier League,,,,,,2021-11-06,,,,N,Wolves,,,,,,,,,,,L 0–2,,"On matchday squad, but did not play",,,Away,,Matchweek 11,Crystal Palace,
0,,,0,,Fri,,PL2 — Div. 2,0,,,,FW,2021-11-19,,,,Y*,Wolves,,,,,,0,,,90,,W 2–1,0,,,,Away,1,Matchweek 12,Birmingham City FC U23,
,,,,,Sat,,Premier League,,,,,,2021-11-20,,,,N,Wolves,,,,,,,,,,,W 1–0,,"On matchday squad, but did not play",,,Home,,Matchweek 12,West Ham,
,,,,,Sat,,Premier League,,,,,,2021-11-27,,,,N,Wolves,,,,,,,,,,,D 0–0,,"On matchday squad, but did not play",,,Away,,Matchweek 13,Norwich City,
,,,,,Wed,,Premier League,,,,,,2021-12-01,,,,N,Wolves,,,,,,,,,,,D 0–0,,"On matchday squad, but did not play",,,Home,,Matchweek 14,Burnley,
,,,,,Sat,,Premier League,,,,,,2021-12-04,,,,N,Wolves,,,,,,,,,,,L 0–1,,"On matchday squad, but did not play",,,Home,,Matchweek 15,Liverpool,
,,,,,Sat,,Premier League,,,,,,2021-12-11,,,,N,Wolves,,,,,,,,,,,L 0–1,,"On matchday squad, but did not play",,,Away,,Matchweek 16,Manchester City,
,,,,,Wed,,Premier League,,,,,,2021-12-15,,,,N,Wolves,,,,,,,,,,,W 1–0,,"On matchday squad, but did not play",,,Away,,Matchweek 17,Brighton,
,,,,,Sun,,Premier League,,,,,,2021-12-19,,,,N,Wolves,,,,,,,,,,,D 0–0,,"On matchday squad, but did not play",,,Home,,Matchweek 18,Chelsea,
,,,,,Mon,,Premier League,,,,,,2022-01-03,,,,N,Wolves,,,,,,,,,,,W 1–0,,"On matchday squad, but did not play",,,Away,,Matchweek 21,Manchester Utd,
0,,,0,,Sun,,FA Cup,0,,,,,2022-01-09,,0,,N,Wolves,0,,,,,0,,,6,,W 3–0,0,,,,Home,0,Third round proper,Sheffield Utd,0
0,0,0,0,0,Sat,0,Premier League,0,0,0,0.0,AM,2022-01-15,1,0,0,N,Wolves,0,0,0.0,0.0,,0,0,,1,0,W 3–1,0,,0,0,Home,0,Matchweek 22,Southampton,0
0,,,0,,Mon,,PL2 — Div. 2,0,,,,FW,2022-01-17,,,,Y*,Wolves,,,,,,0,,,90,,D 1–1,0,,,,Home,0,Matchweek 17,Burnley FC U23,
,,,,,Sat,,Premier League,,,,,,2022-01-22,,,,N,Wolves,,,,,,,,,,,W 2–1,,"On matchday squad, but did not play",,,Away,,Matchweek 23,Brentford,
0,,,0,,Mon,,PL2 — Div. 2,0,,,,CM,2022-01-24,,,,Y*,Wolves,,,,,,0,,,90,,W 2–1,0,,,,Away,0,Matchweek 18,Sunderland,
,,,,,Sat,,FA Cup,,,,,,2022-02-05,,,,N,Wolves,,,,,,,,,,,L 0–1,,"On matchday squad, but did not play",,,Home,,Fourth round proper,Norwich City,
,,,,,Thu,,Premier League,,,,,,2022-02-10,,,,N,Wolves,,,,,,,,,,,L 0–1,,"On matchday squad, but did not play",,,Home,,Matchweek 24,Arsenal,
0,2,23,0,0,Sun,0,Premier League,0,3,37,0.0,CM,2022-02-13,18,0,27,Y,Wolves,0,0,0.2,0.0,84.4,0,32,,83,0,W 2–0,0,,2,1,Away,0,Matchweek 25,Tottenham,2
,,,,,Sun,,Premier League,,,,,,2022-02-20,,,,N,Wolves,,,,,,,,,,,W 2–1,,"On matchday squad, but did not play",,,Home,,Matchweek 26,Leicester City,
,,,,,Thu,,Premier League,,,,,,2022-02-24,,,,N,Wolves,,,,,,,,,,,L 1–2,,"On matchday squad, but did not play",,,Away,,Matchweek 20,Arsenal,
,,,,,Sun,,Premier League,,,,,,2022-02-27,,,,N,Wolves,,,,,,,,,,,L 0–1,,"On matchday squad, but did not play",,,Away,,Matchweek 27,West Ham,
0,,,0,,Mon,,PL2 — Div. 2,1,,,,DM,2022-02-28,,,,Y,Wolves,,,,,,0,,,90,,W 4–3,0,,,,Home,0,Matchweek 21,Reading,
,,,,,Thu,,Premier League,,,,,,2022-03-10,,,,N,Wolves,,,,,,,,,,,W 4–0,,"On matchday squad, but did not play",,,Home,,Matchweek 19,Watford,
,,,,,Sun,,Premier League,,,,,,2022-03-13,,,,N,Wolves,,,,,,,,,,,W 1–0,,"On matchday squad, but did not play",,,Away,,Matchweek 29,Everton,
0,,,0,,Mon,,PL2 — Div. 2,0,,,,CM,2022-03-14,,,,Y*,Wolves,,,,,,0,,,90,,W 4–0,0,,,,Away,0,Matchweek 22,West Brom,
,,,,,Fri,,Premier League,,,,,,2022-03-18,,,,N,Wolves,,,,,,,,,,,L 2–3,,"On matchday squad, but did not play",,,Home,,Matchweek 30,Leeds United,
0,,,0,,Fri,,PL2 — Div. 2,1,,,,FW,2022-03-25,,,,Y,Wolves,,,,,,0,,,89,,W 4–2,0,,,,Away,1,Matchweek 16,Southampton,
,,,,,Sat,,Premier League,,,,,,2022-04-02,,,,N,Wolves,,,,,,,,,,,W 2–1,,"On matchday squad, but did not play",,,Home,,Matchweek 31,Aston Villa,
0,1,59,0,1,Fri,0,Premier League,0,4,80,0.0,DM,2022-04-08,23,0,68,Y,Wolves,0,1,0.0,0.0,93.2,0,73,,90,0,L 0–1,0,,6,3,Away,0,Matchweek 32,Newcastle Utd,0
0,,,0,,Mon,,PL2 — Div. 2,0,,,,FW,2022-04-18,,,,Y,Wolves,,,,,,0,,,81,,W 4–2,0,,,,Home,2,Matchweek 15,Newcastle Utd,
,,,,,Sun,,Premier League,,,,,,2022-04-24,,,,N,Wolves,,,,,,,,,,,L 0–1,,"On matchday squad, but did not play",,,Away,,Matchweek 34,Burnley,
0,,,0,,Mon,,PL2 — Div. 2,0,,,,AM,2022-04-25,,,,Y,Wolves,,,,,,0,,,90,,D 2–2,0,,,,Home,0,Matchweek 25,Stoke City,
,,,,,Sat,,Premier League,,,,,,2022-04-30,,,,N,Wolves,,,,,,,,,,,L 0–3,,"On matchday squad, but did not play",,,Home,,Matchweek 35,Brighton,
,,,,,Sat,,Premier League,,,,,,2022-05-07,,,,N,Wolves,,,,,,,,,,,D 2–2,,"On matchday squad, but did not play",,,Away,,Matchweek 36,Chelsea,
0,0,1,0,0,Wed,0,Premier League,0,0,1,0.0,CM,2022-05-11,1,0,1,N,Wolves,0,0,0.0,0.0,100.0,0,1,,6,0,L 1–5,0,,0,0,Home,0,Matchweek 33,Manchester City,0
0,,,0,,Tue,,PL2 — Div. 2,1,,,,FW,2022-05-17,,,,Y,Wolves,,,,,,0,,,120,,D 1 ,0,,,,Home,0,Semi-finals,Norwich City,
0,,,0,,Mon,,PL2 — Div. 2,0,,,,FW,2022-05-23,,,,Y,Wolves,,,,,,0,,,90,,W 2–0,0,,,,Home,2,Final,Stoke City,
