pens_made,sca,carries,pens_att,blocks,dayofweek,gca,comp,assists,progressive_passes,touches,xg,position,date,pressures,shots_on_target,passes_completed,game_started,squad,shots_total,dribbles,xa,npxg,passes_pct,cards_yellow,passes,match_report,minutes,dribbles_completed,result,cards_red,bench_explain,progressive_carries,tackles,venue,goals,round,opponent,interceptions
,,,,,Sat,,Community Shield,,,,,,2021-08-07,,,,N,Leicester City,,,,,,,,,,,W 1–0,,"On matchday squad, but did not play",,,Neutral,,FA Community Shield,Manchester City,
,,,,,Sat,,Premier League,,,,,,2021-08-14,,,,N,Leicester City,,,,,,,,,,,W 1–0,,"On matchday squad, but did not play",,,Home,,Matchweek 1,Wolves,
,,,,,Mon,,Premier League,,,,,,2021-08-23,,,,N,Leicester City,,,,,,,,,,,L 1–4,,"On matchday squad, but did not play",,,Away,,Matchweek 2,West Ham,
,,,,,Sat,,Premier League,,,,,,2021-08-28,,,,N,Leicester City,,,,,,,,,,,W 2–1,,"On matchday squad, but did not play",,,Away,,Matchweek 3,Norwich City,
,,,,,Thu,,Europa Lg,,,,,,2021-09-16,,,,N,Leicester City,,,,,,,,,,,D 2–2,,"On matchday squad, but did not play",,,Home,,Group stage,Napoli,
,,,,,Sun,,Premier League,,,,,,2021-09-19,,,,N,Leicester City,,,,,,,,,,,L 1–2,,"On matchday squad, but did not play",,,Away,,Matchweek 5,Brighton,
,,,,,Thu,,Europa Lg,,,,,,2021-09-30,,,,N,Leicester City,,,,,,,,,,,L 0–1,,"On matchday squad, but did not play",,,Away,,Group stage,Legia Warsaw,
0,1,22,0,1,Sun,0,Premier League,0,3,49,0.0,DM,2021-10-03,16,0,23,Y,Leicester City,0,1,0.0,0.0,67.6,0,34,,59,1,D 2–2,0,,0,4,Away,0,Matchweek 7,Crystal Palace,6
,,,,,Sat,,Premier League,,,,,,2021-10-16,,,,N,Leicester City,,,,,,,,,,,W 4–2,,"On matchday squad, but did not play",,,Home,,Matchweek 8,Manchester Utd,
0,0,9,0,0,Wed,0,Europa Lg,0,0,14,0.0,DM,2021-10-20,14,0,8,N,Leicester City,0,0,0.0,0.0,80.0,0,10,,26,0,W 4–3,0,,0,2,Away,0,Group stage,Spartak Moscow,1
,,,,,Sun,,Premier League,,,,,,2021-10-24,,,,N,Leicester City,,,,,,,,,,,W 2–1,,"On matchday squad, but did not play",,,Away,,Matchweek 9,Brentford,
0,,,0,,Wed,,EFL Cup,0,,,,DM,2021-10-27,,0,,Y*,Leicester City,0,,,,,0,,,65,,D 2 ,0,,,,Home,0,Fourth round,Brighton,1
,,,,,Sat,,Premier League,,,,,,2021-10-30,,,,N,Leicester City,,,,,,,,,,,L 0–2,,"On matchday squad, but did not play",,,Home,,Matchweek 10,Arsenal,
,,,,,Thu,,Europa Lg,,,,,,2021-11-04,,,,N,Leicester City,,,,,,,,,,,D 1–1,,"On matchday squad, but did not play",,,Home,,Group stage,Spartak Moscow,
,,,,,Sat,,Premier League,,,,,,2021-11-20,,,,N,Leicester City,,,,,,,,,,,L 0–3,,"On matchday squad, but did not play",,,Home,,Matchweek 12,Chelsea,
,,,,,Thu,,Europa Lg,,,,,,2021-11-25,,,,N,Leicester City,,,,,,,,,,,W 3–1,,"On matchday squad, but did not play",,,Home,,Group stage,Legia Warsaw,
,,,,,Sun,,Premier League,,,,,,2021-11-28,,,,N,Leicester City,,,,,,,,,,,W 4–2,,"On matchday squad, but did not play",,,Home,,Matchweek 13,Watford,
,,,,,Wed,,Premier League,,,,,,2021-12-01,,,,N,Leicester City,,,,,,,,,,,D 2–2,,"On matchday squad, but did not play",,,Away,,Matchweek 14,Southampton,
,,,,,Sun,,Premier League,,,,,,2021-12-05,,,,N,Leicester City,,,,,,,,,,,L 1–2,,"On matchday squad, but did not play",,,Away,,Matchweek 15,Aston Villa,
,,,,,Thu,,Europa Lg,,,,,,2021-12-09,,,,N,Leicester City,,,,,,,,,,,L 2–3,,"On matchday squad, but did not play",,,Away,,Group stage,Napoli,
