pens_made,sca,carries,pens_att,blocks,dayofweek,gca,comp,assists,progressive_passes,touches,xg,position,pressures,date,shots_on_target,passes_completed,game_started,squad,shots_total,dribbles,xa,npxg,passes_pct,cards_yellow,passes,match_report,minutes,dribbles_completed,result,cards_red,progressive_carries,tackles,venue,goals,round,opponent,interceptions
0,5,26,0,0,Sat,2,Premier League,2,3,36,0.2,RW,24,2021-08-14,2,18,Y,Liverpool,5,5,1.2,0.2,75.0,0,24,,90,3,W 3–0,0,7,0,Away,1,Matchweek 1,Norwich City,0
0,6,33,0,0,Sat,0,Premier League,0,5,43,0.3,RW,9,2021-08-21,1,26,Y,Liverpool,5,6,0.1,0.3,83.9,0,31,,90,3,W 2–0,0,7,0,Home,0,Matchweek 2,Burnley,0
1,5,46,1,0,Sat,0,Premier League,0,3,54,1.2,RW,6,2021-08-28,1,35,Y,Liverpool,2,2,0.3,0.4,81.4,0,43,,90,2,D 1–1,0,8,0,Home,1,Matchweek 3,Chelsea,1
0,,,0,,Sun,,WCQ,0,,,,AM,,2021-09-05,,,Y*,Egypt,,,,,,0,,,90,,D 1–1,0,,,Away,0,Second round,Gabon,
0,9,35,0,1,Sun,0,Premier League,0,7,49,0.8,RW,13,2021-09-12,1,26,Y,Liverpool,3,4,0.5,0.8,78.8,0,33,,90,0,W 3–0,0,5,2,Away,1,Matchweek 4,Leeds United,0
0,5,42,1,0,Wed,1,Champions Lg,0,4,64,1.4,RW,14,2021-09-15,2,40,Y,Liverpool,4,5,0.1,0.7,80.0,0,50,,83,3,W 3–2,0,6,1,Home,1,Group stage,Milan,1
0,4,44,0,1,Sat,1,Premier League,0,5,60,0.5,RW,18,2021-09-18,5,32,Y,Liverpool,6,5,0.0,0.5,76.2,1,42,,90,1,W 3–0,0,5,0,Home,1,Matchweek 5,Crystal Palace,0
0,4,40,0,0,Sat,1,Premier League,0,2,46,1.1,"RW,FW",9,2021-09-25,1,24,Y,Liverpool,3,2,0.1,1.1,64.9,0,37,,90,2,D 3–3,0,3,0,Away,1,Matchweek 6,Brentford,0
0,4,26,0,1,Tue,0,Champions Lg,0,3,34,1.0,RW,12,2021-09-28,2,22,Y,Liverpool,2,3,0.1,1.0,88.0,0,25,,65,1,W 5–1,0,5,0,Away,2,Group stage,Porto,0
0,5,28,0,1,Sun,4,Premier League,1,6,42,0.2,RW,33,2021-10-03,1,18,Y,Liverpool,3,6,0.7,0.2,78.3,0,23,,90,4,D 2–2,0,7,3,Home,1,Matchweek 7,Manchester City,2
0,,,0,,Fri,,WCQ,0,,,,AM,,2021-10-08,,,Y*,Egypt,,,,,,0,,,90,,W 1–0,0,,,Home,0,Second round,Libya,
0,,,0,,Mon,,WCQ,1,,,,AM,,2021-10-11,,,Y*,Egypt,,,,,,0,,,90,,W 3–0,0,,,Away,0,Second round,Libya,
0,5,55,0,0,Sat,3,Premier League,1,7,63,0.3,RW,12,2021-10-16,3,42,Y,Liverpool,5,6,0.4,0.3,84.0,0,50,,90,4,W 5–0,0,10,0,Away,1,Matchweek 8,Watford,0
1,4,32,1,1,Tue,2,Champions Lg,0,1,40,0.8,RW,4,2021-10-19,1,26,Y,Liverpool,1,4,0.1,0.1,78.8,0,33,,89,3,W 3–2,0,6,0,Away,2,Group stage,Atlético Madrid,0
0,3,26,0,0,Sun,2,Premier League,1,4,59,1.4,RW,8,2021-10-24,4,45,Y,Liverpool,7,1,0.8,1.4,91.8,0,49,,90,0,W 5–0,0,7,0,Away,3,Matchweek 9,Manchester Utd,0
0,3,29,0,0,Sat,1,Premier League,1,3,38,0.1,"RW,FW",18,2021-10-30,1,21,Y,Liverpool,2,3,0.5,0.1,70.0,0,30,,90,2,D 2–2,0,7,0,Home,0,Matchweek 10,Brighton,0
0,2,67,0,1,Wed,0,Champions Lg,0,3,78,0.5,RW,10,2021-11-03,2,49,Y,Liverpool,4,9,0.1,0.5,87.5,0,56,,90,5,W 2–0,0,8,1,Home,0,Group stage,Atlético Madrid,0
