pens_made,sca,carries,pens_att,blocks,dayofweek,gca,comp,assists,progressive_passes,touches,xg,position,pressures,date,shots_on_target,passes_completed,game_started,squad,shots_total,dribbles,xa,npxg,passes_pct,cards_yellow,passes,match_report,minutes,dribbles_completed,result,cards_red,progressive_carries,tackles,venue,goals,round,opponent,interceptions
0,,,0,,Tue,,EFL Cup,0,,,,,,2021-08-24,0,,N,Watford,0,,,,,0,,,29,,W 1–0,0,,,Home,0,Second round,Crystal Palace,1
0,4,32,0,0,Sat,1,Premier League,1,4,40,0.0,RB,2,2021-09-18,0,28,Y,Watford,0,1,0.3,0.0,73.7,0,38,,58,1,W 3–1,0,6,1,Away,0,Matchweek 5,Norwich City,0
0,1,15,0,3,Sat,0,Premier League,0,4,45,0.0,RB,7,2021-09-25,0,28,Y,Watford,0,0,0.0,0.0,73.7,0,38,,66,0,D 1–1,0,2,0,Home,0,Matchweek 6,Newcastle Utd,1
0,0,18,0,2,Sat,0,Premier League,0,2,43,0.0,RB,11,2021-10-02,0,21,Y,Watford,0,1,0.0,0.0,70.0,1,30,,90,0,L 0–1,0,0,2,Away,0,Matchweek 7,Leeds United,2
0,0,6,0,2,Sat,0,Premier League,0,0,15,0.0,"WB,RB",7,2021-10-16,0,4,Y,Watford,0,0,0.0,0.0,50.0,0,8,,55,0,L 0–5,0,0,0,Home,0,Matchweek 8,Liverpool,0
0,1,30,0,2,Sun,0,Premier League,0,5,62,0.0,RB,5,2021-11-07,0,37,Y,Watford,0,0,0.0,0.0,80.4,0,46,,90,0,L 0–1,0,1,4,Away,0,Matchweek 11,Arsenal,4
0,3,29,0,2,Sat,2,Premier League,1,2,52,0.0,RB,9,2021-11-20,0,30,Y,Watford,0,0,0.0,0.0,66.7,0,45,,90,0,W 4–1,0,3,4,Home,0,Matchweek 12,Manchester Utd,4
0,2,18,0,0,Sun,0,Premier League,0,4,53,0.0,RB,11,2021-11-28,0,25,Y,Watford,0,0,0.4,0.0,54.3,0,46,,90,0,L 2–4,0,3,3,Away,0,Matchweek 13,Leicester City,2
0,2,46,0,3,Wed,0,Premier League,0,3,99,0.0,RB,10,2021-12-01,0,59,Y,Watford,1,1,0.0,0.0,68.6,0,86,,90,1,L 1–2,0,10,2,Home,0,Matchweek 14,Chelsea,4
0,1,15,0,4,Sat,0,Premier League,0,4,44,0.0,RB,9,2021-12-04,0,19,Y,Watford,0,0,0.0,0.0,59.4,0,32,,90,0,L 1–3,0,1,3,Home,0,Matchweek 15,Manchester City,5
0,0,21,0,4,Fri,0,Premier League,0,0,66,0.0,RB,17,2021-12-10,0,31,Y,Watford,0,0,0.0,0.0,67.4,0,46,,90,0,L 1–2,0,0,3,Away,0,Matchweek 16,Brentford,5
