pens_made,sca,carries,pens_att,blocks,dayofweek,gca,comp,assists,progressive_passes,touches,xg,position,date,pressures,shots_on_target,passes_completed,game_started,squad,shots_total,dribbles,xa,npxg,passes_pct,cards_yellow,passes,match_report,minutes,dribbles_completed,result,cards_red,bench_explain,progressive_carries,tackles,venue,goals,round,opponent,interceptions
,,,,,Fri,,Premier League,,,,,,2021-08-13,,,,N,Arsenal,,,,,,,,,,,L 0–2,,"On matchday squad, but did not play",,,Away,,Matchweek 1,Brentford,
0,1,27,0,1,Sun,0,Premier League,0,3,44,0.0,RB,2021-08-22,13,0,34,Y,Arsenal,0,0,0.1,0.0,87.2,0,39,,90,0,L 0–2,0,,3,3,Home,0,Matchweek 2,Chelsea,1
0,0,12,0,2,Sat,0,Premier League,0,0,34,0.0,"WB,RB",2021-08-28,11,0,14,Y,Arsenal,0,1,0.0,0.0,56.0,1,25,,90,0,L 0–5,0,,0,0,Away,0,Matchweek 3,Manchester City,3
0,1,3,0,1,Sat,0,Premier League,0,2,8,0.0,RB,2021-09-11,0,0,5,N,Arsenal,1,0,0.1,0.0,100.0,0,5,,9,0,W 1–0,0,,0,0,Home,0,Matchweek 4,Norwich City,0
,,,,,Sat,,Premier League,,,,,,2021-09-18,,,,N,Arsenal,,,,,,,,,,,W 1–0,,"On matchday squad, but did not play",,,Away,,Matchweek 5,Burnley,
0,,,0,,Wed,,EFL Cup,1,,,,RB,2021-09-22,,0,,Y,Arsenal,1,,,,,0,,,90,,W 3–0,0,,,,Home,0,Third round,AFC Wimbledon,0
,,,,,Sun,,Premier League,,,,,,2021-09-26,,,,N,Arsenal,,,,,,,,,,,W 3–1,,"On matchday squad, but did not play",,,Home,,Matchweek 6,Tottenham,
,,,,,Sat,,Premier League,,,,,,2021-10-02,,,,N,Arsenal,,,,,,,,,,,D 0–0,,"On matchday squad, but did not play",,,Away,,Matchweek 7,Brighton,
,,,,,Mon,,Premier League,,,,,,2021-10-18,,,,N,Arsenal,,,,,,,,,,,D 2–2,,"On matchday squad, but did not play",,,Home,,Matchweek 8,Crystal Palace,
,,,,,Fri,,Premier League,,,,,,2021-10-22,,,,N,Arsenal,,,,,,,,,,,W 3–1,,"On matchday squad, but did not play",,,Home,,Matchweek 9,Aston Villa,
0,,,0,,Tue,,EFL Cup,0,,,,RB,2021-10-26,,0,,Y,Arsenal,0,,,,,1,,,90,,W 2–0,0,,,,Home,0,Fourth round,Leeds United,0
,,,,,Sat,,Premier League,,,,,,2021-10-30,,,,N,Arsenal,,,,,,,,,,,W 2–0,,"On matchday squad, but did not play",,,Away,,Matchweek 10,Leicester City,
,,,,,Sun,,Premier League,,,,,,2021-11-07,,,,N,Arsenal,,,,,,,,,,,W 1–0,,"On matchday squad, but did not play",,,Home,,Matchweek 11,Watford,
,,,,,Sat,,Premier League,,,,,,2021-11-20,,,,N,Arsenal,,,,,,,,,,,L 0–4,,"On matchday squad, but did not play",,,Away,,Matchweek 12,Liverpool,
,,,,,Mon,,Premier League,,,,,,2021-12-06,,,,N,Arsenal,,,,,,,,,,,L 1–2,,"On matchday squad, but did not play",,,Away,,Matchweek 15,Everton,
,,,,,Sat,,Premier League,,,,,,2021-12-11,,,,N,Arsenal,,,,,,,,,,,W 3–0,,"On matchday squad, but did not play",,,Home,,Matchweek 16,Southampton,
0,0,7,0,0,Sat,0,Premier League,0,0,13,0.0,RB,2021-12-18,3,0,12,N,Arsenal,0,0,0.0,0.0,85.7,0,14,,28,0,W 4–1,0,,1,0,Away,0,Matchweek 18,Leeds United,0
0,,,0,,Tue,,EFL Cup,1,,,,RB,2021-12-21,,0,,Y,Arsenal,0,,,,,0,,,90,,W 5–1,0,,,,Home,0,Quarter-finals,Sunderland,1
,,,,,Sat,,Premier League,,,,,,2022-01-01,,,,N,Arsenal,,,,,,,,,,,L 1–2,,"On matchday squad, but did not play",,,Home,,Matchweek 21,Manchester City,
0,,,0,,Sun,,FA Cup,0,,,,RB,2022-01-09,,0,,Y,Arsenal,0,,,,,0,,,89,,L 0–1,0,,,,Away,0,Third round proper,Nott'ham Forest,0
0,,,0,,Thu,,EFL Cup,0,,,,RB,2022-01-13,,0,,Y,Arsenal,0,,,,,0,,,10,,D 0–0,0,,,,Away,0,Semi-finals,Liverpool,0
0,0,29,0,0,Thu,0,Premier League,0,2,57,0.0,"RB,WB",2022-02-10,11,0,40,Y,Arsenal,0,0,0.0,0.0,78.4,0,51,,90,0,W 1–0,0,,2,4,Away,0,Matchweek 24,Wolves,1
0,3,62,0,2,Sat,0,Premier League,0,3,99,0.0,RB,2022-02-19,2,0,70,Y,Arsenal,1,0,0.1,0.0,76.1,0,92,,90,0,W 2–1,0,,7,0,Home,0,Matchweek 26,Brentford,2
0,3,38,0,0,Thu,0,Premier League,0,4,58,0.0,RB,2022-02-24,4,0,47,Y,Arsenal,0,2,0.0,0.0,90.4,0,52,,75,1,W 2–1,0,,3,1,Home,0,Matchweek 20,Wolves,1
0,1,52,0,3,Sun,0,Premier League,0,3,94,0.0,"RB,WB",2022-03-06,19,0,61,Y,Arsenal,1,0,0.1,0.0,78.2,1,78,,90,0,W 3–2,0,,2,5,Away,0,Matchweek 28,Watford,3
0,1,41,0,2,Sun,0,Premier League,0,2,65,0.1,RB,2022-03-13,16,0,49,Y,Arsenal,1,1,0.0,0.1,83.1,0,59,,90,0,W 2–0,0,,2,0,Home,0,Matchweek 29,Leicester City,3
0,0,54,0,1,Wed,0,Premier League,0,5,82,0.0,RB,2022-03-16,10,0,55,Y,Arsenal,1,1,0.0,0.0,79.7,0,69,,90,1,L 0–2,0,,4,3,Home,0,Matchweek 27,Liverpool,0
0,2,52,0,1,Sat,0,Premier League,0,3,83,0.0,"RB,WB",2022-03-19,13,0,62,Y,Arsenal,0,0,0.1,0.0,82.7,1,75,,90,0,W 1–0,0,,8,3,Away,0,Matchweek 30,Aston Villa,0
,,,,,Thu,,WCQ,,,,,,2022-03-24,,,,N,Portugal,,,,,,,,,,,W 3–1,,"On matchday squad, but did not play",,,Home,,Semi-finals,Turkey,
,,,,,Tue,,WCQ,,,,,,2022-03-29,,,,N,Portugal,,,,,,,,,,,W 2–0,,"On matchday squad, but did not play",,,Home,,Finals,North Macedonia,
0,2,36,0,1,Mon,0,Premier League,0,2,61,0.0,RB,2022-04-04,15,0,39,Y,Arsenal,0,1,0.0,0.0,73.6,0,53,,65,1,L 0–3,0,,8,3,Away,0,Matchweek 31,Crystal Palace,3
0,7,45,0,2,Sat,1,Premier League,0,1,88,0.1,RB,2022-04-09,13,0,54,Y,Arsenal,1,0,0.4,0.1,72.0,0,75,,90,0,L 1–2,0,,6,3,Home,0,Matchweek 32,Brighton,2
0,2,46,0,3,Sat,0,Premier League,0,3,72,0.0,RB,2022-04-16,5,0,50,Y,Arsenal,1,1,0.1,0.0,78.1,0,64,,59,1,L 0–1,0,,5,1,Away,0,Matchweek 33,Southampton,0
0,3,10,0,1,Wed,0,Premier League,0,2,13,0.0,WB,2022-04-20,3,0,10,N,Arsenal,0,0,0.2,0.0,76.9,0,13,,16,0,W 4–2,0,,3,0,Away,0,Matchweek 25,Chelsea,0
0,0,41,0,0,Sat,0,Premier League,0,3,73,0.0,"RB,WB",2022-04-23,15,0,53,Y,Arsenal,0,1,0.0,0.0,76.8,0,69,,89,1,W 3–1,0,,1,2,Home,0,Matchweek 34,Manchester Utd,0
0,0,3,0,0,Sun,0,Premier League,0,0,6,0.0,RB,2022-05-01,2,0,3,N,Arsenal,0,0,0.0,0.0,60.0,0,5,,13,0,W 2–1,0,,0,0,Away,0,Matchweek 35,West Ham,0
0,4,71,0,2,Sun,0,Premier League,0,5,117,0.1,RB,2022-05-08,18,0,82,Y,Arsenal,1,1,0.0,0.1,79.6,0,103,,90,1,W 2–1,0,,8,5,Home,0,Matchweek 36,Leeds United,0
0,2,32,0,0,Thu,0,Premier League,0,3,49,0.0,"WB,RB,CB",2022-05-12,1,0,38,Y,Arsenal,0,1,0.0,0.0,80.9,0,47,,90,0,L 0–3,0,,2,0,Away,0,Matchweek 22,Tottenham,1
0,1,17,0,2,Mon,0,Premier League,0,1,37,0.0,"CB,RB",2022-05-16,6,0,26,N,Arsenal,1,0,0.0,0.0,81.3,0,32,,52,0,L 0–2,0,,2,2,Away,0,Matchweek 37,Newcastle Utd,0
0,3,67,0,0,Sun,1,Premier League,1,4,101,0.1,RB,2022-05-22,14,1,70,Y,Arsenal,3,1,0.2,0.1,77.8,0,90,,90,1,W 5–1,0,,16,4,Home,1,Matchweek 38,Everton,0
