assists,bonus,bps,clean_sheets,creativity,ea_index,element_code,end_cost,goals_conceded,goals_scored,ict_index,id,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season,season_name,start_cost,threat,total_points,yellow_cards
8,6,0,0,0.0,0,3773,82,12,9,0.0,212,0.0,1510,0,0,0,0,0,1,2006/07,90,0.0,111,2
3,5,0,0,0.0,0,3773,81,7,5,0.0,969,0.0,929,0,0,0,0,0,2,2007/08,85,0.0,64,0
5,10,0,0,0.0,0,3773,77,57,10,0.0,1765,0.0,3360,0,0,0,0,0,3,2008/09,80,0.0,138,3
7,14,0,0,0.0,0,3773,69,25,8,0.0,2527,0.0,2229,0,0,0,0,0,4,2009/10,75,0.0,125,1
7,5,0,4,0.0,0,3773,65,28,4,0.0,3165,0.0,1945,1,0,0,0,0,5,2010/11,70,0.0,92,0
5,15,0,7,0.0,356,3773,61,50,10,0.0,3927,0.0,2774,1,0,0,0,0,6,2011/12,70,0.0,130,2
6,24,0,11,0.0,337,3773,60,22,7,0.0,4634,0.0,2322,0,0,0,0,0,7,2012/13,65,0.0,128,2
6,12,117,6,0.0,447,3773,57,43,7,0.0,5311,0.0,2642,0,0,0,0,0,8,2013/14,60,0.0,114,7
3,14,303,4,0.0,269,3773,56,23,8,0.0,6036,0.0,1685,0,0,0,0,0,9,2014/15,60,0.0,101,4
1,0,42,0,0.0,47,3773,56,12,0,0.0,6748,0.0,463,0,0,0,0,0,10,2015/16,60,0.0,18,0
3,7,262,4,260.9,0,3773,44,23,7,126.8,7443,346.6,1343,0,0,0,0,0,11,2016/17,50,664.0,79,3
