assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,threat,total_points,yellow_cards
0,0,0,0,0.0,58845,44,0,0,0.0,0.0,0,0,0,0,0,0,2008/09,44,0.0,0,0
0,0,0,0,0.0,58845,45,0,0,0.0,0.0,90,0,0,0,0,0,2009/10,45,0.0,6,0
0,3,0,4,0.0,58845,41,33,3,0.0,0.0,1569,0,0,0,0,0,2010/11,45,0.0,51,9
2,5,0,2,0.0,58845,45,21,1,0.0,0.0,1145,0,0,0,0,0,2011/12,50,0.0,41,3
1,9,0,5,0.0,58845,44,54,1,0.0,0.0,2498,1,0,0,1,0,2012/13,45,0.0,63,6
0,4,94,6,0.0,58845,42,38,0,0.0,0.0,2203,0,0,0,0,0,2013/14,45,0.0,56,8
2,5,378,4,0.0,58845,42,34,1,0.0,0.0,1992,0,0,0,1,0,2014/15,45,0.0,60,8
0,2,268,3,0.0,58845,43,31,1,0.0,0.0,1442,0,0,0,0,0,2015/16,45,0.0,36,6
1,6,317,4,50.8,58845,43,30,2,67.5,433.6,1745,0,0,0,0,0,2017/18,45,190.0,64,3
0,4,194,2,25.0,58845,45,15,3,42.6,293.2,857,0,0,0,0,0,2018/19,45,105.0,42,1
