assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,threat,total_points,yellow_cards
1,0,0,0,0.0,40387,45,0,2,0.0,0.0,589,0,0,0,0,0,2008/09,45,0.0,35,1
0,0,0,0,0.0,40387,46,7,2,0.0,0.0,349,0,0,0,0,0,2009/10,50,0.0,23,0
0,0,0,0,0.0,40387,43,1,0,0.0,0.0,1,0,0,0,0,0,2010/11,45,0.0,1,0
0,0,0,0,0.0,40387,48,6,1,0.0,0.0,247,0,0,0,1,0,2011/12,50,0.0,14,1
0,0,0,0,0.0,40387,46,1,0,0.0,0.0,44,0,0,0,0,0,2012/13,50,0.0,3,0
0,0,16,0,0.0,40387,43,9,0,0.0,0.0,361,0,0,0,0,0,2013/14,45,0.0,11,1
2,6,405,5,0.0,40387,44,46,3,0.0,0.0,2446,0,0,0,0,0,2015/16,45,0.0,86,6
0,2,254,4,181.7,40387,47,24,2,60.5,254.0,1366,0,0,0,0,0,2016/17,50,168.0,49,6
1,4,254,1,262.2,40387,48,41,2,93.3,396.4,1941,0,0,0,0,0,2017/18,50,274.0,59,8
2,0,237,4,164.7,40387,47,33,2,78.1,400.6,1734,0,0,0,0,0,2018/19,50,217.0,54,8
