assists,bonus,bps,clean_sheets,creativity,ea_index,element_code,end_cost,goals_conceded,goals_scored,ict_index,id,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season,season_name,start_cost,threat,total_points,yellow_cards
3,12,0,0,0.0,0,1718,81,14,1,0.0,122,0.0,2414,0,0,0,1,0,1,2006/07,80,0.0,139,1
1,7,0,0,0.0,0,1718,75,13,1,0.0,817,0.0,1895,0,0,0,0,0,2,2007/08,75,0.0,97,6
0,4,0,0,0.0,0,1718,76,21,1,0.0,1437,0.0,3074,0,0,0,2,0,3,2008/09,75,0.0,141,7
2,8,0,0,0.0,0,1718,77,30,2,0.0,2168,0.0,3258,0,0,0,1,0,4,2009/10,75,0.0,150,6
2,0,0,14,0.0,0,1718,74,27,3,0.0,2836,0.0,2961,0,0,0,0,0,5,2010/11,70,0.0,134,6
1,18,0,9,0.0,499,1718,75,36,6,0.0,3411,0.0,2790,0,0,0,0,0,6,2011/12,75,0.0,138,8
0,6,0,4,0.0,207,1718,65,10,4,0.0,4081,0.0,950,0,0,0,0,0,7,2012/13,70,0.0,66,1
1,29,238,16,0.0,475,1718,68,25,3,0.0,4788,0.0,3060,1,0,0,0,0,8,2013/14,60,0.0,172,3
0,14,842,17,0.0,613,1718,71,32,5,0.0,5475,0.0,3420,1,0,0,0,0,9,2014/15,65,0.0,177,2
0,6,373,6,0.0,228,1718,66,35,1,0.0,6193,0.0,1987,1,0,0,2,0,10,2015/16,70,0.0,57,2
0,0,97,1,24.3,0,1718,52,9,1,23.3,6912,104.6,496,0,0,0,0,0,11,2016/17,55,104.0,21,1
