assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,starts,threat,total_points,yellow_cards
1,0,0,0,0.0,66749,74,0.00,0.00,0.00,0.00,2,0,0.0,0.0,165,0,0,0,0,0,2011/12,80,0,0.0,11,0
7,21,0,3,0.0,66749,66,0.00,0.00,0.00,0.00,40,17,0.0,0.0,2005,0,1,0,0,0,2012/13,65,0,0.0,159,3
9,21,184,11,0.0,66749,85,0.00,0.00,0.00,0.00,30,15,0.0,0.0,2598,0,0,0,0,0,2013/14,80,0,0.0,168,1
6,12,381,9,0.0,66749,87,0.00,0.00,0.00,0.00,40,10,0.0,0.0,2872,1,0,0,0,0,2014/15,90,0,0.0,135,1
7,25,621,9,0.0,66749,87,0.00,0.00,0.00,0.00,52,18,0.0,0.0,3170,0,1,0,0,0,2015/16,80,0,0.0,185,3
6,33,824,13,701.4,66749,101,0.00,0.00,0.00,0.00,42,25,354.1,1171.6,3266,0,0,0,0,0,2016/17,90,0,1670.0,221,3
7,18,593,14,572.4,66749,115,0.00,0.00,0.00,0.00,26,16,273.2,831.0,2866,0,1,0,0,0,2017/18,115,0,1334.0,162,4
1,14,361,4,330.2,66749,107,0.00,0.00,0.00,0.00,38,12,193.5,550.6,2126,0,0,0,0,0,2018/19,110,0,1052.0,115,4
0,0,0,0,0.0,66749,85,0.00,0.00,0.00,0.00,0,0,0.0,0.0,0,0,0,0,0,0,2019/20,85,0,0.0,0,0
1,12,310,7,303.3,66749,114,0.00,0.00,0.00,0.00,14,8,137.2,367.0,1583,0,0,0,0,0,2021/22,115,0,704.0,87,1
