assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,threat,total_points,yellow_cards
1,17,0,0,0.0,7645,55,55,4,0.0,0.0,3420,0,0,0,0,1,2006/07,55,0.0,121,4
4,7,0,0,0.0,7645,54,24,1,0.0,0.0,2654,0,0,0,0,0,2007/08,55,0.0,128,2
0,25,0,0,0.0,7645,63,36,0,0.0,0.0,2974,0,0,0,0,0,2008/09,60,0.0,131,2
0,6,0,0,0.0,7645,57,10,0,0.0,0.0,1035,1,0,0,0,0,2009/10,60,0.0,45,0
1,10,0,9,0.0,7645,56,32,1,0.0,0.0,2796,2,0,0,0,0,2010/11,55,0.0,104,3
2,6,0,9,0.0,7645,54,31,2,0.0,0.0,2570,0,0,0,0,0,2011/12,55,0.0,107,2
2,10,0,10,0.0,7645,59,38,2,0.0,0.0,3154,0,0,0,0,0,2012/13,60,0.0,126,1
1,19,178,10,0.0,7645,57,28,0,0.0,0.0,2315,0,0,0,0,0,2013/14,55,0.0,104,2
0,21,824,10,0.0,7645,58,47,4,0.0,0.0,3285,0,0,0,0,0,2014/15,55,0.0,142,1
0,4,445,7,0.0,7645,51,25,0,0.0,0.0,1850,0,0,0,0,0,2015/16,55,0.0,65,0
3,16,533,6,71.7,7645,49,32,3,110.1,751.4,2251,0,0,0,1,0,2016/17,50,278.0,104,4
0,5,415,6,24.1,7645,47,39,0,66.2,529.2,2063,0,0,0,0,0,2017/18,50,108.0,60,2
0,3,80,2,21.4,7645,43,4,1,14.6,82.2,329,0,0,0,1,0,2018/19,45,43.0,22,0
