,name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,GW,Position
0,Aaron Cresswell,0,10,0,0,0,3,0,0,9,0.6,0,0,443,0,0,9,0,2,0,1.9,443,0.4,0,2017-08-13T15:00:00Z,13 Aug 16:00,0,0,9,0,0,12,0,0,0,0,0,0,1,0,25136,0,0,0,0,4,18,0,0,0,0,50,False,0,0,1,DEF
1,Aaron Lennon,0,0,0,0,0,0,0,0,0,0.0,0,0,153,0,0,5,0,0,0,0.0,153,0.0,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,0,0,0,15,0,0,0,0,0,0,1,0,4681,0,0,0,0,1,0,0,0,0,0,55,True,0,0,1,MID
2,Aaron Mooy,1,52,0,0,0,22,1,5,41,46.9,0,0,172,0,0,4,0,0,0,8.7,172,40.2,3,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,90,0,1,6,0,0,0,0,5,0,1,0,59955,2,0,0,3,0,0,6,0,0,0,55,False,0,0,1,MID
3,Aaron Ramsey,0,11,0,1,0,16,0,0,8,11.2,0,0,18,0,0,1,0,0,1,6.7,18,29.6,1,2017-08-11T18:45:00Z,11 Aug 19:45,0,0,23,0,0,9,0,0,0,0,2,0,1,0,33792,0,0,3,3,4,26,6,0,0,0,70,True,0,0,1,MID
4,Abdoulaye Doucoure,0,73,0,0,2,36,0,3,60,25.2,3,0,414,0,0,7,2,3,1,10.9,414,48.6,2,2017-08-12T11:30:00Z,12 Aug 12:30,0,0,90,0,0,10,0,0,0,0,11,0,1,0,1207,1,1,0,3,3,35,9,0,0,0,50,True,0,0,1,MID
5,Adam Federici,0,0,0,0,0,0,0,0,0,0.0,0,0,31,0,0,8,0,0,0,0.0,31,0.0,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,0,0,0,19,0,0,0,0,0,0,1,0,224542,0,0,0,0,1,0,0,0,0,0,40,False,0,0,1,
6,Adam Lallana,0,0,0,0,0,0,0,0,0,0.0,0,0,228,0,0,7,0,0,0,0.0,228,0.0,0,2017-08-12T11:30:00Z,12 Aug 12:30,0,0,0,0,0,18,0,0,0,0,0,0,1,0,45019,0,0,0,3,3,0,0,0,0,0,75,False,0,0,1,MID
7,Adam Smith,0,6,0,0,0,2,0,1,6,0.6,0,0,35,0,0,8,0,0,0,0.3,35,2.2,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,10,0,0,19,0,0,0,0,0,0,1,0,50168,1,0,0,0,1,0,1,0,0,0,50,False,0,0,1,DEF
8,Ademola Lookman,0,0,0,0,0,0,0,0,0,0.0,0,0,157,0,0,5,0,0,0,0.0,157,0.0,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,0,0,0,15,0,0,0,0,0,0,1,0,8034,0,0,0,0,1,0,0,0,0,0,55,True,0,0,1,FWD
9,Adrian Mariappa,0,0,0,0,0,0,0,0,0,0.0,0,0,405,0,0,7,0,0,0,0.0,405,0.0,0,2017-08-12T11:30:00Z,12 Aug 12:30,0,0,0,0,0,10,0,0,0,0,0,0,1,0,171365,0,0,0,3,3,0,0,0,0,0,40,True,0,0,1,DEF
