name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
Aaron_Cresswell_402,0,0,0,0,0,0,0,0,0,0.0,0,0,402,0,0,359,0,0,0,0.0,20338,0.0,0,2019-04-27T11:30:00Z,27 Apr 12:30,0,0,0,0,0,17,0,0,0,0,0,0,36,0,33707,0,0,0,1,0,0.0,0,-701,10,711,50,False,0,0
Aaron_Lennon_83,0,0,0,0,0,0,0,0,0,0.0,0,0,83,0,0,352,0,0,0,0.0,20019,0.0,0,2019-04-28T13:05:00Z,28 Apr 14:05,0,0,0,0,0,13,0,0,0,0,0,0,36,0,18901,0,0,0,1,0,0.0,0,-97,9,106,49,True,0,0
Aaron_Mooy_199,0,0,0,0,0,0,0,0,0,0.0,0,0,199,0,0,356,0,0,0,0.0,20135,0.0,0,2019-04-26T19:00:00Z,26 Apr 20:00,0,0,0,0,0,12,0,0,0,0,0,0,36,0,61946,0,0,0,0,5,0.0,0,-178,365,543,50,False,0,0
Aaron_Ramsey_14,0,0,0,0,0,0,0,0,0,0.0,0,0,14,0,0,355,0,0,0,0.0,19950,0.0,0,2019-04-28T11:00:00Z,28 Apr 12:00,0,0,0,0,0,11,0,0,0,0,0,0,36,0,65209,0,0,0,0,3,0.0,0,-16179,91,16270,71,False,0,0
Aaron_Rowe_607,0,0,0,0,0,0,0,0,0,0.0,0,0,607,0,0,356,0,0,0,0.0,20543,0.0,0,2019-04-26T19:00:00Z,26 Apr 20:00,0,0,0,0,0,12,0,0,0,0,0,0,36,0,39,0,0,0,0,5,0.0,0,5,9,4,45,False,0,0
Aaron_Wan-Bissaka_145,0,18,0,0,3,29,1,14,12,1.1,6,0,145,0,0,353,0,0,0,3.6,20081,35.2,0,2019-04-27T14:00:00Z,27 Apr 15:00,0,0,90,1,0,8,0,0,0,0,3,0,36,0,1574809,4,1,0,0,0,0.0,9,38930,49120,10190,45,True,0,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_564,0,0,0,0,0,0,0,0,0,0.0,0,0,564,0,0,352,0,0,0,0.0,20500,0.0,0,2019-04-28T13:05:00Z,28 Apr 14:05,0,0,0,0,0,13,0,0,0,0,0,0,36,0,211,0,0,0,1,0,0.0,0,4,8,4,40,True,0,0
Abdelhamid_Sabiri_205,0,0,0,0,0,0,0,0,0,0.0,0,0,205,0,0,356,0,0,0,0.0,20141,0.0,0,2019-04-26T19:00:00Z,26 Apr 20:00,0,0,0,0,0,12,0,0,0,0,0,0,36,0,2895,0,0,0,0,5,0.0,0,-14,18,32,43,False,0,0
Abdoulaye_Doucouré_390,0,58,0,0,0,14,0,5,48,13.0,0,0,390,0,0,360,1,2,0,2.9,20326,14.2,1,2019-04-27T14:00:00Z,27 Apr 15:00,0,0,90,0,0,20,0,0,0,0,8,0,36,0,221412,2,1,0,2,1,2.0,2,-20276,5629,25905,60,True,0,0
Aboubakar_Kamara_189,0,0,0,0,0,0,0,0,0,0.0,0,0,189,0,0,354,0,0,0,0.0,20125,0.0,0,2019-04-27T14:00:00Z,27 Apr 15:00,0,0,0,0,0,5,0,0,0,0,0,0,36,0,335544,0,0,0,0,1,0.0,0,-3894,30,3924,45,True,0,0
Adalberto_Peñaranda_554,0,0,0,0,0,0,0,0,0,0.0,0,0,554,0,0,360,0,0,0,0.0,20490,0.0,0,2019-04-27T14:00:00Z,27 Apr 15:00,0,0,0,0,0,20,0,0,0,0,0,0,36,0,1127,0,0,0,2,1,0.0,0,15,68,53,50,True,0,0
Adama_Diakhaby_471,0,0,0,0,0,0,0,0,0,0.0,0,0,471,0,0,356,0,0,0,0.0,20407,0.0,0,2019-04-26T19:00:00Z,26 Apr 20:00,0,0,0,0,0,12,0,0,0,0,0,0,36,0,1089,0,0,0,0,5,0.0,0,-9,1,10,45,False,0,0
Adama_Traoré_500,0,0,0,0,0,0,0,0,0,0.0,0,0,500,0,0,360,0,0,0,0.0,20436,0.0,0,2019-04-27T14:00:00Z,27 Apr 15:00,0,0,0,0,0,18,0,0,0,0,0,0,36,0,16052,0,0,0,2,1,0.0,0,-47,80,127,51,False,0,0
