assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,starts,threat,total_points,yellow_cards
0,0,0,0,0.0,83283,45,0.00000,0.00000,0.00000,0.00000,0,0,0.0,0.0,0,0,0,0,0,0,2009/10,45,0,0.0,0,0
0,0,0,0,0.0,83283,45,0.00000,0.00000,0.00000,0.00000,0,0,0.0,0.0,0,0,0,0,0,0,2010/11,45,0,0.0,0,0
3,4,72,7,0.0,83283,46,0.00000,0.00000,0.00000,0.00000,38,1,0.0,0.0,2160,0,0,0,0,0,2013/14,50,0,0.0,80,2
4,8,420,3,0.0,83283,50,0.00000,0.00000,0.00000,0.00000,46,6,0.0,0.0,2341,0,0,0,0,0,2015/16,55,0,0.0,110,0
1,13,483,12,880.3,83283,59,0.00000,0.00000,0.00000,0.00000,40,7,243.8,545.6,2898,0,0,0,1,0,2016/17,60,0,1021.0,126,2
3,3,296,7,630.9,83283,59,0.00000,0.00000,0.00000,0.00000,31,1,147.2,347.0,1938,0,0,0,0,0,2017/18,65,0,493.0,72,3
5,12,433,9,802.3,83283,55,0.00000,0.00000,0.00000,0.00000,58,6,241.4,665.4,3272,0,0,0,0,0,2018/19,55,0,950.0,137,3
4,8,412,7,539.1,83283,62,0.00000,0.00000,0.00000,0.00000,51,4,181.2,517.2,2763,0,0,0,0,0,2019/20,65,0,752.0,107,2
3,3,243,1,400.4,83283,64,0.00000,0.00000,0.00000,0.00000,39,2,117.1,297.0,1727,0,0,0,0,0,2020/21,65,0,477.0,67,1
6,6,313,4,516.0,83283,59,0.00000,0.00000,0.00000,0.00000,33,1,116.0,333.6,1827,0,0,0,0,0,2021/22,60,0,310.0,79,0
