season,code,web_name,position,team_name,total_points,now_cost_m,selected_by_percent,minutes,goals_scored,assists,expected_goals,expected_assists,expected_goal_involvements,clean_sheets,goals_conceded,expected_goals_conceded,saves,bonus,bps,yellow_cards,red_cards,influence,creativity,threat,ict_index,points_per_90,goals_per_90,assists_per_90,xg_per_90,xa_per_90,xgi_per_90,coarse_cluster,fine_cluster,viz_x,viz_y
2023-24,17761,Tarkowski,DEF,Everton,117,4.6,5.4,3420,1,1,2.55,2.66,5.21,13,51,55.64,0,10,649,11,0,915.4,269.6,320.0,150.9,3.0789473684210527,0.0263157894736842,0.0263157894736842,0.0671052631578947,0.07,0.1371052631578947,1,4,4.671052,1.13374
2023-24,49262,Steele,GK,Brighton,42,4.0,1.7,1530,0,0,0.0,0.0,0.0,2,34,24.86,43,5,300,0,0,382.2,0.1,0.0,38.2,2.4705882352941178,0.0,0.0,0.0,0.0,0.0,3,1,10.253329,2.1479976
2023-24,50175,Welbeck,FWD,Brighton,79,5.7,1.0,1687,5,4,5.09,1.46,6.55,8,28,27.78,0,5,261,4,0,326.2,320.9,492.0,114.0,4.214582098399526,0.2667457024303497,0.2133965619442797,0.271547125074096,0.0778897451096621,0.3494368701837581,0,3,4.6138453,4.931725
2023-24,54469,Smith,DEF,Bournemouth,80,4.4,0.5,2148,0,3,0.05,1.5,1.55,8,33,33.02,0,4,378,6,0,336.4,296.5,27.0,66.1,3.35195530726257,0.0,0.1256983240223463,0.0020949720670391,0.0628491620111731,0.0649441340782122,0,6,6.765819,2.168197
2023-24,57328,Clyne,DEF,Crystal Palace,52,4.3,0.2,1335,0,1,0.21,0.21,0.42,5,16,21.65,0,0,259,0,0,179.6,67.8,21.0,27.0,3.50561797752809,0.0,0.0674157303370786,0.0141573033707865,0.0141573033707865,0.028314606741573,0,5,8.880182,2.178915
2023-24,58621,Walker,DEF,Man City,123,5.5,15.1,2766,0,5,0.4,3.2,3.6,10,29,28.61,0,13,633,2,0,465.4,534.1,126.0,112.6,4.002169197396963,0.0,0.1626898047722342,0.0130151843817787,0.1041214750542299,0.1171366594360086,0,5,6.1446066,1.2329824
2023-24,60307,Gross,MID,Brighton,153,6.1,4.1,3112,4,11,6.4,8.89,15.29,7,50,51.16,0,29,724,6,0,988.6,1674.9,434.0,309.9,4.424807197943445,0.1156812339331619,0.3181233933161954,0.1850899742930591,0.2571015424164524,0.4421915167095115,2,8,2.410454,3.6311193
2023-24,60689,Wood,FWD,Nott'm Forest,131,4.7,1.7,1801,14,1,11.71,0.92,12.63,2,34,27.19,0,22,456,0,0,598.2,281.1,795.0,167.4,6.54636313159356,0.6996113270405331,0.0499722376457523,0.5851749028317602,0.0459744586340921,0.6311493614658523,0,3,3.5606558,5.4092546
2023-24,61256,Casemiro,MID,Man Utd,58,5.3,1.9,1981,1,3,3.64,1.2,4.84,5,34,40.58,0,0,323,7,0,628.4,247.9,323.0,119.9,2.635032811711257,0.0454316002019182,0.1362948006057546,0.1653710247349823,0.0545179202423018,0.2198889449772842,1,2,5.2285347,2.1520848
2023-24,67089,Dubravka,GK,Newcastle,75,4.3,8.7,1984,0,0,0.0,0.0,0.0,4,42,44.34,88,3,426,1,0,661.0,10.0,0.0,67.2,3.402217741935484,0.0,0.0,0.0,0.0,0.0,3,1,11.014609,1.9250791
2023-24,69752,Neto,GK,Bournemouth,110,4.6,4.2,2880,0,0,0.0,0.01,0.01,7,55,49.66,113,14,592,5,0,875.2,0.0,0.0,87.5,3.4375000000000004,0.0,0.0,0.0,0.0003125,0.0003125,3,1,11.762109,1.7773929
2023-24,75115,Wilson,FWD,Newcastle,69,7.8,3.0,981,9,1,8.96,0.54,9.5,6,15,13.12,0,4,246,3,0,366.2,110.3,563.0,103.2,6.330275229357798,0.8256880733944955,0.091743119266055,0.8220183486238533,0.0495412844036697,0.8715596330275229,0,3,4.162561,5.5060053
2023-24,76357,Cairney,MID,Fulham,70,4.9,0.0,1472,1,6,1.03,2.58,3.61,4,27,29.53,0,2,346,3,0,335.2,407.2,170.0,90.9,4.279891304347826,0.061141304347826,0.3668478260869565,0.0629755434782608,0.1577445652173913,0.2207201086956521,0,6,6.477496,3.3028004
2023-24,77794,Trippier,DEF,Newcastle,111,6.6,21.2,2235,1,10,0.65,6.97,7.62,6,43,40.26,0,20,589,5,0,719.0,1028.5,102.0,185.2,4.469798657718121,0.0402684563758389,0.4026845637583892,0.0261744966442953,0.2806711409395973,0.3068456375838926,2,8,2.8221726,3.2011828
2023-24,78916,Burn,DEF,Newcastle,97,4.7,12.7,2725,2,2,3.35,1.12,4.47,8,45,46.22,0,4,493,4,0,656.4,153.8,286.0,109.7,3.203669724770642,0.0660550458715596,0.0660550458715596,0.1106422018348623,0.0369908256880734,0.1476330275229357,1,4,5.488588,0.6218076
2023-24,80201,Leno,GK,Fulham,133,4.8,14.6,3420,0,0,0.0,0.0,0.0,10,61,64.14,134,15,782,3,0,1069.8,0.1,0.0,106.7,3.5,0.0,0.0,0.0,0.0,0.0,3,1,11.798289,1.7733685
2023-24,80801,Gana,MID,Everton,73,4.8,0.1,1885,4,0,1.25,0.82,2.07,7,25,29.41,0,10,337,8,0,406.8,237.1,154.0,79.7,3.485411140583554,0.1909814323607427,0.0,0.059681697612732,0.0391511936339522,0.0988328912466843,0,6,6.389974,2.0353644
2023-24,82143,Foderingham,GK,Sheffield Utd,70,4.4,0.3,2648,0,0,0.0,0.05,0.05,1,79,62.03,133,7,531,2,0,966.0,10.0,0.0,97.7,2.3791540785498486,0.0,0.0,0.0,0.0016993957703927,0.0016993957703927,3,1,11.760606,1.7899029
2023-24,83299,Dunk,DEF,Brighton,89,5.2,5.3,2869,3,1,3.15,2.24,5.38,5,53,49.76,0,11,567,6,1,823.0,205.4,389.0,141.7,2.7919135587312653,0.0941094457999302,0.0313698152666434,0.0988149180899267,0.0702683861972812,0.1687696061345416,1,0,3.4264927,0.5225583
2023-24,84182,Areola,GK,West Ham,116,4.2,22.3,2700,0,0,0.0,0.0,0.0,4,53,54.72,138,11,598,1,0,1023.2,0.0,0.0,102.4,3.866666666666666,0.0,0.0,0.0,0.0,0.0,3,1,11.668831,1.8675828
2023-24,85633,Sels,GK,Nott'm Forest,34,4.5,0.2,1440,0,0,0.0,0.09,0.09,1,27,20.5,37,1,206,1,0,293.2,10.0,0.0,30.3,2.125,0.0,0.0,0.0,0.005625,0.005625,3,1,10.07305,2.0567029
2023-24,85971,Son,MID,Spurs,213,10.0,34.4,2934,17,10,11.49,7.87,19.36,8,51,53.77,0,25,707,1,0,993.2,921.9,1131.0,304.7,6.533742331288344,0.5214723926380368,0.3067484662576687,0.3524539877300613,0.2414110429447852,0.5938650306748466,4,7,2.2055,4.677533
2023-24,87835,Doherty,DEF,Wolves,41,4.3,0.2,1136,1,0,0.89,0.86,1.75,1,21,23.16,0,1,186,2,0,237.8,168.1,122.0,52.9,3.2482394366197185,0.079225352112676,0.0,0.0705105633802817,0.0681338028169014,0.1386443661971831,0,5,8.310532,2.0347905
2023-24,88894,Barkley,MID,Luton,101,4.5,0.9,2616,5,5,3.91,2.73,6.64,2,66,60.84,0,4,498,6,0,687.4,622.8,379.0,168.7,3.4747706422018347,0.1720183486238532,0.1720183486238532,0.1345183486238532,0.0939220183486238,0.228440366972477,1,2,4.305044,2.3254464
2023-24,90585,Boly,DEF,Nott'm Forest,58,4.5,0.5,1437,2,1,1.56,0.77,2.33,3,26,26.3,0,7,275,1,1,480.0,100.5,200.0,78.1,3.632567849686848,0.1252609603340292,0.0626304801670146,0.0977035490605428,0.0482254697286012,0.145929018789144,1,0,3.133788,-0.54450524
2023-24,91651,Kovačić,MID,Man City,59,4.6,0.3,1539,1,0,1.24,1.66,2.9,9,14,13.55,0,2,316,4,0,265.0,365.9,129.0,76.0,3.450292397660818,0.0584795321637426,0.0,0.0725146198830409,0.0970760233918128,0.1695906432748538,0,6,7.471092,2.6711185
2023-24,95658,Maguire,DEF,Man Utd,73,4.3,1.3,1650,2,4,1.94,0.97,2.91,4,29,36.68,0,6,351,3,0,493.4,90.9,192.0,77.7,3.981818181818182,0.109090909090909,0.2181818181818181,0.1058181818181818,0.0529090909090909,0.1587272727272727,-1,-1,7.1340957,1.6882256
2023-24,97032,Virgil,DEF,Liverpool,117,6.6,17.7,3177,2,2,2.88,1.04,3.92,9,40,45.72,0,8,662,3,1,911.2,176.3,449.0,153.8,3.3144475920679883,0.0566572237960339,0.0566572237960339,0.0815864022662889,0.0294617563739376,0.1110481586402266,1,0,3.5002515,0.37961447
2023-24,97299,Stones,DEF,Man City,53,5.3,3.1,1061,1,0,1.06,0.4,1.46,5,9,12.27,0,3,239,2,0,188.4,128.4,70.0,38.7,4.495758718190387,0.0848256361922714,0.0,0.0899151743638077,0.0339302544769085,0.1238454288407163,0,5,8.713303,2.34924
2023-24,98747,Pope,GK,Newcastle,57,5.3,4.8,1345,0,0,0.02,0.0,0.02,6,16,15.92,43,1,279,1,0,323.0,0.0,4.0,32.7,3.8141263940520447,0.0,0.0,0.0013382899628252,0.0,0.0013382899628252,3,1,10.086979,2.094258
2023-24,98980,Martinez,GK,Aston Villa,115,5.2,10.5,3015,0,0,0.0,0.01,0.01,8,48,49.87,95,19,640,4,0,802.0,20.0,0.0,82.2,3.4328358208955225,0.0,0.0,0.0,0.0002985074626865,0.0002985074626865,3,1,11.663769,1.8062338
2023-24,101148,Lascelles,DEF,Newcastle,46,3.7,1.9,1077,1,0,0.74,0.12,0.86,5,15,18.08,0,3,212,4,0,233.0,35.4,69.0,33.8,3.8440111420612815,0.0835654596100278,0.0,0.0618384401114206,0.0100278551532033,0.0718662952646239,0,5,8.8712635,2.1958992
2023-24,101178,Ward-Prowse,MID,West Ham,146,5.7,5.3,3000,7,7,6.23,6.3,12.53,5,65,63.29,0,19,708,4,0,831.0,1023.5,324.0,217.5,4.38,0.21,0.21,0.1869,0.189,0.3758999999999999,2,8,2.7538025,3.1318042
2023-24,101188,Digne,DEF,Aston Villa,85,4.6,3.1,2405,1,4,0.99,3.49,4.48,6,41,41.65,0,5,420,7,0,448.4,601.7,200.0,125.1,3.180873180873181,0.0374220374220374,0.1496881496881497,0.037047817047817,0.1306029106029106,0.1676507276507276,1,2,4.7548575,2.309025
2023-24,101982,Johnstone,GK,Crystal Palace,68,4.3,1.3,1796,0,0,0.0,0.0,0.0,6,27,27.17,41,7,310,1,0,321.4,0.0,0.0,32.2,3.4075723830734965,0.0,0.0,0.0,0.0,0.0,3,1,10.261108,2.1580453
