season,level,cluster,label,size,pct_GK,pct_DEF,pct_MID,pct_FWD,mean_total_points,mean_minutes,mean_cost_m,exemplars,mean_goals_scored,mean_assists,mean_expected_goals,mean_expected_assists,mean_expected_goal_involvements,mean_clean_sheets,mean_goals_conceded,mean_expected_goals_conceded,mean_saves,mean_bonus,mean_bps,mean_yellow_cards,mean_red_cards,mean_influence,mean_creativity,mean_threat,mean_ict_index,mean_points_per_90,mean_goals_per_90,mean_assists_per_90,mean_xg_per_90,mean_xa_per_90,mean_xgi_per_90
2023-24,coarse,-1,noise,9,11.1,22.2,66.7,0.0,107.0,2139.0,5.6,"Ødegaard, Kudus, Garnacho, Elanga, Martinelli",4.444,5.333,4.446,3.242,7.687,6.556,32.333,31.742,3.111,8.556,408.556,2.444,0.0,521.933,481.011,503.778,150.667,4.363,0.167,0.2,0.169,0.118,0.287
2023-24,coarse,0,c0,105,0.0,41.9,43.8,14.3,71.6,1597.0,5.1,"White, Saliba, Gabriel, Trossard, Wood",2.79,2.162,2.65,1.596,4.245,5.286,24.971,24.981,0.0,5.124,300.4,3.248,0.01,353.907,267.808,277.429,89.862,4.024,0.159,0.128,0.155,0.091,0.246
2023-24,coarse,1,c1,64,0.0,56.2,43.8,0.0,82.9,2500.0,4.8,"Gallagher, Branthwaite, Schär, Andersen, McGinn",1.969,2.375,2.295,2.024,4.318,6.047,45.75,44.705,0.0,5.703,441.172,6.078,0.375,566.569,332.609,230.297,113.045,3.009,0.072,0.088,0.086,0.074,0.16
2023-24,coarse,2,c2,15,0.0,13.3,86.7,0.0,143.5,2867.0,6.2,"Gordon, B.Fernandes, Rice, Rodrigo, Bruno G.",5.8,9.4,5.189,6.83,12.018,9.4,44.467,45.985,0.0,16.533,622.333,6.333,0.133,811.48,1073.967,516.133,240.26,4.52,0.18,0.3,0.163,0.217,0.38
2023-24,coarse,3,c3,22,100.0,0.0,0.0,0.0,89.4,2395.0,4.7,"Pickford, Raya, Leno, Onana, Areola",0.0,0.045,0.001,0.035,0.036,6.136,40.909,40.415,85.045,7.864,496.5,2.318,0.0,674.627,7.241,0.182,68.214,3.29,0.0,0.001,0.0,0.001,0.001
2023-24,coarse,4,c4,22,0.0,0.0,54.5,45.5,171.4,2543.0,7.6,"Palmer, Foden, Watkins, Saka, Haaland",14.727,8.364,14.118,4.853,18.969,8.364,38.909,38.989,0.0,18.545,571.136,4.273,0.0,837.0,657.459,1058.773,255.132,6.06,0.519,0.299,0.502,0.175,0.677
2023-24,fine,-1,noise,9,11.1,22.2,66.7,0.0,107.0,2139.0,5.6,"Ødegaard, Kudus, Garnacho, Elanga, Martinelli",4.444,5.333,4.446,3.242,7.687,6.556,32.333,31.742,3.111,8.556,408.556,2.444,0.0,521.933,481.011,503.778,150.667,4.363,0.167,0.2,0.169,0.118,0.287
2023-24,fine,0,f0,23,0.0,56.5,43.5,0.0,75.8,2215.0,5.0,"Gallagher, McGinn, Virgil, Akanji, Dalot",1.826,2.087,1.945,1.863,3.808,5.522,38.391,39.488,0.0,5.913,405.87,4.609,1.043,509.026,325.309,199.261,103.426,3.097,0.072,0.086,0.081,0.075,0.156
2023-24,fine,1,f1,22,100.0,0.0,0.0,0.0,89.4,2395.0,4.7,"Pickford, Raya, Leno, Onana, Areola",0.0,0.045,0.001,0.035,0.036,6.136,40.909,40.415,85.045,7.864,496.5,2.318,0.0,674.627,7.241,0.182,68.214,3.29,0.0,0.001,0.0,0.001,0.001
2023-24,fine,2,f2,24,0.0,25.0,75.0,0.0,82.8,2458.0,4.8,"Souček, Longstaff, Senesi, Barkley, L.Paquetá",2.375,3.208,2.982,2.647,5.629,5.625,48.333,45.946,0.0,4.625,397.083,7.833,0.0,525.825,442.296,277.833,124.646,3.054,0.088,0.12,0.111,0.097,0.208
