assists,bonus,bps,clean_sheets,creativity,ea_index,element_code,end_cost,goals_conceded,goals_scored,ict_index,id,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season,season_name,start_cost,threat,total_points,yellow_cards
0,0,0,0,0.0,0,20487,40,0,0,0.0,652,0.0,0,0,0,0,0,0,1,2006/07,40,0.0,0,0
0,0,0,0,0.0,0,20487,45,0,0,0.0,663,0.0,0,0,0,0,0,0,2,2007/08,45,0.0,0,0
0,0,0,0,0.0,0,20487,45,1,0,0.0,1300,0.0,90,0,0,0,0,1,3,2008/09,45,0.0,2,0
0,0,0,0,0.0,0,20487,44,5,0,0.0,1971,0.0,450,0,0,0,0,18,4,2009/10,45,0.0,19,1
0,0,0,0,0.0,0,20487,43,0,0,0.0,2635,0.0,0,0,0,0,0,0,5,2010/11,45,0.0,0,0
0,0,0,3,0.0,88,20487,40,10,0,0.0,4038,0.0,810,0,0,0,0,25,7,2012/13,45,0.0,31,0
0,16,165,11,0.0,306,20487,46,38,0,0.0,4731,0.0,2568,0,0,0,0,131,8,2013/14,45,0.0,134,0
0,2,159,2,0.0,87,20487,41,20,0,0.0,5415,0.0,900,0,0,0,0,35,9,2014/15,45,0.0,31,0
0,5,368,4,0.0,210,20487,43,23,0,0.0,6127,0.0,1710,0,0,0,0,74,10,2015/16,45,0.0,69,2
0,6,187,2,0.0,0,20487,40,19,0,24.8,6848,247.0,810,0,0,0,0,41,11,2016/17,45,0.0,34,0
