assists,bonus,bps,clean_sheets,creativity,ea_index,element_code,end_cost,goals_conceded,goals_scored,ict_index,id,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season,season_name,start_cost,threat,total_points,yellow_cards
0,0,0,0,0.0,0,49413,40,11,0,0.0,1235,0.0,467,0,0,0,0,0,2,2007/08,40,0.0,7,0
0,3,0,0,0.0,0,49413,40,10,1,0.0,1917,0.0,1001,0,0,0,1,0,3,2008/09,40,0.0,51,0
0,0,0,0,0.0,0,49413,41,37,0,0.0,2540,0.0,1996,0,0,0,0,0,4,2009/10,45,0.0,51,0
1,1,0,2,0.0,0,49413,41,33,1,0.0,3208,0.0,1579,0,0,0,0,0,5,2010/11,45,0.0,41,3
1,2,0,3,0.0,211,49413,41,34,1,0.0,4216,0.0,1735,0,0,0,0,0,7,2012/13,45,0.0,50,5
0,3,140,11,0.0,271,49413,45,37,0,0.0,4920,0.0,2597,0,0,0,1,0,8,2013/14,50,0.0,87,5
3,8,373,5,0.0,251,49413,46,27,1,0.0,5616,0.0,1852,0,0,0,0,0,9,2014/15,50,0.0,72,6
0,3,426,8,0.0,221,49413,48,24,0,0.0,6326,0.0,1961,0,0,0,0,0,10,2015/16,50,0.0,70,3
0,5,359,6,35.7,0,49413,48,36,3,72.1,6919,471.0,1974,0,0,0,0,0,11,2016/17,50,213.0,75,4
0,9,512,9,22.4,0,49413,44,32,3,104.7,7606,712.6,2386,0,0,0,0,0,12,2017/18,45,309.0,99,8
