assists,bonus,bps,clean_sheets,creativity,ea_index,element_code,end_cost,goals_conceded,goals_scored,ict_index,id,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season,season_name,start_cost,threat,total_points,yellow_cards
3,5,0,0,0.0,0,20467,83,7,0,0.0,27,0.0,646,0,0,0,0,0,1,2006/07,85,0.0,36,0
3,4,0,0,0.0,0,20467,71,12,4,0.0,685,0.0,1260,0,0,0,0,0,2,2007/08,75,0.0,65,0
2,3,0,0,0.0,0,20467,67,15,2,0.0,1332,0.0,1265,0,0,0,0,0,3,2008/09,70,0.0,54,0
2,5,0,0,0.0,0,20467,77,9,3,0.0,1990,0.0,1129,0,0,0,0,0,4,2009/10,80,0.0,65,0
8,7,0,10,0.0,0,20467,70,16,9,0.0,2653,0.0,1691,0,0,0,0,0,5,2010/11,70,0.0,133,0
11,19,0,12,0.0,547,20467,90,33,8,0.0,3589,0.0,2728,0,0,0,0,0,6,2011/12,90,0.0,169,1
13,23,0,9,0.0,506,20467,93,27,14,0.0,4282,0.0,2286,0,0,0,0,0,7,2012/13,90,0.0,194,3
5,7,70,4,0.0,292,20467,92,13,5,0.0,4976,0.0,860,0,0,0,0,0,8,2013/14,95,0.0,72,1
1,3,127,2,0.0,195,20467,82,4,5,0.0,5678,0.0,447,0,0,0,0,0,9,2014/15,90,0.0,51,0
3,0,206,8,0.0,316,20467,80,12,5,0.0,6401,0.0,1373,0,0,0,0,0,10,2015/16,90,0.0,85,0
3,7,380,8,280.5,0,20467,72,26,10,184.1,7106,541.8,1916,0,1,0,0,0,11,2016/17,75,1023.0,122,1
