assists,bonus,bps,clean_sheets,creativity,ea_index,element_code,end_cost,goals_conceded,goals_scored,ict_index,id,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season,season_name,start_cost,threat,total_points,yellow_cards
2,9,0,0,0.0,0,9047,48,25,0,0.0,325,0.0,2258,0,0,0,0,0,1,2006/07,50,0.0,92,4
4,10,0,0,0.0,0,9047,60,29,1,0.0,1119,0.0,2715,0,0,0,0,0,2,2007/08,60,0.0,136,3
4,18,0,0,0.0,0,9047,54,38,3,0.0,1739,0.0,2590,0,0,0,1,0,3,2008/09,55,0.0,115,8
5,4,0,0,0.0,0,9047,77,22,3,0.0,2301,0.0,2137,1,0,0,0,0,4,2009/10,75,0.0,124,1
2,3,0,10,0.0,0,9047,71,34,2,0.0,2937,0.0,2437,0,0,0,0,0,5,2010/11,75,0.0,100,4
1,16,0,9,0.0,323,9047,68,18,1,0.0,3436,0.0,1952,0,0,0,0,0,6,2011/12,70,0.0,100,2
5,7,0,16,0.0,440,9047,65,39,1,0.0,4107,0.0,3223,0,0,0,0,0,7,2012/13,65,0.0,142,7
3,8,153,9,0.0,432,9047,57,38,0,0.0,4826,0.0,2516,1,0,0,0,0,8,2013/14,60,0.0,92,3
1,5,275,4,0.0,178,9047,52,17,1,0.0,5513,0.0,1332,0,0,0,0,0,9,2014/15,55,0.0,57,2
3,9,468,9,0.0,324,9047,48,29,0,0.0,6335,0.0,2184,0,0,0,0,0,10,2015/16,50,0.0,92,1
0,3,376,6,176.1,0,9047,47,34,0,62.8,6999,350.0,1957,0,0,0,0,0,11,2016/17,50,101.0,56,1
