assists,bonus,bps,clean_sheets,creativity,ea_index,element_code,end_cost,goals_conceded,goals_scored,ict_index,id,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season,season_name,start_cost,threat,total_points,yellow_cards
2,7,0,0,0.0,0,18008,48,25,2,0.0,286,0.0,1523,0,0,0,0,0,1,2006/07,50,0.0,70,0
0,0,0,0,0.0,0,18008,50,0,0,0.0,1058,0.0,0,0,0,0,0,0,2,2007/08,50,0.0,0,0
4,2,0,0,0.0,0,18008,49,54,3,0.0,1894,0.0,2352,0,0,0,0,0,3,2008/09,50,0.0,86,5
3,6,0,2,0.0,0,18008,44,49,4,0.0,3187,0.0,2268,0,0,0,1,0,5,2010/11,45,0.0,89,2
6,4,0,3,0.0,260,18008,49,36,5,0.0,3758,0.0,2142,0,0,0,0,0,6,2011/12,55,0.0,101,1
8,12,0,8,0.0,421,18008,57,48,5,0.0,4475,0.0,2837,0,0,0,0,0,7,2012/13,60,0.0,133,4
5,6,120,4,0.0,277,18008,54,39,1,0.0,5164,0.0,2212,0,0,0,0,0,8,2013/14,60,0.0,83,1
1,9,451,14,0.0,386,18008,55,35,2,0.0,5892,0.0,2553,0,0,0,0,0,9,2014/15,55,0.0,95,3
3,4,305,4,0.0,266,18008,44,19,3,0.0,6582,0.0,1338,0,1,0,0,0,10,2015/16,50,0.0,60,3
2,4,328,4,348.9,0,18008,43,22,5,93.7,7296,351.0,1741,0,0,0,0,0,11,2016/17,50,237.0,84,3
