assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,starts,threat,total_points,yellow_cards
0,0,0,0,0.0,20480,44,0.00,0.00,0.00,0.00,0,0,0.0,0.0,0,0,0,0,0,0,2006/07,44,0,0.0,0,0
0,0,0,0,0.0,20480,40,0.00,0.00,0.00,0.00,0,0,0.0,0.0,0,0,0,0,0,0,2008/09,40,0,0.0,0,0
0,0,0,3,0.0,20480,39,0.00,0.00,0.00,0.00,35,0,0.0,0.0,1856,0,0,0,0,48,2010/11,40,0,0.0,51,0
1,4,0,15,0.0,20480,50,0.00,0.00,0.00,0.00,51,0,0.0,0.0,3420,0,0,2,0,114,2011/12,45,0,0.0,156,4
1,5,0,4,0.0,20480,51,0.00,0.00,0.00,0.00,40,0,0.0,0.0,2126,0,0,0,0,76,2012/13,55,0,0.0,75,0
0,8,154,10,0.0,20480,49,0.00,0.00,0.00,0.00,51,0,0.0,0.0,3240,0,0,0,0,101,2013/14,50,0,0.0,123,0
1,5,436,8,0.0,20480,44,0.00,0.00,0.00,0.00,47,0,0.0,0.0,2700,0,0,0,0,83,2014/15,45,0,0.0,99,1
0,3,150,1,0.0,20480,42,0.00,0.00,0.00,0.00,17,0,0.0,0.0,720,0,0,0,0,34,2015/16,45,0,0.0,23,0
0,0,0,0,0.0,20480,39,0.00,0.00,0.00,0.00,0,0,0.0,0.0,0,0,0,0,0,0,2017/18,40,0,0.0,0,0
0,10,668,5,0.0,20480,46,0.00,0.00,0.00,0.00,68,0,106.3,1063.0,3240,1,0,2,0,131,2019/20,45,0,0.0,109,4
0,11,527,5,13.4,20480,45,0.00,0.00,0.00,0.00,62,0,81.4,799.8,2610,1,0,0,0,106,2021/22,45,0,0.0,90,1
0,0,0,0,0.0,20480,44,0.00,0.00,0.00,0.00,0,0,0.0,0.0,0,0,0,0,0,0,2023/24,45,0,0.0,0,0
