assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,starts,threat,total_points,yellow_cards
0,1,0,0,0.0,50175,60,0.00000,0.00000,0.00000,0.00000,0,1,0.0,0.0,118,0,0,0,0,0,2008/09,60,0,0.0,9,0
0,0,0,0,0.0,50175,59,0.00000,0.00000,0.00000,0.00000,3,0,0.0,0.0,141,0,0,0,0,0,2009/10,60,0,0.0,6,0
1,11,0,9,0.0,50175,44,0.00000,0.00000,0.00000,0.00000,27,6,0.0,0.0,1756,0,0,0,0,0,2010/11,55,0,0.0,79,2
5,12,0,11,0.0,50175,63,0.00000,0.00000,0.00000,0.00000,24,9,0.0,0.0,2012,0,0,0,0,0,2011/12,70,0,0.0,112,3
4,2,0,4,0.0,50175,78,0.00000,0.00000,0.00000,0.00000,12,1,0.0,0.0,1301,0,0,0,0,0,2012/13,85,0,0.0,57,1
4,16,124,4,0.0,50175,66,0.00000,0.00000,0.00000,0.00000,22,9,0.0,0.0,1462,0,0,0,0,0,2013/14,75,0,0.0,100,2
7,10,328,6,0.0,50175,69,0.00000,0.00000,0.00000,0.00000,19,4,0.0,0.0,1709,0,0,0,0,0,2014/15,70,0,0.0,89,3
3,7,175,3,0.0,50175,69,0.00000,0.00000,0.00000,0.00000,10,4,0.0,0.0,575,0,0,0,0,0,2015/16,75,0,0.0,48,1
2,0,117,3,89.9,50175,73,0.00000,0.00000,0.00000,0.00000,11,2,55.5,144.8,748,0,0,0,0,0,2016/17,75,0,321.0,37,0
2,6,249,4,212.8,50175,73,0.00000,0.00000,0.00000,0.00000,21,5,96.0,309.8,1178,0,0,0,0,0,2017/18,75,0,435.0,70,1
1,3,63,0,56.8,50175,64,0.00000,0.00000,0.00000,0.00000,3,1,19.5,73.6,146,0,0,0,0,0,2018/19,65,0,66.0,19,0
1,3,93,1,51.5,50175,58,0.00000,0.00000,0.00000,0.00000,15,2,53.0,128.2,813,0,0,0,0,0,2019/20,60,0,350.0,39,0
4,15,286,6,269.7,50175,55,0.00000,0.00000,0.00000,0.00000,18,6,117.7,319.8,1541,0,1,0,0,0,2020/21,55,0,595.0,89,0
4,13,247,5,228.9,50175,60,0.00000,0.00000,0.00000,0.00000,16,6,117.8,361.8,1469,0,0,0,0,0,2021/22,60,0,598.0,89,0
