assists,games,goals,id,key_passes,npg,npxG,player_name,position,red_cards,shots,team_title,time,xA,xG,xGBuildup,xGChain,yellow_cards
0,1,3,1250,4,1,0.41748908162117004,Mohamed Salah,F,0,9,Liverpool,90,0.23254287242889404,1.9398267269134521,0.22544020414352417,0.7550051212310791,0
0,1,2,755,1,0,0,Jamie Vardy,F,0,2,Leicester,90,0.06621893495321274,1.5223376750946045,0.04657624289393425,0.11279518157243729,0
0,1,1,318,1,1,0.28258055448532104,Pierre-Emerick Aubameyang,F,0,3,Arsenal,90,0.06435254961252213,0.28258055448532104,0.08170896768569946,0.3469330966472626,1
0,1,1,468,2,1,0.9157854914665222,Callum Wilson,F,0,4,Newcastle United,86,0.1685543805360794,0.9157854914665222,0.16930840909481049,1.2322783470153809,0
0,1,1,522,0,1,0.9196345806121826,Wilfried Zaha,F,0,2,Crystal Palace,90,0,0.9196345806121826,0,0.9196345806121826,0
0,1,1,822,0,1,0.07107684016227722,Patrick Bamford,F,0,2,Leeds,64,0,0.07107684016227722,0,0.07107684016227722,0
0,1,1,833,0,1,0.43222299218177795,Virgil van Dijk,D,0,2,Liverpool,90,0,0.43222299218177795,0.2086174339056015,0.2086174339056015,0
0,1,1,935,0,1,0.04229959845542908,Kurt Zouma,D,0,1,Chelsea,90,0,0.04229959845542908,0.10962367802858353,0.10962367802858353,0
1,1,1,1389,2,0,0,Jorginho,M,0,1,Chelsea,89,0.029938191175460815,0.7611688375473022,0.26644277572631836,0.26644277572631836,0
1,1,1,1746,1,1,0.10354991257190704,Jeff Hendrick,M,0,1,Newcastle United,90,0.7870321273803711,0.10354991257190704,0.30991265177726746,1.2004947662353516,0
0,1,1,3277,1,1,0.8282726407051086,Alexandre Lacazette,F,0,2,Arsenal,88,0.11015225946903229,0.8282726407051086,0.20087158679962158,1.0691125392913818,0
0,1,1,3491,0,1,0.43553128838539124,Romain Saiss,D,0,3,Wolverhampton Wanderers,90,0,0.43553128838539124,0.0671718642115593,0.3572041094303131,0
0,1,1,4105,1,1,1.022193431854248,Raúl Jiménez,F,0,5,Wolverhampton Wanderers,90,0.2900322377681732,1.022193431854248,0.03592190891504288,1.2827733755111694,0
0,1,1,4381,0,1,0.0732194110751152,Mateusz Klich,M,0,1,Leeds,83,0,0.0732194110751152,0,0.0732194110751152,0
0,1,1,5555,1,1,0.14971168339252472,Dominic Calvert-Lewin,F,0,2,Everton,89,0.10603856295347214,0.14971168339252472,0.07643289119005203,0.27420079708099365,0
0,1,1,5613,0,1,0.5060973167419434,Gabriel,D,0,1,Arsenal,90,0,0.5060973167419434,0.3469330966472626,0.3469330966472626,0
0,1,1,6157,0,1,0.5676683783531189,Timothy Castagne,D,0,1,Leicester,90,0,0.5676683783531189,0.044936493039131165,0.6126049160957336,0
0,1,1,7698,2,1,0.01650846190750599,Leandro Trossard,F,0,1,Brighton,90,0.506307065486908,0.01650846190750599,0.035494398325681686,0.035494398325681686,0
1,1,1,8067,2,1,0.019769776612520218,Reece James,D,0,1,Chelsea,90,0.1321534961462021,0.019769776612520218,0.08985390514135361,0.10962367802858353,0
0,1,1,8720,0,1,0.05824599787592888,Jack Harrison,M,0,1,Leeds,90,0,0.05824599787592888,0,0.05824599787592888,0
0,1,0,65,1,0,0.41970139741897583,Timo Werner,F,0,5,Chelsea,90,0.017517002299427986,0.41970139741897583,0.03728678077459335,0.4569881558418274,0
0,1,0,87,1,0,0.030982693657279015,Joelinton,S,0,1,Newcastle United,14,0.07339939475059509,0.030982693657279015,0,0.10438208281993866,0
0,1,0,101,0,0,0.02349383942782879,Allan Saint-Maximin,M,0,1,Newcastle United,76,0,0.02349383942782879,0.27669182419776917,0.3001856803894043,0
0,1,0,111,1,0,0,Jannik Vestergaard,S,0,0,Southampton,42,0.5063690543174744,0,0,0,0
0,1,0,181,0,0,0,Bernd Leno,GK,0,0,Arsenal,90,0,0,0.2652241289615631,0.2652241289615631,0
0,1,0,200,0,0,0,Andreas Christensen,D,0,0,Chelsea,90,0,0,0.12942646443843842,0.12942646443843842,0
0,1,0,204,1,0,0.20837053656578064,Granit Xhaka,M,0,4,Arsenal,80,0.08170896768569946,0.20837053656578064,0.9957149624824524,1.0529390573501587,0
0,1,0,239,0,0,0,Pascal Groß,S,0,0,Brighton,7,0,0,0,0,0
0,1,0,332,0,0,0,Joel Matip,S,0,0,Liverpool,1,0,0,0,0,0
0,1,0,343,0,0,0,Pierre-Emile Højbjerg,M,0,0,Tottenham,90,0,0,0.13141721487045288,0.13141721487045288,1
0,1,0,453,3,0,0.05254761129617691,Son Heung-Min,M,0,2,Tottenham,90,0.3083309829235077,0.05254761129617691,0.09166467189788818,0.2765440344810486,0
0,1,0,482,0,0,0.13016216456890106,Roberto Firmino,F,0,2,Liverpool,90,0,0.13016216456890106,0.2837047874927521,0.41386696696281433,1
0,1,0,486,2,0,0,Adam Lallana,M,0,0,Brighton,44,0.0793599784374237,0,0.40132924914360046,0.4203151762485504,0
0,1,0,492,1,0,0,Héctor Bellerín,M,0,0,Arsenal,90,0.10653381794691086,0,0.3505515456199646,0.45708537101745605,1
0,1,0,496,0,0,0.11015225946903229,Mohamed Elneny,M,0,1,Arsenal,90,0,0.11015225946903229,0.3469330966472626,0.45708537101745605,0
0,1,0,510,0,0,0,Joel Ward,D,0,0,Crystal Palace,90,0,0,0,0,0
0,1,0,512,0,0,0,Scott Dann,D,0,0,Crystal Palace,90,0,0,0,0,0
0,1,0,528,0,0,0.01188643742352724,Angelo Ogbonna,D,0,1,West Ham,90,0,0.01188643742352724,0,0,0
0,1,0,531,1,0,0.18817809224128723,Michail Antonio,F,0,4,West Ham,90,0.024375345557928085,0.18817809224128723,0,0.21255344152450562,0
0,1,0,532,0,0,0.36499735713005066,Cheikhou Kouyaté,D,0,1,Crystal Palace,90,0,0.36499735713005066,0,0,0
0,1,0,533,1,0,0,Mark Noble,M,0,0,West Ham,68,0.01188643742352724,0,0.22685986757278442,0.22685986757278442,0
0,1,0,534,0,0,0,Aaron Cresswell,D,0,0,West Ham,90,0,0,0.19454768300056458,0.19454768300056458,0
0,1,0,537,1,0,0.24522525072097778,Andy Carroll,F,0,4,Newcastle United,89,0.02349383942782879,0.24522525072097778,0.1249198466539383,0.37196052074432373,0
0,1,0,545,0,0,0,Kieran Gibbs,D,0,0,West Bromwich Albion,90,0,0,0.17667905986309052,0.17667905986309052,0
0,1,0,585,1,0,0.01839461736381054,Seamus Coleman,D,0,1,Everton,90,0.05502193048596382,0.01839461736381054,0.26099303364753723,0.2793876528739929,0
0,1,0,589,0,0,0,James McCarthy,M,0,0,Crystal Palace,76,0,0,0.5024706125259399,0.5024706125259399,1
0,1,0,592,1,0,0.017517002299427986,Ross Barkley,S,0,1,Chelsea,25,0.11523915827274323,0.017517002299427986,0.08985390514135361,0.22261007130146027,0
0,1,0,605,0,0,0.019070252776145935,Jordan Henderson,M,0,1,Liverpool,68,0,0.019070252776145935,0.06080123782157898,0.07987149059772491,0
0,1,0,633,1,0,0.06632621586322784,James McArthur,M,0,1,Crystal Palace,90,0.41716399788856506,0.06632621586322784,0,0.41716399788856506,0
0,1,0,635,0,0,0,Alex McCarthy,GK,0,0,Southampton,90,0,0,0.41982200741767883,0.41982200741767883,0
0,1,0,637,0,0,0,Hugo Lloris,GK,0,0,Tottenham,90,0,0,0.31473442912101746,0.31473442912101746,0
0,1,0,639,1,0,0,Toby Alderweireld,D,0,0,Tottenham,90,0.0732225775718689,0,0.31473442912101746,0.31473442912101746,0
0,1,0,643,0,0,0,Eric Dier,D,0,0,Tottenham,90,0,0,0.4814220368862152,0.4814220368862152,0
0,1,0,645,1,0,0.1323317438364029,Dele Alli,M,0,1,Tottenham,46,0.033409710973501205,0.1323317438364029,0.3720432221889496,0.5377846956253052,0
0,1,0,647,2,0,0.15844300389289856,Harry Kane,F,0,2,Tottenham,90,0.33387234807014465,0.15844300389289856,0.057308800518512726,0.4309336841106415,0
0,1,0,660,2,0,0.0732225775718689,Ben Davies,D,0,1,Tottenham,90,0.07410842180252075,0.0732225775718689,0.40639910101890564,0.44615164399147034,0
0,1,0,661,0,0,0,Josh Onomah,M,0,0,Fulham,76,0,0,0.04542940855026245,0.04542940855026245,0
0,1,0,672,0,0,0.044727861881256104,Jordan Ayew,F,0,1,Crystal Palace,90,0,0.044727861881256104,0,0,0
0,1,0,681,0,0,0,César Azpilicueta,S,0,0,Chelsea,1,0,0,0,0,0
0,1,0,688,0,0,0,Ruben Loftus-Cheek,F,0,0,Chelsea,65,0,0,0.019802788272500038,0.019802788272500038,0
2,1,0,700,3,0,0.7844159603118896,Willian,F,0,2,Arsenal,77,0.6345871090888977,0.7844159603118896,0.2562137842178345,0.999333381652832,0
0,1,0,706,0,0,0,Lukasz Fabianski,GK,0,0,West Ham,90,0,0,0.07559920102357864,0.07559920102357864,0
0,1,0,708,0,0,0,Federico Fernández,D,0,0,Newcastle United,90,0,0,0.1249198466539383,0.1249198466539383,0
0,1,0,714,0,0,0,Gylfi Sigurdsson,S,0,0,Everton,22,0,0,0.15259097516536713,0.15259097516536713,0
0,1,0,741,0,0,0,Jordan Pickford,GK,0,0,Everton,90,0,0,0.1470334380865097,0.1470334380865097,0
0,1,0,745,0,0,0,Kasper Schmeichel,GK,0,0,Leicester,90,0,0,0.07382649183273315,0.07382649183273315,0
0,1,0,751,0,0,0,N&#039;Golo Kanté,M,0,0,Chelsea,90,0,0,0.2839597761631012,0.2839597761631012,0
0,1,0,753,0,0,0,Marc Albrighton,S,0,0,Leicester,22,0,0,0,0,0
0,1,0,757,0,0,0,Jeffrey Schlupp,M,0,0,Crystal Palace,83,0,0,0,0,1
