h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.352997,2.95581,0.352997,1.43347,"{'att': 363, 'def': 19}","{'att': 179, 'def': 17}",6,3,0,3,0.0568,l,2020-09-13 13:00:00,0,0,1,0,-1.080473
a,0.315347,4.16254,0.315347,4.16254,"{'att': 581, 'def': 14}","{'att': 191, 'def': 21}",6,6,2,5,0.0037,l,2020-09-19 11:30:00,0,0,1,0,-3.847193
h,0.911185,2.36046,0.911185,2.36046,"{'att': 449, 'def': 11}","{'att': 113, 'def': 25}",3,12,3,3,0.40570000000000006,d,2020-09-26 16:30:00,0,1,0,1,-1.4492749999999996
a,0.161283,0.949079,0.161283,0.949079,"{'att': 301, 'def': 19}","{'att': 163, 'def': 32}",1,6,0,2,0.5202,l,2020-10-04 11:00:00,0,0,1,0,-0.7877959999999999
h,0.731692,1.08532,0.731692,1.08532,"{'att': 165, 'def': 20}","{'att': 253, 'def': 19}",3,2,0,0,0.9921,d,2020-10-19 16:30:00,0,1,0,1,-0.35362800000000005
a,0.295654,0.546807,0.295654,0.546807,"{'att': 274, 'def': 19}","{'att': 257, 'def': 24}",4,4,1,1,0.9414,d,2020-10-26 17:30:00,0,1,0,1,-0.25115300000000007
a,0.482685,1.62247,0.482685,1.62247,"{'att': 187, 'def': 37}","{'att': 287, 'def': 23}",3,4,0,2,0.4562,l,2020-11-02 17:30:00,0,0,1,0,-1.139785
h,0.799352,1.87063,0.799352,1.87063,"{'att': 263, 'def': 16}","{'att': 142, 'def': 19}",6,4,0,1,0.579,l,2020-11-08 12:00:00,0,0,1,0,-1.071278
a,0.438646,2.42994,0.438646,1.66881,"{'att': 324, 'def': 30}","{'att': 221, 'def': 29}",2,20,0,1,0.1638,l,2020-11-21 20:00:00,0,0,1,0,-1.2301639999999998
h,1.71644,3.36544,1.71644,3.36544,"{'att': 182, 'def': 19}","{'att': 198, 'def': 15}",6,11,1,0,0.4776,w,2020-11-28 20:00:00,1,0,0,3,-1.649
h,0.567234,1.68656,0.567234,1.68656,"{'att': 259, 'def': 17}","{'att': 307, 'def': 25}",7,14,1,5,0.53,l,2020-12-06 12:00:00,0,0,1,0,-1.119326
