date,deep,deep_allowed,draws,h_a,loses,missed,npxG,npxGA,npxGD,ppda,ppda_allowed,pts,result,scored,wins,xG,xGA,xpts
2019-08-10 17:30:00,2,15,0,a,1,3,0.639599,2.57262,-1.933021,"{'att': 255, 'def': 19}","{'att': 147, 'def': 28}",0,l,1,0,0.639599,2.57262,0.2794
2019-08-17 15:00:00,12,9,0,h,1,2,1.65069,0.866605,0.784085,"{'att': 117, 'def': 9}","{'att': 268, 'def': 25}",0,l,1,0,1.65069,1.62777,1.3698
2019-08-23 20:00:00,6,12,0,h,0,0,0.855926,1.25668,-0.40075400000000005,"{'att': 265, 'def': 20}","{'att': 146, 'def': 27}",3,w,2,1,0.855926,1.25668,0.9697
2019-08-31 15:00:00,5,13,0,a,1,1,0.30354,1.41394,-1.1104,"{'att': 226, 'def': 25}","{'att': 216, 'def': 24}",0,l,0,0,0.30354,1.41394,0.4799
2019-09-16 19:00:00,4,9,1,h,0,0,1.40502,0.535279,0.869741,"{'att': 213, 'def': 22}","{'att': 222, 'def': 22}",1,d,0,0,1.40502,0.535279,2.1614999999999998
2019-09-22 15:30:00,8,12,0,a,1,3,1.71546,1.77093,-0.05546999999999991,"{'att': 242, 'def': 22}","{'att': 182, 'def': 20}",0,l,2,0,1.71546,2.53209,0.8444
2019-09-28 14:00:00,3,2,1,h,0,2,0.914266,1.66919,-0.7549239999999999,"{'att': 121, 'def': 20}","{'att': 199, 'def': 22}",1,d,2,0,0.914266,1.66919,0.7663
2019-10-05 15:00:00,9,13,0,a,0,1,2.76412,1.84838,0.9157400000000002,"{'att': 220, 'def': 25}","{'att': 145, 'def': 24}",3,w,5,1,3.67827,1.84838,2.472
2019-10-19 15:00:00,7,10,0,h,0,1,2.96692,1.32184,1.64508,"{'att': 271, 'def': 18}","{'att': 200, 'def': 21}",3,w,2,1,2.96692,1.32184,2.4098
2019-10-26 12:30:00,3,18,0,a,1,3,0.980145,3.19004,-2.2098950000000004,"{'att': 267, 'def': 10}","{'att': 194, 'def': 24}",0,l,0,0,0.980145,3.19004,0.2449
2019-11-02 15:00:00,2,16,0,h,1,2,0.741615,2.38824,-1.6466250000000002,"{'att': 293, 'def': 14}","{'att': 88, 'def': 20}",0,l,1,0,0.741615,2.38824,0.3756
