date,deep,deep_allowed,draws,h_a,loses,missed,npxG,npxGA,npxGD,ppda,ppda_allowed,pts,result,scored,wins,xG,xGA,xpts
2019-08-10 15:00:00,5,5,1,a,0,0,1.2246,0.87159,0.35300999999999993,"{'att': 110, 'def': 27}","{'att': 294, 'def': 26}",1,d,0,0,1.2246,0.87159,1.6257
2019-08-17 15:00:00,4,3,0,h,0,0,0.832913,1.17279,-0.339877,"{'att': 195, 'def': 22}","{'att': 157, 'def': 40}",3,w,1,1,0.832913,1.17279,1.0150000000000001
2019-08-23 20:00:00,12,6,0,a,1,2,1.25668,0.855926,0.40075400000000005,"{'att': 146, 'def': 27}","{'att': 265, 'def': 20}",0,l,0,0,1.25668,0.855926,1.7245
2019-09-01 14:00:00,4,5,0,h,0,2,1.48842,2.00172,-0.5133000000000001,"{'att': 160, 'def': 30}","{'att': 242, 'def': 12}",3,w,3,1,1.48842,2.00172,0.9823999999999999
2019-09-15 13:00:00,9,3,0,a,1,3,1.50641,1.41542,0.09099000000000013,"{'att': 171, 'def': 31}","{'att': 266, 'def': 22}",0,l,1,0,1.50641,1.41542,1.4259
2019-09-21 14:00:00,9,2,0,h,1,2,1.26041,0.508011,0.752399,"{'att': 96, 'def': 17}","{'att': 263, 'def': 20}",0,l,0,0,1.26041,0.508011,1.9885999999999997
2019-09-28 16:30:00,6,13,0,h,1,3,2.35854,3.1082,-0.74966,"{'att': 392, 'def': 12}","{'att': 204, 'def': 21}",0,l,1,0,2.35854,3.1082,0.9393
2019-10-05 15:00:00,4,6,0,a,1,1,1.30723,0.558912,0.7483179999999999,"{'att': 156, 'def': 20}","{'att': 273, 'def': 14}",0,l,0,0,1.30723,0.558912,2.0524
2019-10-19 12:30:00,11,3,0,h,0,0,2.23324,0.459112,1.774128,"{'att': 183, 'def': 32}","{'att': 191, 'def': 19}",3,w,2,1,2.23324,0.459112,2.6186
2019-10-26 15:00:00,7,4,0,a,1,3,1.04723,0.391623,0.655607,"{'att': 327, 'def': 28}","{'att': 237, 'def': 28}",0,l,2,0,1.04723,1.15279,1.1805
