assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,starts,threat,total_points,yellow_cards
0,0,0,0,0.0,61933,44,0.00000,0.00000,0.00000,0.00000,0,0,0.0,0.0,0,0,0,0,0,0,2009/10,45,0,0.0,0,0
0,0,0,0,0.0,61933,45,0.00000,0.00000,0.00000,0.00000,0,0,0.0,0.0,0,0,0,0,0,0,2010/11,45,0,0.0,0,0
0,0,0,0,0.0,61933,47,0.00000,0.00000,0.00000,0.00000,3,0,0.0,0.0,213,0,0,0,0,0,2011/12,50,0,0.0,6,0
0,0,0,0,0.0,61933,42,0.00000,0.00000,0.00000,0.00000,0,0,0.0,0.0,1,0,0,0,0,0,2012/13,45,0,0.0,1,0
0,0,0,0,0.0,61933,38,0.00000,0.00000,0.00000,0.00000,0,0,0.0,0.0,0,0,0,0,0,0,2013/14,40,0,0.0,0,0
0,0,0,0,0.0,61933,40,0.00000,0.00000,0.00000,0.00000,0,0,0.0,0.0,0,0,0,0,0,0,2014/15,40,0,0.0,0,0
2,7,614,10,98.9,61933,46,0.00000,0.00000,0.00000,0.00000,52,0,148.9,1027.6,3292,0,0,0,0,0,2017/18,45,0,361.0,100,8
2,9,582,7,84.1,61933,47,0.00000,0.00000,0.00000,0.00000,55,5,160.9,1024.4,3087,0,0,0,1,0,2018/19,45,0,499.0,115,4
0,1,227,3,29.8,61933,48,0.00000,0.00000,0.00000,0.00000,18,1,41.8,288.0,1232,0,0,0,0,0,2019/20,50,0,100.0,44,2
0,0,0,0,0.0,61933,43,0.00000,0.00000,0.00000,0.00000,0,0,0.0,0.0,0,0,0,0,0,0,2020/21,45,0,0.0,0,0
1,3,288,4,58.2,61933,40,0.00000,0.00000,0.00000,0.00000,19,1,72.2,380.6,1434,0,0,0,0,0,2021/22,40,0,282.0,48,7
