first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,value_per_m
David,Raya Martín,0,0,162,3330,26,33.5,541.6,0.0,11,633,57.5,19,0,1,30.7,60,GK,27.0
Kepa,Arrizabalaga Revuelta,0,0,2,90,1,0.0,19.8,0.0,0,11,2.0,0,0,0,0.2,50,GK,0.4
Illan,Meslier,11,0,0,0,0,0.0,0.0,0.0,0,11,0.0,0,0,0,0.1,50,GK,0.0
Gabriel,dos Santos Magalhães,3,5,209,2750,20,128.5,824.0,298.0,30,724,125.0,18,0,4,25.9,80,DEF,26.1
Jurriën,Timber,3,6,149,2452,20,402.6,499.0,352.0,9,532,125.7,13,0,5,0.5,65,DEF,22.9
William,Saliba,1,0,137,2614,20,201.0,552.6,90.0,12,581,84.3,15,0,2,0.5,60,DEF,22.8
Myles,Lewis-Skelly,0,0,29,697,8,74.6,73.2,29.0,0,110,17.6,2,0,3,0.3,55,MID,5.3
Riccardo,Calafiori,1,2,109,1697,8,182.3,283.0,313.0,6,389,77.9,13,0,5,15.3,55,DEF,19.8
Piero,Hincapié,1,2,87,1787,19,184.7,453.6,72.0,7,335,70.9,5,0,2,4.4,55,DEF,15.8
Benjamin,White,0,1,45,699,6,133.4,154.8,54.0,3,181,34.3,5,0,0,0.2,55,DEF,8.2
Cristhian,Mosquera,0,0,40,986,8,88.7,219.2,20.0,1,195,32.9,3,0,4,16.9,55,DEF,7.3
Bukayo,Saka,7,10,157,2218,16,847.6,627.0,828.0,18,570,230.6,12,0,2,10.6,95,MID,16.5
Declan,Rice,4,9,184,3093,25,1027.4,827.2,298.0,23,790,215.4,18,0,3,22.3,75,MID,24.5
Eberechi,Eze,7,3,113,1885,14,305.7,393.4,455.0,8,439,115.1,11,0,1,3.3,65,MID,17.4
Martin,Ødegaard,1,7,74,1363,13,564.4,311.8,168.0,5,306,104.4,6,0,0,3.0,65,MID,11.4
Noni,Madueke,3,1,72,1205,9,352.8,257.4,404.0,9,254,101.3,8,0,0,0.4,65,MID,11.1
Mikel,Merino Zazón,4,3,67,1024,10,191.8,304.4,244.0,5,236,73.6,4,0,1,1.2,60,MID,11.2
Gabriel,Martinelli Silva,1,5,57,1065,8,202.2,204.6,390.0,3,195,79.0,2,0,3,0.3,65,MID,8.8
Martín,Zubimendi Ibáñez,5,1,133,2991,25,385.1,603.2,271.0,9,604,126.2,16,0,4,1.5,55,MID,24.2
Max,Dowman,1,1,16,152,1,55.5,45.2,65.0,0,51,16.6,1,0,0,0.2,55,MID,2.9
Christian,Nørgaard,0,0,7,101,1,5.5,23.4,10.0,0,28,4.0,0,0,0,0.3,50,MID,1.4
Ethan,Nwaneri,0,0,8,165,0,22.5,8.6,24.0,0,20,5.4,1,0,0,0.0,55,MID,1.5
Fábio,Ferreira Vieira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,MID,0.0
Reiss,Nelson,0,1,13,118,2,32.6,42.6,29.0,0,39,10.0,0,0,0,0.0,55,MID,2.4
Viktor,Gyökeres,14,1,128,2217,14,271.7,539.6,772.0,16,474,157.5,12,0,5,13.0,75,FWD,17.1
Kai,Havertz,2,3,36,577,4,134.6,152.6,210.0,3,143,49.9,4,0,1,4.0,75,FWD,4.8
Gabriel,Fernando de Jesus,3,0,24,418,6,54.3,141.8,281.0,0,92,47.5,1,0,3,0.4,60,FWD,4.0
Christos,Tzolis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.7,65,MID,0.0
Emiliano,Martínez Romero,0,1,120,2835,39,23.2,769.8,0.0,11,530,79.2,7,0,2,4.6,50,GK,24.0
Marco,Bizot,0,0,16,585,10,0.0,139.2,0.0,0,75,13.9,1,0,2,0.1,45,GK,3.6
Lucas,Digne,0,7,97,1842,23,455.5,400.2,130.0,5,381,98.5,7,0,3,1.4,45,DEF,21.6
Ezri,Konsa Ngoyo,0,1,100,3035,44,108.3,601.4,124.0,3,497,84.0,9,1,0,17.4,45,DEF,22.2
Matty,Cash,3,3,117,3016,38,510.7,643.0,221.0,7,450,137.5,8,0,9,7.8,45,DEF,26.0
Tyrone,Mings,0,1,50,1322,23,80.5,282.6,105.0,4,169,46.8,3,0,1,0.2,45,DEF,11.1
Pau,Torres,0,2,64,1673,19,47.1,321.8,79.0,2,280,45.1,5,0,1,0.2,45,DEF,14.2
Lamare,Bogarde,0,0,40,1042,17,59.4,133.0,14.0,4,121,20.6,2,0,5,0.1,50,MID,8.0
