first_name,second_name,id
David,Raya Martín,1
Kepa,Arrizabalaga Revuelta,2
Illan,Meslier,3
Gabriel,dos Santos Magalhães,4
Jurriën,Timber,5
William,Saliba,6
Myles,Lewis-Skelly,7
Riccardo,Calafiori,8
Piero,Hincapié,9
Benjamin,White,10
Cristhian,Mosquera,11
Bukayo,Saka,12
Declan,Rice,13
Eberechi,Eze,14
Martin,Ødegaard,15
Noni,Madueke,16
Mikel,Merino Zazón,17
Gabriel,Martinelli Silva,18
Martín,Zubimendi Ibáñez,19
Max,Dowman,20
Christian,Nørgaard,21
Ethan,Nwaneri,22
Fábio,Ferreira Vieira,23
Reiss,Nelson,24
Viktor,Gyökeres,25
Kai,Havertz,26
Gabriel,Fernando de Jesus,27
Christos,Tzolis,557
Emiliano,Martínez Romero,28
Marco,Bizot,29
Lucas,Digne,30
Ezri,Konsa Ngoyo,31
Matty,Cash,32
Tyrone,Mings,33
Pau,Torres,34
Lamare,Bogarde,35
Ian,Maatsen,36
Victor,Lindelöf,37
Andrés,García,38
Kosta,Nedeljkovic,39
Emiliano,Buendía Stati,41
Evann,Guessand,42
Leon,Bailey,44
John,McGinn,45
Ross,Barkley,46
Boubacar,Kamara,47
Amadou,Onana,48
Samuel,Iling-Junior,49
Bradley,Burrowes,50
George,Hemmings,51
Alysson Edward Franco,da Rocha dos Santos,52
Johan,Manzambi,53
Joao,Gomes,54
Ollie,Watkins,55
Tammy,Abraham,56
Alejandro,Garnacho Ferreyra,160
Đorđe,Petrović,57
Fraser,Forster,58
Will,Dennis,59
James,Hill,60
Adrien,Truffert,61
Bafodé,Diakité,62
Veljko,Milosavljevic,63
Adam,Smith,64
Julián,Araujo Zúñiga,65
Julio,Soler Barreto,66
Rayan Vitor,Simplício Rocha,67
Marcus,Tavernier,68
Alex,Scott,69
Justin,Kluivert,70
Lewis,Cook,71
Ben,Gannon-Doak,72
Tyler,Adams,73
David,Brooks,74
Ryan,Christie,75
Alex,Tóth,76
Amine,Adli,77
Junior,Kroupi,78
Francisco Evanilson,de Lima Barbosa,79
Enes,Ünal,80
Álvaro,Rodríguez,81
António João,Pereira de Albuquerque Tavares da Silva,566
Caoimhín,Kelleher,82
Hákon Rafn,Valdimarsson,83
Nathan,Collins,84
Sepp,van den Berg,85
Keane,Lewis-Potter,86
Kristoffer,Ajer,87
Michael,Kayode,88
Rico,Henry,89
Aaron,Hickey,90
Ethan,Pinnock,91
Kim,Ji-soo,92
Jannik,Schuster,93
Kevin,Schade,94
Dango,Ouattara,95
Mikkel,Damsgaard,96
Mathias,Jensen,97
Vitaly,Janelt,98
Antoni,Milambo,99
Fábio,Freitas Gouveia Carvalho,100
Jordan,Henderson,101
Yehor,Yarmoliuk,102
Josh,Dasilva,103
Jaidon,Anthony,105
Igor Thiago,Nascimento Rodrigues,106
Kaye,Furo,107
Callum,Wilson,108
Mamadou,Sangaré,565
Bart,Verbruggen,109
Carl,Rushworth,110
Jason,Steele,111
Ferdi,Kadıoğlu,113
Olivier,Boscagli,114
Maxim,De Cuyper,115
Lewis,Dunk,116
Diego,Coppola,117
Igor Julio,dos Santos de Paulo,118
João Pedro,Loureiro da Costa,119
Michael,Svoboda,120
Mitoma,Kaoru,121
Yankuba,Minteh,122
Jack,Hinshelwood,123
Pascal,Groß,124
Georginio,Rutter,125
Matt,O'Riley,126
Diego,Gómez Amarilla,127
Facundo,Buonanotte,128
Yasin,Ayari,129
Mats,Wieffer,130
Carlos,Baleba,131
Harry,Howell,132
Tom,Watson,133
Nehemiah,Oriola,134
Zadok,Yohanna,135
Stefanos,Tzimas,137
Charalampos,Kostoulas,138
Evan,Ferguson,139
Pascal,Struijk,328
Luka,Vušković,504
Morgan,Rogers,40
Danny,Welbeck,136
Robert,Lynch Sánchez,140
Filip,Jörgensen,141
Reece,James,142
