assists,bonus,bps,clean_sheets,creativity,ea_index,element_code,end_cost,goals_conceded,goals_scored,ict_index,id,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season,season_name,start_cost,threat,total_points,yellow_cards
0,1,0,0,0.0,0,1822,47,27,0,0.0,295,0.0,1881,0,0,0,0,71,1,2006/07,50,0.0,64,1
0,0,0,0,0.0,0,1822,48,37,0,0.0,1072,0.0,1628,0,0,0,0,54,2,2007/08,50,0.0,39,2
1,13,0,0,0.0,0,1822,48,55,0,0.0,1589,0.0,3330,0,0,2,0,125,3,2008/09,50,0.0,144,2
0,3,0,0,0.0,0,1822,53,42,0,0.0,2324,0.0,3132,0,0,2,0,91,4,2009/10,55,0.0,131,2
0,0,0,0,0.0,0,1822,53,0,0,0.0,2966,0.0,0,0,0,0,0,0,5,2010/11,60,0.0,0,0
0,0,0,8,0.0,285,1822,47,45,0,0.0,3328,0.0,2827,0,0,0,0,96,6,2011/12,50,0.0,96,1
0,0,0,0,0.0,8,1822,45,4,0,0.0,3990,0.0,180,0,0,0,0,3,7,2012/13,50,0.0,4,0
0,0,0,0,0.0,0,1822,39,0,0,0.0,4695,0.0,0,0,0,0,0,0,8,2013/14,40,0.0,0,0
0,0,38,1,0.0,37,1822,40,8,0,0.0,5385,0.0,270,0,0,0,0,9,9,2014/15,40,0.0,7,1
0,0,32,0,0.0,24,1822,43,7,0,0.0,6099,0.0,225,0,0,0,0,7,10,2015/16,45,0.0,2,1
0,3,92,0,0.0,0,1822,42,14,0,14.4,6845,144.8,450,1,0,1,0,18,11,2016/17,45,0.0,13,1
