assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,starts,threat,total_points,yellow_cards
0,0,0,0,0.0,103955,46,0.00000,0.00000,0.00000,0.00000,0,0,0.0,0.0,30,0,0,0,0,0,2011/12,50,0,0.0,3,0
6,7,0,6,0.0,103955,46,0.00000,0.00000,0.00000,0.00000,24,2,0.0,0.0,1748,0,0,0,0,0,2012/13,45,0,0.0,82,1
7,7,125,6,0.0,103955,64,0.00000,0.00000,0.00000,0.00000,31,9,0.0,0.0,2219,0,0,0,0,0,2013/14,55,0,0.0,132,3
10,16,513,13,0.0,103955,83,0.00000,0.00000,0.00000,0.00000,39,7,0.0,0.0,3047,0,0,0,0,0,2014/15,85,0,0.0,158,5
3,3,324,7,0.0,103955,85,0.00000,0.00000,0.00000,0.00000,30,6,0.0,0.0,1920,0,0,0,0,0,2015/16,90,0,0.0,96,1
14,11,468,9,688.3,103955,75,0.00000,0.00000,0.00000,0.00000,27,7,237.7,527.0,2509,0,0,0,0,0,2016/17,80,0,1170.0,149,7
17,19,701,13,838.2,103955,91,0.00000,0.00000,0.00000,0.00000,23,18,329.7,969.8,2584,0,0,0,1,0,2017/18,80,0,1488.0,229,3
15,25,743,17,937.4,103955,117,0.00000,0.00000,0.00000,0.00000,19,17,357.1,1060.0,2770,0,0,0,0,0,2018/19,110,0,1572.0,234,3
6,20,642,13,751.3,103955,120,0.00000,0.00000,0.00000,0.00000,31,20,350.2,921.6,2651,0,2,0,0,0,2019/20,120,0,1829.0,204,5
9,10,458,14,584.1,103955,109,0.00000,0.00000,0.00000,0.00000,23,10,260.3,663.4,2534,0,1,0,0,0,2020/21,115,0,1366.0,154,4
7,15,468,13,613.2,103955,105,0.00000,0.00000,0.00000,0.00000,17,13,253.4,730.8,2121,0,1,0,0,0,2021/22,110,0,1188.0,163,1
