assists,bonus,bps,clean_sheets,creativity,ea_index,element_code,end_cost,goals_conceded,goals_scored,ict_index,id,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season,season_name,start_cost,threat,total_points,yellow_cards
4,26,0,0,0.0,0,1632,71,39,8,0.0,39,0.0,3120,0,1,0,1,0,1,2006/07,65,0.0,147,7
10,27,0,0,0.0,0,1632,84,49,9,0.0,698,0.0,3319,0,1,0,0,0,2,2007/08,75,0.0,178,5
8,35,0,0,0.0,0,1632,85,48,5,0.0,1347,0.0,3383,0,0,0,0,0,3,2008/09,85,0.0,162,9
7,8,0,0,0.0,0,1632,74,40,2,0.0,2338,0.0,2994,0,0,0,0,0,4,2009/10,80,0.0,112,4
3,3,0,13,0.0,0,1632,65,29,2,0.0,2984,0.0,2702,0,0,0,0,0,5,2010/11,70,0.0,90,8
3,3,0,13,0.0,453,1632,66,25,1,0.0,3664,0.0,2734,0,0,0,1,0,6,2011/12,70,0.0,83,8
4,7,0,14,0.0,381,1632,52,21,1,0.0,4354,0.0,2398,1,0,0,0,0,7,2012/13,55,0.0,87,6
4,6,153,13,0.0,560,1632,53,29,2,0.0,5063,0.0,2848,0,0,0,0,0,8,2013/14,55,0.0,94,10
2,0,444,9,0.0,377,1632,47,41,0,0.0,5747,0.0,2822,0,0,0,1,0,9,2014/15,50,0.0,66,10
2,4,494,10,0.0,418,1632,42,42,0,0.0,6461,0.0,2837,0,0,0,1,0,10,2015/16,45,0.0,76,5
1,3,371,7,400.6,0,1632,43,28,2,115.0,7166,509.4,2109,0,0,0,0,0,11,2016/17,45,244.0,68,10
