assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,threat,total_points,yellow_cards
0,4,0,0,0.0,37642,44,15,0,0.0,0.0,1336,0,0,0,0,0,2007/08,45,0.0,50,0
0,4,0,0,0.0,37642,42,8,0,0.0,0.0,1422,0,0,0,0,0,2008/09,45,0.0,73,2
0,0,0,0,0.0,37642,48,12,0,0.0,0.0,1585,0,0,0,0,0,2009/10,55,0.0,68,2
0,0,0,4,0.0,37642,46,16,0,0.0,0.0,1004,0,0,0,1,0,2010/11,55,0.0,29,2
3,11,0,15,0.0,37642,53,23,1,0.0,0.0,2423,1,0,0,1,0,2011/12,45,0.0,123,6
2,11,0,8,0.0,37642,53,23,3,0.0,0.0,1902,1,0,0,0,0,2012/13,60,0.0,99,2
0,7,100,4,0.0,37642,47,20,0,0.0,0.0,1375,0,0,0,0,0,2013/14,55,0.0,47,0
0,5,270,6,0.0,37642,50,7,0,0.0,0.0,1090,0,0,0,0,0,2014/15,55,0.0,53,1
1,11,575,8,0.0,37642,45,34,1,0.0,0.0,2590,0,0,0,0,0,2015/16,50,0.0,96,4
1,7,478,4,117.5,37642,44,39,2,100.6,626.6,2637,0,0,0,0,0,2016/17,45,259.0,79,8
2,5,455,6,104.2,37642,49,38,2,85.1,536.2,2269,1,0,0,0,0,2017/18,50,211.0,78,7
0,3,418,8,66.1,37642,48,26,1,68.5,460.0,1993,0,0,0,0,0,2018/19,50,158.0,77,2
