name,position,team,xP,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Evann Guessand,MID,Crystal Palace,2.0,0,0,3,0,0,1.8,1,42,0.02,0.05,0.03,0.14,3,0,0,1.2,3.2,2026-08-22T14:00:00Z,27,False,9,0,0,0,0,0,1,0,3238,0,1,0,2,7.0,1,0,0,0,55,False,0
Giorgi Mamardashvili,GK,Liverpool,2.6,0,0,0,0,0,0.0,0,351,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2026-08-23T15:30:00Z,0,False,17,0,0,0,0,0,1,0,13503,0,0,2,2,0.0,0,0,0,0,50,False,0
Anan Khalaili,DEF,Crystal Palace,2.2,0,0,12,0,5,26.5,9,588,0.16,0.16,0.00,0.27,3,0,0,5.5,24.0,2026-08-22T14:00:00Z,35,False,9,0,0,0,3,0,1,0,8418,0,4,0,2,4.0,1,0,0,0,50,False,0
Claudio Echeverri,MID,Man City,1.5,0,0,0,0,0,0.0,0,407,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,3,0,0,0,0,0,1,0,1572,0,0,1,2,0.0,0,0,0,0,50,True,0
Vitor de Oliveira Nunes dos Reis,DEF,Man City,1.7,0,0,0,0,0,0.0,0,396,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,3,0,0,0,0,0,1,0,1856,0,0,1,2,0.0,0,0,0,0,45,True,0
Harrison Armstrong,MID,Everton,1.5,1,0,25,1,3,14.7,16,244,0.04,0.04,0.00,1.96,3,0,0,4.8,28.8,2026-08-22T14:00:00Z,90,False,8,0,0,0,11,0,1,0,6793,1,2,0,2,4.0,8,0,0,0,50,True,0
Elliot Anderson,MID,Man City,2.3,0,0,14,0,1,20.8,6,481,0.25,0.25,0.00,0.55,8,1,0,2.8,7.2,2026-08-23T13:00:00Z,62,False,3,0,0,0,3,0,1,0,707651,1,2,1,2,0.0,2,0,0,0,65,True,0
Lewie Coyle,DEF,Hull City,1.0,0,0,23,1,1,11.3,2,280,0.01,0.01,0.00,1.16,4,0,0,1.7,5.8,2026-08-22T11:30:00Z,69,False,16,0,0,0,3,0,1,0,59278,1,1,0,2,0.0,6,0,0,0,40,True,0
Ferdi Kadıoğlu,DEF,Brighton,1.7,0,0,0,0,0,0.0,0,113,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,2,0,0,0,0,0,1,0,265528,0,0,0,4,0.0,0,0,0,0,45,True,0
Pau Torres,DEF,Aston Villa,1.7,0,0,-14,0,5,0.7,5,34,0.00,0.00,0.00,3.55,7,4,0,0.0,0.0,2026-08-23T13:00:00Z,73,False,5,0,0,0,1,0,1,0,38472,1,0,0,4,0.0,0,0,0,0,45,False,0
Leif Davis,DEF,Ipswich Town,1.0,0,0,10,0,7,2.3,7,305,0.01,0.01,0.00,0.66,5,1,0,1.8,15.2,2026-08-22T14:00:00Z,90,False,20,0,0,0,4,0,1,0,479363,1,0,1,2,0.0,2,0,0,0,40,True,0
Sean Longstaff,MID,Leeds,1.5,0,0,3,0,0,0.2,0,339,0.00,0.00,0.00,0.07,6,0,0,0.0,0.0,2026-08-22T14:00:00Z,8,False,18,0,0,0,0,0,1,0,12582,0,0,1,0,0.0,1,0,0,0,50,False,0
Elliot Stroud,MID,Hull City,1.5,0,0,11,1,1,4.8,6,576,0.03,0.03,0.00,1.16,4,0,0,1.3,8.4,2026-08-22T11:30:00Z,70,False,16,0,0,0,2,0,1,0,6733,1,3,0,2,0.0,3,0,0,0,50,True,0
Ryan Christie,MID,Bournemouth,0.0,0,0,0,0,0,0.0,0,75,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,15,0,0,0,0,0,1,0,1007,0,0,1,2,0.0,0,0,0,0,50,False,0
Cody Drameh,DEF,Hull City,1.0,0,0,4,0,2,0.0,3,281,0.00,0.05,0.05,0.67,4,0,0,0.3,2.2,2026-08-22T11:30:00Z,20,False,16,0,0,0,2,0,1,0,1668,0,1,0,2,1.0,1,0,0,0,40,True,0
Jacob Ramsey,MID,Newcastle,1.5,0,0,1,0,3,1.3,6,456,0.01,0.07,0.06,1.50,9,1,0,1.3,7.8,2026-08-23T15:30:00Z,34,False,14,0,0,0,1,0,1,0,34032,0,2,2,2,4.0,0,0,0,0,50,True,1
Tom Heaton,GK,Man Utd,0.0,0,0,0,0,0,0.0,0,414,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,False,11,0,0,0,0,0,1,0,9078,0,0,0,2,0.0,0,0,0,0,40,False,0
Rico Lewis,DEF,Man City,1.7,0,0,-1,0,2,3.8,2,395,0.02,0.19,0.17,0.55,8,1,0,4.7,3.8,2026-08-23T13:00:00Z,56,False,3,0,0,0,0,0,1,0,18491,1,0,1,2,39.0,1,0,0,0,45,True,0
Matheus Nunes,DEF,Man City,2.8,0,0,4,0,1,1.5,1,389,0.04,0.04,0.00,0.10,8,0,0,0.9,3.8,2026-08-23T13:00:00Z,33,False,3,0,0,0,2,0,1,0,123928,0,0,1,2,4.0,1,0,0,0,60,True,0
Conor Gallagher,MID,Spurs,2.0,0,0,1,0,0,5.5,3,519,0.06,0.08,0.02,1.70,2,2,0,0.5,0.0,2026-08-22T16:30:00Z,45,False,4,0,0,0,2,0,1,0,26860,1,1,0,3,1.0,0,0,0,0,55,False,1
Micky van de Ven,DEF,Spurs,0.0,0,0,0,0,0,0.0,0,503,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,0,False,4,0,0,0,0,0,1,0,522301,0,0,0,3,0.0,0,0,0,0,50,False,0
Joelinton Cássio Apolinário de Lira,MID,Newcastle,0.0,0,0,0,0,0,0.0,0,458,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2026-08-23T15:30:00Z,0,False,14,0,0,0,0,0,1,0,3620,0,0,2,2,0.0,0,0,0,0,55,True,0
Kim Ji-soo,DEF,Brentford,1.7,0,0,0,0,0,0.0,0,92,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,0,False,19,0,0,0,0,0,1,0,1635,0,0,0,3,0.0,0,0,0,0,45,True,0
Cole Palmer,MID,Chelsea,3.2,1,3,60,0,0,41.3,9,154,0.19,0.47,0.28,1.24,10,2,1,16.1,65.2,2026-08-24T19:00:00Z,82,False,10,0,0,0,7,0,1,0,919516,1,2,3,2,54.0,13,0,0,0,95,False,0
Andrey Nascimento dos Santos,MID,Man Utd,1.5,0,0,17,0,3,4.2,9,162,0.23,0.23,0.00,0.94,4,2,0,1.8,11.4,2026-08-22T11:30:00Z,66,False,11,0,0,0,5,0,1,0,93940,1,1,0,2,2.0,2,0,0,0,50,False,0
Oli McBurnie,FWD,Hull City,1.8,1,0,21,1,3,21.1,5,295,0.01,0.17,0.16,1.83,4,0,0,9.0,17.2,2026-08-22T11:30:00Z,90,False,16,0,0,0,2,0,1,0,113765,1,0,0,2,52.0,5,0,0,0,55,True,0
