name,position,team,xP,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Reinildo Mandava,DEF,Sunderland,0.0,0,3,29,1,8,2.5,10,541,0.01,0.01,0.00,0.24,159,0,0,2.3,20.4,2025-12-14T14:00:00Z,90,False,15,0,0,0,7,0,16,0,457006,1,2,0,1,0.0,10,-53588,7456,61044,39,True,1
Lewis Dobbin,MID,Aston Villa,0.0,0,0,0,0,0,0.0,0,57,0.00,0.00,0.00,0.00,160,0,0,0.0,0.0,2025-12-14T14:00:00Z,0,False,19,0,0,0,0,0,16,0,3249,0,0,3,2,0.0,0,-34,0,34,50,False,0
Ryan Christie,MID,Bournemouth,0.0,0,0,0,0,0,0.0,0,87,0.00,0.00,0.00,0.00,157,0,0,0.0,0.0,2025-12-15T20:00:00Z,0,False,14,0,0,0,0,0,16,0,6940,0,0,4,4,0.0,0,-701,15,716,49,False,0
Zeki Amdouni,FWD,Burnley,0.0,0,0,0,0,0,0.0,0,216,0.00,0.00,0.00,0.00,153,0,0,0.0,0.0,2025-12-13T17:30:00Z,0,False,10,0,0,0,0,0,16,0,2797,0,0,3,2,0.0,0,3,83,80,48,True,0
Lucas Tolentino Coelho de Lima,MID,West Ham,0.0,0,0,4,0,0,16.5,2,612,0.16,0.16,0.00,0.58,160,3,0,1.9,0.2,2025-12-14T14:00:00Z,88,False,2,0,0,0,2,0,16,0,176398,1,0,3,2,2.0,2,-14281,5128,19409,59,True,0
Jorrel Hato,DEF,Chelsea,0.0,0,0,0,0,0,0.0,0,672,0.00,0.00,0.00,0.00,154,0,0,0.0,0.0,2025-12-13T15:00:00Z,0,False,9,0,0,0,0,0,16,0,20982,0,0,0,2,0.0,0,-451,229,680,47,True,0
Myles Peart-Harris,MID,Brentford,0.0,0,0,0,0,0,0.0,0,133,0.00,0.00,0.00,0.00,152,0,0,0.0,0.0,2025-12-14T16:30:00Z,0,False,11,0,0,0,0,0,16,0,4720,0,0,1,1,0.0,0,-168,104,272,44,True,0
Bashir Humphreys,DEF,Burnley,0.0,0,0,0,0,0,0.0,0,193,0.00,0.00,0.00,0.00,153,0,0,0.0,0.0,2025-12-13T17:30:00Z,0,False,10,0,0,0,0,0,16,0,7769,0,0,3,2,0.0,0,-641,62,703,39,True,0
Romain Faivre,MID,Bournemouth,0.0,0,0,0,0,0,0.0,0,92,0.00,0.00,0.00,0.00,157,0,0,0.0,0.0,2025-12-15T20:00:00Z,0,False,14,0,0,0,0,0,16,0,8283,0,0,4,4,0.0,0,-354,0,354,45,False,0
Enock Agyei,MID,Burnley,0.0,0,0,0,0,0,0.0,0,203,0.00,0.00,0.00,0.00,153,0,0,0.0,0.0,2025-12-13T17:30:00Z,0,False,10,0,0,0,0,0,16,0,5247,0,0,3,2,0.0,0,8,176,168,47,True,0
Callum Bates,MID,Everton,0.0,0,0,0,0,0,0.0,0,306,0.00,0.00,0.00,0.00,154,0,0,0.0,0.0,2025-12-13T15:00:00Z,0,False,7,0,0,0,0,0,16,0,8539,0,0,0,2,0.0,0,-307,285,592,44,False,0
Harry Tyrer,GK,Everton,0.0,0,0,0,0,0,0.0,0,289,0.00,0.00,0.00,0.00,154,0,0,0.0,0.0,2025-12-13T15:00:00Z,0,False,7,0,0,0,0,0,16,0,14203,0,0,0,2,0.0,0,-243,254,497,39,False,0
Etienne Green,GK,Burnley,0.0,0,0,0,0,0,0.0,0,184,0.00,0.00,0.00,0.00,153,0,0,0.0,0.0,2025-12-13T17:30:00Z,0,False,10,0,0,0,0,0,16,0,24435,0,0,3,2,0.0,0,-1340,0,1340,40,True,0
