name,position,team,xP,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Aaron Hickey,DEF,Brentford,0.3,0,0,0,0,0,0.0,0,116,0.00,0.00,0.00,0.00,45,0,0,0.0,0.0,2025-09-20T19:00:00Z,0,False,10,0,0,0,0,0,5,0,46468,0,0,1,3,0.0,0,-807,1814,2621,40,False,0
Aaron Ramsdale,GK,Newcastle,0.5,0,0,0,0,0,0.0,0,674,0.00,0.00,0.00,0.00,42,0,0,0.0,0.0,2025-09-21T13:00:00Z,0,False,4,0,0,0,0,0,5,0,82183,0,0,0,0,0.0,0,-4556,1661,6217,49,False,0
Aaron Ramsey,MID,Burnley,0.0,0,0,0,0,0,0.0,0,211,0.00,0.00,0.00,0.00,44,0,0,0.0,0.0,2025-09-20T14:00:00Z,0,False,16,0,0,0,0,0,5,0,502935,0,0,1,1,0.0,0,-116781,0,116781,44,True,0
Aaron Wan-Bissaka,DEF,West Ham,0.0,0,0,0,0,0,0.0,0,610,0.00,0.00,0.00,0.00,49,0,0,0.0,0.0,2025-09-20T14:00:00Z,0,False,8,0,0,0,0,0,5,0,1269810,0,0,2,1,0.0,0,-319969,4433,324402,43,True,0
Aarón Anselmino,DEF,Chelsea,0.0,0,0,0,0,0,0.0,0,234,0.00,0.00,0.00,0.00,47,0,0,0.0,0.0,2025-09-20T16:30:00Z,0,False,14,0,0,0,0,0,5,0,9477,0,0,1,2,0.0,0,-1266,0,1266,40,False,0
Abdallah Sima,MID,Brighton,0.0,0,0,0,0,0,0.0,0,165,0.00,0.00,0.00,0.00,43,0,0,0.0,0.0,2025-09-20T14:00:00Z,0,False,18,0,0,0,0,0,5,0,1954,0,0,2,2,0.0,0,-252,0,252,54,True,0
Abdoullah Ba,MID,Sunderland,-0.5,0,0,0,0,0,0.0,0,554,0.00,0.00,0.00,0.00,48,0,0,0.0,0.0,2025-09-21T13:00:00Z,0,False,2,0,0,0,0,0,5,0,26185,0,0,1,1,0.0,0,-227,2176,2403,44,True,0
Abdukodir Khusanov,DEF,Man City,3.3,0,0,4,0,3,0.8,3,406,0.00,0.00,0.00,0.35,41,0,0,0.6,4.8,2025-09-21T15:30:00Z,45,False,1,0,0,0,3,0,5,0,51939,1,0,1,1,0.0,1,9130,11774,2644,54,False,0
Adama Traoré Diarra,MID,Fulham,0.7,0,0,0,0,0,0.0,0,326,0.00,0.00,0.00,0.00,45,0,0,0.0,0.0,2025-09-20T19:00:00Z,0,False,5,0,0,0,0,0,5,0,22573,0,0,1,3,0.0,0,-1983,662,2645,53,True,0
Adam Aznou,DEF,Everton,-1.0,0,0,0,0,0,0.0,0,667,0.00,0.00,0.00,0.00,46,0,0,0.0,0.0,2025-09-20T11:30:00Z,0,False,12,0,0,0,0,0,5,0,7645,0,0,1,2,0.0,0,-514,183,697,44,False,0
Adam Smith,DEF,Bournemouth,0.0,0,0,0,0,0,0.0,0,73,0.00,0.00,0.00,0.00,42,0,0,0.0,0.0,2025-09-21T13:00:00Z,0,False,15,0,0,0,0,0,5,0,25351,0,0,0,0,0.0,0,-5592,40,5632,45,True,0
