name,position,team,xP,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Reinildo Mandava,DEF,Sunderland,0.0,0,0,14,0,5,1.8,6,541,0.02,0.02,0.00,1.04,366,1,0,1.6,14.4,2026-05-17T14:00:00Z,90,False,9,0,0,0,2,0,37,0,385474,1,1,3,1,0.0,2,9961,12699,2738,38,False,0
Lorenzo Lucca,FWD,Nott'm Forest,0.0,0,0,0,0,0,0.0,0,805,0.00,0.00,0.00,0.00,368,0,0,0.0,0.0,2026-05-17T11:30:00Z,0,False,14,0,0,0,0,0,37,0,1924,0,0,2,3,0.0,0,27,104,77,53,False,0
Lewis Dobbin,MID,Aston Villa,0.0,0,0,0,0,0,0.0,0,57,0.00,0.00,0.00,0.00,362,0,0,0.0,0.0,2026-05-15T19:00:00Z,0,False,12,0,0,0,0,0,37,0,3112,0,0,2,4,0.0,0,-1,0,1,50,True,0
Ryan Christie,MID,Bournemouth,0.0,0,0,0,0,0,0.0,0,87,0.00,0.00,0.00,0.00,363,0,0,0.0,0.0,2026-05-19T18:30:00Z,0,False,13,0,0,0,0,0,37,0,15388,0,0,1,1,0.0,0,-3616,23,3639,49,True,0
Leo Shahar,DEF,Newcastle,0.0,0,0,0,0,0,0.0,0,765,0.00,0.00,0.00,0.00,369,0,0,0.0,0.0,2026-05-17T16:30:00Z,0,False,19,0,0,0,0,0,37,0,4387,0,0,1,3,0.0,0,17,98,81,40,True,0
Zeki Amdouni,FWD,Burnley,0.0,0,0,4,0,0,1.3,0,216,0.00,0.00,0.00,0.03,361,0,0,0.1,0.0,2026-05-18T19:00:00Z,20,False,1,0,0,0,0,0,37,0,3078,0,0,0,1,0.0,1,62,90,28,48,False,0
Lucas Tolentino Coelho de Lima,MID,West Ham,0.0,0,0,0,0,0,0.0,0,612,0.00,0.00,0.00,0.00,369,0,0,0.0,0.0,2026-05-17T16:30:00Z,0,False,15,0,0,0,0,0,37,0,137113,0,0,1,3,0.0,0,-267,0,267,59,False,0
Jorrel Hato,DEF,Chelsea,0.0,0,0,11,0,5,10.7,6,672,0.02,0.02,0.00,1.72,365,1,0,3.1,18.2,2026-05-19T19:15:00Z,90,False,18,0,0,0,4,0,37,0,24373,1,1,1,2,2.0,1,105,288,183,46,True,1
Myles Peart-Harris,MID,Brentford,0.0,0,0,0,0,0,0.0,0,133,0.00,0.00,0.00,0.00,364,0,0,0.0,0.0,2026-05-17T14:00:00Z,0,False,8,0,0,0,0,0,37,0,3987,0,0,2,2,0.0,0,-10,0,10,44,True,0
Bashir Humphreys,DEF,Burnley,0.0,0,0,4,0,2,0.4,2,193,0.00,0.00,0.00,0.03,361,0,0,0.5,4.6,2026-05-18T19:00:00Z,8,False,1,0,0,0,0,0,37,0,15558,0,0,0,1,0.0,1,-268,86,354,39,False,0
Romain Faivre,MID,Bournemouth,0.0,0,0,0,0,0,0.0,0,92,0.00,0.00,0.00,0.00,363,0,0,0.0,0.0,2026-05-19T18:30:00Z,0,False,13,0,0,0,0,0,37,0,7676,0,0,1,1,0.0,0,-10,0,10,45,True,0
Enock Agyei,MID,Burnley,0.0,0,0,0,0,0,0.0,0,203,0.00,0.00,0.00,0.00,361,0,0,0.0,0.0,2026-05-18T19:00:00Z,0,False,1,0,0,0,0,0,37,0,6268,0,0,0,1,0.0,0,21,70,49,47,False,0
Callum Bates,MID,Everton,0.0,0,0,0,0,0,0.0,0,306,0.00,0.00,0.00,0.00,366,0,0,0.0,0.0,2026-05-17T14:00:00Z,0,False,17,0,0,0,0,0,37,0,12314,0,0,3,1,0.0,0,31,228,197,43,True,0
Harry Tyrer,GK,Everton,0.0,0,0,0,0,0,0.0,0,289,0.00,0.00,0.00,0.00,366,0,0,0.0,0.0,2026-05-17T14:00:00Z,0,False,17,0,0,0,0,0,37,0,11273,0,0,3,1,0.0,0,-67,0,67,39,True,0
Etienne Green,GK,Burnley,0.0,0,0,0,0,0,0.0,0,184,0.00,0.00,0.00,0.00,361,0,0,0.0,0.0,2026-05-18T19:00:00Z,0,False,1,0,0,0,0,0,37,0,20180,0,0,0,1,0.0,0,-72,0,72,40,False,0
Destiny Udogie,DEF,Spurs,0.0,0,0,-5,0,1,0.6,4,574,0.00,0.00,0.00,0.48,365,2,0,0.7,4.6,2026-05-19T19:15:00Z,68,False,7,0,0,0,5,0,37,0,40467,1,3,1,2,2.0,0,140,386,246,43,False,1
Simon Moore,GK,Sunderland,0.0,0,0,0,0,0,0.0,0,529,0.00,0.00,0.00,0.00,366,0,0,0.0,0.0,2026-05-17T14:00:00Z,0,False,9,0,0,0,0,0,37,0,43319,0,0,3,1,0.0,0,-50,210,260,39,False,0
Ben Winterburn,MID,Bournemouth,0.0,0,0,0,0,0,0.0,0,96,0.00,0.00,0.00,0.00,363,0,0,0.0,0.0,2026-05-19T18:30:00Z,0,False,13,0,0,0,0,0,37,0,3838,0,0,1,1,0.0,0,-2,0,2,45,True,0
Mikey Moore,MID,Spurs,0.0,0,0,0,0,0,0.0,0,592,0.00,0.00,0.00,0.00,365,0,0,0.0,0.0,2026-05-19T19:15:00Z,0,False,7,0,0,0,0,0,37,0,417,0,0,1,2,0.0,0,0,0,0,50,False,0
Jesse Derry,MID,Chelsea,0.0,0,0,0,0,0,0.0,0,829,0.00,0.00,0.00,0.00,365,0,0,0.0,0.0,2026-05-19T19:15:00Z,0,False,18,0,0,0,0,0,37,0,96,0,0,1,2,0.0,0,-7,11,18,45,True,0
Pape Matar Sarr,MID,Spurs,0.0,1,0,18,0,0,25.2,1,593,0.03,0.16,0.13,0.15,365,0,0,4.7,18.0,2026-05-19T19:15:00Z,21,False,7,0,0,0,1,0,37,0,127053,0,0,1,2,4.0,4,-41,2527,2568,45,False,0
Hákon Rafn Valdimarsson,GK,Brentford,0.0,0,0,0,0,0,0.0,0,105,0.00,0.00,0.00,0.00,364,0,0,0.0,0.0,2026-05-17T14:00:00Z,0,False,8,0,0,0,0,0,37,0,119563,0,0,2,2,0.0,0,7756,10330,2574,38,True,0
Toby Collyer,MID,Man Utd,0.0,0,0,0,0,0,0.0,0,460,0.00,0.00,0.00,0.00,368,0,0,0.0,0.0,2026-05-17T11:30:00Z,0,False,16,0,0,0,0,0,37,0,3224,0,0,2,3,0.0,0,-3,0,3,45,True,0
Jaydon Jones,MID,Sunderland,0.0,0,0,0,0,0,0.0,0,822,0.00,0.00,0.00,0.00,366,0,0,0.0,0.0,2026-05-17T14:00:00Z,0,False,9,0,0,0,0,0,37,0,371,0,0,3,1,0.0,0,29,48,19,45,False,0
Marcos Senesi Barón,DEF,Bournemouth,0.0,0,0,13,0,9,1.0,10,72,0.01,0.01,0.00,1.67,363,1,0,2.3,22.2,2026-05-19T18:30:00Z,90,False,13,0,0,0,4,0,37,0,2724452,1,1,1,1,0.0,4,-39964,60900,100864,52,True,0
Adam Armstrong,FWD,Wolves,0.0,0,0,3,0,1,0.3,3,817,0.00,0.42,0.42,1.47,370,1,0,0.6,0.0,2026-05-17T14:00:00Z,71,False,10,0,0,0,1,0,37,0,6777,1,1,1,1,6.0,2,-1399,287,1686,52,True,0
Tyler Morton,MID,Liverpool,0.0,0,0,0,0,0,0.0,0,395,0.00,0.00,0.00,0.00,362,0,0,0.0,0.0,2026-05-15T19:00:00Z,0,False,2,0,0,0,0,0,37,0,265,0,0,2,4,0.0,0,-1,0,1,45,False,0
