name,position,team,xP,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Reinildo Mandava,DEF,Sunderland,0.0,0,0,0,0,0,0.0,0,541,0.00,0.00,0.00,0.00,163,0,0,0.0,0.0,2025-12-20T15:00:00Z,0,False,6,0,0,0,0,0,17,0,398908,0,0,0,0,0.0,0,-57511,1617,59128,39,False,0
Lewis Dobbin,MID,Aston Villa,0.0,0,0,0,0,0,0.0,0,57,0.00,0.00,0.00,0.00,161,0,0,0.0,0.0,2025-12-21T16:30:00Z,0,False,14,0,0,0,0,0,17,0,3233,0,0,1,2,0.0,0,-18,0,18,50,True,0
Ryan Christie,MID,Bournemouth,0.0,0,0,-1,0,0,0.9,2,87,0.01,0.01,0.00,0.38,162,1,0,0.2,0.8,2025-12-20T15:00:00Z,16,False,3,0,0,0,1,0,17,0,6651,0,1,1,1,0.0,1,-296,18,314,49,True,0
Leo Shahar,DEF,Newcastle,0.0,0,0,0,0,0,0.0,0,765,0.00,0.00,0.00,0.00,168,0,0,0.0,0.0,2025-12-20T12:30:00Z,0,False,7,0,0,0,0,0,17,0,0,0,0,2,2,0.0,0,0,0,0,40,True,0
Zeki Amdouni,FWD,Burnley,0.0,0,0,0,0,0,0.0,0,216,0.00,0.00,0.00,0.00,162,0,0,0.0,0.0,2025-12-20T15:00:00Z,0,False,4,0,0,0,0,0,17,0,2831,0,0,1,1,0.0,0,24,118,94,48,False,0
Lucas Tolentino Coelho de Lima,MID,West Ham,0.0,0,0,21,0,3,25.4,10,612,0.15,0.19,0.04,1.59,167,3,0,5.4,21.8,2025-12-20T15:00:00Z,77,False,13,0,0,0,3,0,17,0,171806,1,4,0,3,7.0,2,-5272,4876,10148,59,False,0
Jorrel Hato,DEF,Chelsea,0.0,0,0,0,0,0,0.0,0,672,0.00,0.00,0.00,0.00,168,0,0,0.0,0.0,2025-12-20T12:30:00Z,0,False,15,0,0,0,0,0,17,0,20842,0,0,2,2,0.0,0,-294,202,496,46,False,0
Myles Peart-Harris,MID,Brentford,0.0,0,0,0,0,0,0.0,0,133,0.00,0.00,0.00,0.00,170,0,0,0.0,0.0,2025-12-20T15:00:00Z,0,False,20,0,0,0,0,0,17,0,4783,0,0,2,0,0.0,0,10,148,138,44,False,0
Bashir Humphreys,DEF,Burnley,0.0,0,0,0,0,0,0.0,0,193,0.00,0.00,0.00,0.00,162,0,0,0.0,0.0,2025-12-20T15:00:00Z,0,False,4,0,0,0,0,0,17,0,7529,0,0,1,1,0.0,0,-256,53,309,39,False,0
Romain Faivre,MID,Bournemouth,0.0,0,0,0,0,0,0.0,0,92,0.00,0.00,0.00,0.00,162,0,0,0.0,0.0,2025-12-20T15:00:00Z,0,False,3,0,0,0,0,0,17,0,8098,0,0,1,1,0.0,0,-182,0,182,45,True,0
Enock Agyei,MID,Burnley,0.0,0,0,0,0,0,0.0,0,203,0.00,0.00,0.00,0.00,162,0,0,0.0,0.0,2025-12-20T15:00:00Z,0,False,4,0,0,0,0,0,17,0,5485,0,0,1,1,0.0,0,155,303,148,47,False,0
Callum Bates,MID,Everton,0.0,0,0,0,0,0,0.0,0,306,0.00,0.00,0.00,0.00,164,0,0,0.0,0.0,2025-12-20T20:00:00Z,0,False,1,0,0,0,0,0,17,0,9161,0,0,1,0,0.0,0,316,702,386,43,True,0
Harry Tyrer,GK,Everton,0.0,0,0,0,0,0,0.0,0,289,0.00,0.00,0.00,0.00,164,0,0,0.0,0.0,2025-12-20T20:00:00Z,0,False,1,0,0,0,0,0,17,0,14088,0,0,1,0,0.0,0,-116,173,289,39,True,0
