name,position,team,xP,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Reinildo Mandava,DEF,Sunderland,0.0,0,0,0,0,0,0.0,0,541,0.00,0.00,0.00,0.00,179,0,0,0.0,0.0,2025-12-28T14:00:00Z,0,False,11,0,0,0,0,0,18,0,361982,0,0,1,1,0.0,0,-34863,733,35596,39,True,0
Lewis Dobbin,MID,Aston Villa,0.0,0,0,0,0,0,0.0,0,57,0.00,0.00,0.00,0.00,174,0,0,0.0,0.0,2025-12-27T17:30:00Z,0,False,7,0,0,0,0,0,18,0,3209,0,0,2,1,0.0,0,-25,0,25,50,False,0
Ryan Christie,MID,Bournemouth,0.0,0,0,0,0,0,0.0,0,87,0.00,0.00,0.00,0.00,172,0,0,0.0,0.0,2025-12-27T15:00:00Z,0,False,5,0,0,0,0,0,18,0,7003,0,0,1,4,0.0,0,222,356,134,49,False,0
Leo Shahar,DEF,Newcastle,0.0,0,0,0,0,0,0.0,0,765,0.00,0.00,0.00,0.00,177,0,0,0.0,0.0,2025-12-26T20:00:00Z,0,False,14,0,0,0,0,0,18,0,766,0,0,0,1,0.0,0,439,488,49,40,False,0
Zeki Amdouni,FWD,Burnley,0.0,0,0,0,0,0,0.0,0,216,0.00,0.00,0.00,0.00,173,0,0,0.0,0.0,2025-12-27T15:00:00Z,0,False,9,0,0,0,0,0,18,0,2830,0,0,0,0,0.0,0,-19,94,113,48,True,0
Lucas Tolentino Coelho de Lima,MID,West Ham,0.0,0,0,11,1,2,19.1,11,612,0.10,0.22,0.12,0.89,180,0,0,5.2,17.6,2025-12-27T15:00:00Z,81,False,10,0,0,0,5,0,18,0,190045,1,4,1,0,15.0,3,13541,19879,6338,59,True,0
Jorrel Hato,DEF,Chelsea,0.0,0,0,0,0,0,0.0,0,672,0.00,0.00,0.00,0.00,174,0,0,0.0,0.0,2025-12-27T17:30:00Z,0,False,2,0,0,0,0,0,18,0,20802,0,0,2,1,0.0,0,-178,198,376,46,True,0
Myles Peart-Harris,MID,Brentford,0.0,0,0,0,0,0,0.0,0,133,0.00,0.00,0.00,0.00,172,0,0,0.0,0.0,2025-12-27T15:00:00Z,0,False,4,0,0,0,0,0,18,0,5030,0,0,1,4,0.0,0,121,279,158,44,True,0
Bashir Humphreys,DEF,Burnley,0.0,0,0,25,1,7,2.0,10,193,0.01,0.14,0.13,0.85,173,0,0,3.2,22.2,2025-12-27T15:00:00Z,90,False,9,0,0,0,2,0,18,0,7566,1,3,0,0,8.0,8,-74,131,205,39,True,0
Romain Faivre,MID,Bournemouth,0.0,0,0,0,0,0,0.0,0,92,0.00,0.00,0.00,0.00,172,0,0,0.0,0.0,2025-12-27T15:00:00Z,0,False,5,0,0,0,0,0,18,0,7973,0,0,1,4,0.0,0,-124,0,124,45,False,0
Enock Agyei,MID,Burnley,0.0,0,0,0,0,0,0.0,0,203,0.00,0.00,0.00,0.00,173,0,0,0.0,0.0,2025-12-27T15:00:00Z,0,False,9,0,0,0,0,0,18,0,5783,0,0,0,0,0.0,0,195,359,164,47,True,0
Callum Bates,MID,Everton,0.0,0,0,0,0,0,0.0,0,306,0.00,0.00,0.00,0.00,173,0,0,0.0,0.0,2025-12-27T15:00:00Z,0,False,3,0,0,0,0,0,18,0,10328,0,0,0,0,0.0,0,571,892,321,43,False,0
Harry Tyrer,GK,Everton,0.0,0,0,0,0,0,0.0,0,289,0.00,0.00,0.00,0.00,173,0,0,0.0,0.0,2025-12-27T15:00:00Z,0,False,3,0,0,0,0,0,18,0,14420,0,0,0,0,0.0,0,-7,212,219,39,False,0
Etienne Green,GK,Burnley,0.0,0,0,0,0,0,0.0,0,184,0.00,0.00,0.00,0.00,173,0,0,0.0,0.0,2025-12-27T15:00:00Z,0,False,9,0,0,0,0,0,18,0,23148,0,0,0,0,0.0,0,-621,0,621,40,True,0
Destiny Udogie,DEF,Spurs,0.0,0,0,0,0,0,0.0,0,574,0.00,0.00,0.00,0.00,175,0,0,0.0,0.0,2025-12-28T16:30:00Z,0,False,8,0,0,0,0,0,18,0,40576,0,0,1,0,0.0,0,-1580,29,1609,44,False,0
Simon Moore,GK,Sunderland,0.0,0,0,0,0,0,0.0,0,529,0.00,0.00,0.00,0.00,179,0,0,0.0,0.0,2025-12-28T14:00:00Z,0,False,11,0,0,0,0,0,18,0,49598,0,0,1,1,0.0,0,-245,683,928,39,True,0
Ben Winterburn,MID,Bournemouth,0.0,0,0,0,0,0,0.0,0,96,0.00,0.00,0.00,0.00,172,0,0,0.0,0.0,2025-12-27T15:00:00Z,0,False,5,0,0,0,0,0,18,0,4140,0,0,1,4,0.0,0,-71,0,71,45,False,0
Mikey Moore,MID,Spurs,0.0,0,0,0,0,0,0.0,0,592,0.00,0.00,0.00,0.00,175,0,0,0.0,0.0,2025-12-28T16:30:00Z,0,False,8,0,0,0,0,0,18,0,433,0,0,1,0,0.0,0,-3,0,3,50,False,0
Pape Matar Sarr,MID,Spurs,0.0,0,0,0,0,0,0.0,0,593,0.00,0.00,0.00,0.00,175,0,0,0.0,0.0,2025-12-28T16:30:00Z,0,False,8,0,0,0,0,0,18,0,114383,0,0,1,0,0.0,0,-11289,470,11759,46,False,0
Hákon Rafn Valdimarsson,GK,Brentford,0.0,0,0,0,0,0,0.0,0,105,0.00,0.00,0.00,0.00,172,0,0,0.0,0.0,2025-12-27T15:00:00Z,0,False,4,0,0,0,0,0,18,0,88074,0,0,1,4,0.0,0,-872,996,1868,39,True,0
Toby Collyer,MID,Man Utd,0.0,0,0,0,0,0,0.0,0,460,0.00,0.00,0.00,0.00,177,0,0,0.0,0.0,2025-12-26T20:00:00Z,0,False,15,0,0,0,0,0,18,0,3427,0,0,0,1,0.0,0,-43,0,43,45,True,0
Marcos Senesi Barón,DEF,Bournemouth,0.0,0,0,0,0,10,1.3,10,72,0.04,0.07,0.03,3.66,172,4,0,5.9,30.6,2025-12-27T15:00:00Z,90,False,5,0,0,0,6,0,18,0,2077278,1,0,1,4,27.0,2,-17126,59200,76326,49,False,0
Tyler Morton,MID,Liverpool,0.0,0,0,0,0,0,0.0,0,395,0.00,0.00,0.00,0.00,176,0,0,0.0,0.0,2025-12-27T15:00:00Z,0,False,20,0,0,0,0,0,18,0,278,0,0,1,2,0.0,0,-2,0,2,45,True,0
Alexis Mac Allister,MID,Liverpool,0.0,0,0,16,0,2,45.8,6,386,0.12,0.24,0.12,1.07,176,1,0,8.5,15.0,2025-12-27T15:00:00Z,90,False,20,0,0,0,2,0,18,0,192809,1,2,1,2,24.0,2,30680,36077,5397,62,True,0
André Trindade da Costa Neto,MID,Wolves,0.0,0,0,20,0,1,26.9,13,643,0.15,0.15,0.00,1.54,176,2,0,4.5,18.0,2025-12-27T15:00:00Z,90,False,12,0,0,0,7,0,18,0,9077,1,5,1,2,0.0,3,-407,245,652,53,False,1
Harrison Ashby,DEF,Newcastle,0.0,0,0,0,0,0,0.0,0,482,0.00,0.00,0.00,0.00,177,0,0,0.0,0.0,2025-12-26T20:00:00Z,0,False,14,0,0,0,0,0,18,0,15852,0,0,0,1,0.0,0,-195,134,329,39,False,0
Samuel Amissah,DEF,Fulham,0.0,0,0,0,0,0,0.0,0,323,0.00,0.00,0.00,0.00,180,0,0,0.0,0.0,2025-12-27T15:00:00Z,0,False,19,0,0,0,0,0,18,0,19204,0,0,1,0,0.0,0,-33,409,442,38,False,0
Luís Hemir Silva Semedo,FWD,Sunderland,0.0,0,0,0,0,0,0.0,0,563,0.00,0.00,0.00,0.00,179,0,0,0.0,0.0,2025-12-28T14:00:00Z,0,False,11,0,0,0,0,0,18,0,11227,0,0,1,1,0.0,0,-197,0,197,44,True,0
Adama Traoré Diarra,MID,Fulham,0.0,0,0,0,0,0,0.0,0,326,0.00,0.00,0.00,0.00,180,0,0,0.0,0.0,2025-12-27T15:00:00Z,0,False,19,0,0,0,0,0,18,0,18325,0,0,1,0,0.0,0,28,555,527,51,False,0
Yasin Ayari,MID,Brighton,0.0,1,0,20,0,5,3.1,11,166,0.01,0.35,0.34,3.08,171,2,0,2.6,7.6,2025-12-27T15:00:00Z,90,False,1,0,0,0,5,0,18,0,24474,1,1,1,2,15.0,5,583,1772,1189,48,False,0
Mateo Kovačić,MID,Man City,0.0,0,0,0,0,0,0.0,0,422,0.00,0.00,0.00,0.00,178,0,0,0.0,0.0,2025-12-27T12:30:00Z,0,False,16,0,0,0,0,0,18,0,2492,0,0,2,1,0.0,0,-39,16,55,59,False,0
Thierno Barry,FWD,Everton,0.0,0,0,5,0,2,0.1,3,310,0.00,0.08,0.08,0.31,173,0,0,2.8,9.0,2025-12-27T15:00:00Z,20,False,3,0,0,0,1,0,18,0,57257,0,0,0,0,19.0,1,6358,9859,3501,57,False,0
Ollie Scarles,DEF,West Ham,0.0,0,0,1,0,3,2.2,6,608,0.02,0.06,0.04,1.62,180,1,0,1.0,3.8,2025-12-27T15:00:00Z,90,False,10,0,0,0,5,0,18,0,3552,1,3,1,0,4.0,2,-60,26,86,43,True,0
