name,position,team,xP,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Reinildo Mandava,DEF,Sunderland,3.0,1,2,37,1,6,24.6,6,541,0.16,0.19,0.03,0.06,238,0,0,6.4,29.8,2026-02-02T20:00:00Z,90,False,3,0,0,0,4,0,24,0,372357,1,0,0,3,10.0,11,15667,27992,12325,38,True,0
Lorenzo Lucca,FWD,Nott'm Forest,1.9,0,0,0,0,0,0.0,0,805,0.00,0.00,0.00,0.00,237,0,0,0.0,0.0,2026-02-01T14:00:00Z,0,False,8,0,0,0,0,0,24,0,729,0,0,1,1,0.0,0,669,776,107,55,True,0
Lewis Dobbin,MID,Aston Villa,0.0,0,0,0,0,0,0.0,0,57,0.00,0.00,0.00,0.00,231,0,0,0.0,0.0,2026-02-01T14:00:00Z,0,False,5,0,0,0,0,0,24,0,3161,0,0,1,0,0.0,0,-5,0,5,50,True,0
Ryan Christie,MID,Bournemouth,0.8,0,0,10,0,1,14.3,6,87,0.07,0.07,0.00,0.80,240,0,0,2.5,8.4,2026-01-31T15:00:00Z,22,False,20,0,0,0,3,0,24,0,7118,0,2,2,0,2.0,1,415,537,122,49,False,0
Leo Shahar,DEF,Newcastle,-0.5,0,0,0,0,0,0.0,0,765,0.00,0.00,0.00,0.00,235,0,0,0.0,0.0,2026-01-31T20:00:00Z,0,False,12,0,0,0,0,0,24,0,2405,0,0,1,4,0.0,0,23,244,221,40,False,0
Zeki Amdouni,FWD,Burnley,0.0,0,0,0,0,0,0.0,0,216,0.00,0.00,0.00,0.00,238,0,0,0.0,0.0,2026-02-02T20:00:00Z,0,False,17,0,0,0,0,0,24,0,2784,0,0,0,3,0.0,0,-30,46,76,48,False,0
Lucas Tolentino Coelho de Lima,MID,West Ham,0.0,0,0,0,0,0,0.0,0,612,0.00,0.00,0.00,0.00,233,0,0,0.0,0.0,2026-01-31T17:30:00Z,0,False,7,0,0,0,0,0,24,0,168685,0,0,2,3,0.0,0,-28878,132,29010,59,False,0
Jorrel Hato,DEF,Chelsea,0.8,0,0,4,0,2,11.8,5,672,0.01,0.01,0.00,0.51,233,2,0,2.4,11.8,2026-01-31T17:30:00Z,45,False,19,0,0,0,2,0,24,0,21206,1,3,2,3,0.0,0,78,417,339,46,True,0
Myles Peart-Harris,MID,Brentford,0.0,0,0,0,0,0,0.0,0,133,0.00,0.00,0.00,0.00,231,0,0,0.0,0.0,2026-02-01T14:00:00Z,0,False,2,0,0,0,0,0,24,0,4481,0,0,1,0,0.0,0,-158,0,158,44,False,0
Bashir Humphreys,DEF,Burnley,3.5,0,0,5,0,7,2.3,10,193,0.01,0.01,0.00,1.47,238,3,0,2.9,27.0,2026-02-02T20:00:00Z,90,False,17,0,0,0,3,0,24,0,16379,1,3,0,3,0.0,3,678,2464,1786,39,False,0
Romain Faivre,MID,Bournemouth,0.0,0,0,0,0,0,0.0,0,92,0.00,0.00,0.00,0.00,240,0,0,0.0,0.0,2026-01-31T15:00:00Z,0,False,20,0,0,0,0,0,24,0,8150,0,0,2,0,0.0,0,97,195,98,45,False,0
Enock Agyei,MID,Burnley,0.0,0,0,0,0,0,0.0,0,203,0.00,0.00,0.00,0.00,238,0,0,0.0,0.0,2026-02-02T20:00:00Z,0,False,17,0,0,0,0,0,24,0,5831,0,0,0,3,0.0,0,-38,122,160,47,False,0
Callum Bates,MID,Everton,0.0,0,0,0,0,0,0.0,0,306,0.00,0.00,0.00,0.00,232,0,0,0.0,0.0,2026-01-31T15:00:00Z,0,False,6,0,0,0,0,0,24,0,10120,0,0,1,1,0.0,0,118,443,325,43,False,0
Harry Tyrer,GK,Everton,0.0,0,0,0,0,0,0.0,0,289,0.00,0.00,0.00,0.00,232,0,0,0.0,0.0,2026-01-31T15:00:00Z,0,False,6,0,0,0,0,0,24,0,12927,0,0,1,1,0.0,0,-375,0,375,39,False,0
Etienne Green,GK,Burnley,0.0,0,0,0,0,0,0.0,0,184,0.00,0.00,0.00,0.00,238,0,0,0.0,0.0,2026-02-02T20:00:00Z,0,False,17,0,0,0,0,0,24,0,21673,0,0,0,3,0.0,0,-206,0,206,40,False,0
Destiny Udogie,DEF,Spurs,0.0,0,0,7,0,2,6.3,5,574,0.02,0.08,0.06,2.08,239,2,0,4.3,15.4,2026-02-01T16:30:00Z,90,False,13,0,0,0,5,0,24,0,40011,1,3,2,2,21.0,1,326,722,396,43,True,0
Simon Moore,GK,Sunderland,0.0,0,0,0,0,0,0.0,0,529,0.00,0.00,0.00,0.00,238,0,0,0.0,0.0,2026-02-02T20:00:00Z,0,False,3,0,0,0,0,0,24,0,46865,0,0,0,3,0.0,0,-373,253,626,39,True,0
Ben Winterburn,MID,Bournemouth,0.0,0,0,0,0,0,0.0,0,96,0.00,0.00,0.00,0.00,240,0,0,0.0,0.0,2026-01-31T15:00:00Z,0,False,20,0,0,0,0,0,24,0,3978,0,0,2,0,0.0,0,-15,0,15,45,False,0
Mikey Moore,MID,Spurs,0.0,0,0,0,0,0,0.0,0,592,0.00,0.00,0.00,0.00,239,0,0,0.0,0.0,2026-02-01T16:30:00Z,0,False,13,0,0,0,0,0,24,0,427,0,0,2,2,0.0,0,-2,0,2,50,True,0
Pape Matar Sarr,MID,Spurs,-0.3,0,0,7,0,5,2.5,9,593,0.01,0.01,0.00,1.19,239,0,0,3.0,27.0,2026-02-01T16:30:00Z,45,False,13,0,0,0,0,0,24,0,103457,0,4,2,2,0.0,1,439,2394,1955,45,True,0
Hákon Rafn Valdimarsson,GK,Brentford,0.0,0,0,0,0,0,0.0,0,105,0.00,0.00,0.00,0.00,231,0,0,0.0,0.0,2026-02-01T14:00:00Z,0,False,2,0,0,0,0,0,24,0,80277,0,0,1,0,0.0,0,-1090,170,1260,39,False,0
Toby Collyer,MID,Man Utd,0.0,0,0,0,0,0,0.0,0,460,0.00,0.00,0.00,0.00,236,0,0,0.0,0.0,2026-02-01T14:00:00Z,0,False,10,0,0,0,0,0,24,0,3417,0,0,2,3,0.0,0,16,47,31,45,True,0
Marcos Senesi Barón,DEF,Bournemouth,5.0,0,0,25,1,10,1.3,11,72,0.02,0.08,0.06,1.38,240,0,0,3.1,22.2,2026-01-31T15:00:00Z,90,False,20,0,0,0,3,0,24,0,1859693,1,1,2,0,7.0,8,79712,149513,69801,48,False,0
Tyler Morton,MID,Liverpool,0.0,0,0,0,0,0,0.0,0,395,0.00,0.00,0.00,0.00,235,0,0,0.0,0.0,2026-01-31T20:00:00Z,0,False,15,0,0,0,0,0,24,0,270,0,0,1,4,0.0,0,-2,0,2,45,True,0
Alexis Mac Allister,MID,Liverpool,1.7,0,0,9,0,2,14.1,6,386,0.03,0.07,0.04,0.36,235,1,0,2.7,6.4,2026-01-31T20:00:00Z,90,False,15,0,0,0,2,0,24,0,156851,1,2,1,4,6.0,1,-3127,2619,5746,62,True,1
André Trindade da Costa Neto,MID,Wolves,1.8,0,0,14,0,3,13.8,14,643,0.01,0.03,0.02,0.51,240,1,0,2.7,12.6,2026-01-31T15:00:00Z,79,False,4,0,0,0,7,0,24,0,9212,1,4,2,0,1.0,3,19,459,440,53,True,1
Harrison Ashby,DEF,Newcastle,0.0,0,0,0,0,0,0.0,0,482,0.00,0.00,0.00,0.00,235,0,0,0.0,0.0,2026-01-31T20:00:00Z,0,False,12,0,0,0,0,0,24,0,15123,0,0,1,4,0.0,0,-283,0,283,39,False,0
Samuel Amissah,DEF,Fulham,0.0,0,0,0,0,0,0.0,0,323,0.00,0.00,0.00,0.00,236,0,0,0.0,0.0,2026-02-01T14:00:00Z,0,False,14,0,0,0,0,0,24,0,18254,0,0,2,3,0.0,0,-224,146,370,38,False,0
