name,position,team,xP,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Reinildo Mandava,DEF,Sunderland,0.0,0,0,0,0,0,0.0,0,541,0.00,0.00,0.00,0.00,147,0,0,0.0,0.0,2025-12-06T15:00:00Z,0,False,13,0,0,0,0,0,15,0,510986,0,0,0,3,0.0,0,-4441,7465,11906,40,False,0
Lewis Dobbin,MID,Aston Villa,0.0,0,0,0,0,0,0.0,0,57,0.00,0.00,0.00,0.00,141,0,0,0.0,0.0,2025-12-06T12:30:00Z,0,False,1,0,0,0,0,0,15,0,3283,0,0,1,2,0.0,0,-18,0,18,50,True,0
Ryan Christie,MID,Bournemouth,0.0,0,0,0,0,0,0.0,0,87,0.00,0.00,0.00,0.00,142,0,0,0.0,0.0,2025-12-06T15:00:00Z,0,False,7,0,0,0,0,0,15,0,7616,0,0,0,0,0.0,0,-608,12,620,50,True,0
Zeki Amdouni,FWD,Burnley,0.0,0,0,0,0,0,0.0,0,216,0.00,0.00,0.00,0.00,148,0,0,0.0,0.0,2025-12-06T15:00:00Z,0,False,15,0,0,0,0,0,15,0,2790,0,0,1,2,0.0,0,-31,41,72,48,False,0
Lucas Tolentino Coelho de Lima,MID,West Ham,0.0,0,0,19,1,2,44.7,3,612,0.09,0.11,0.02,1.33,143,0,0,6.7,15.4,2025-12-07T14:00:00Z,81,False,6,0,0,0,1,0,15,0,190011,1,0,1,1,7.0,3,-12018,2603,14621,59,False,0
Jorrel Hato,DEF,Chelsea,0.0,0,0,0,0,0,0.0,0,672,0.00,0.00,0.00,0.00,142,0,0,0.0,0.0,2025-12-06T15:00:00Z,0,False,4,0,0,0,0,0,15,0,21259,0,0,0,0,0.0,0,-318,135,453,47,False,0
Myles Peart-Harris,MID,Brentford,0.0,0,0,0,0,0,0.0,0,133,0.00,0.00,0.00,0.00,149,0,0,0.0,0.0,2025-12-06T15:00:00Z,0,False,18,0,0,0,0,0,15,0,4840,0,0,0,2,0.0,0,-62,66,128,44,False,0
Bashir Humphreys,DEF,Burnley,0.0,0,0,0,0,0,0.0,0,193,0.00,0.00,0.00,0.00,148,0,0,0.0,0.0,2025-12-06T15:00:00Z,0,False,15,0,0,0,0,0,15,0,8414,0,0,1,2,0.0,0,-270,50,320,39,False,0
Romain Faivre,MID,Bournemouth,0.0,0,0,0,0,0,0.0,0,92,0.00,0.00,0.00,0.00,142,0,0,0.0,0.0,2025-12-06T15:00:00Z,0,False,7,0,0,0,0,0,15,0,8636,0,0,0,0,0.0,0,-165,0,165,45,True,0
Enock Agyei,MID,Burnley,0.0,0,0,0,0,0,0.0,0,203,0.00,0.00,0.00,0.00,148,0,0,0.0,0.0,2025-12-06T15:00:00Z,0,False,15,0,0,0,0,0,15,0,5165,0,0,1,2,0.0,0,-53,52,105,48,False,0
Callum Bates,MID,Everton,0.0,0,0,0,0,0,0.0,0,306,0.00,0.00,0.00,0.00,144,0,0,0.0,0.0,2025-12-06T15:00:00Z,0,False,16,0,0,0,0,0,15,0,8803,0,0,0,3,0.0,0,-25,217,242,44,True,0
Harry Tyrer,GK,Everton,0.0,0,0,0,0,0,0.0,0,289,0.00,0.00,0.00,0.00,144,0,0,0.0,0.0,2025-12-06T15:00:00Z,0,False,16,0,0,0,0,0,15,0,14506,0,0,0,3,0.0,0,110,337,227,39,True,0
Etienne Green,GK,Burnley,0.0,0,0,0,0,0,0.0,0,184,0.00,0.00,0.00,0.00,148,0,0,0.0,0.0,2025-12-06T15:00:00Z,0,False,15,0,0,0,0,0,15,0,25784,0,0,1,2,0.0,0,-559,0,559,40,False,0
Destiny Udogie,DEF,Spurs,0.0,0,0,0,0,0,0.0,0,574,0.00,0.00,0.00,0.00,149,0,0,0.0,0.0,2025-12-06T15:00:00Z,0,False,5,0,0,0,0,0,15,0,51550,0,0,0,2,0.0,0,-173,1154,1327,44,True,0
Simon Moore,GK,Sunderland,0.0,0,0,0,0,0,0.0,0,529,0.00,0.00,0.00,0.00,147,0,0,0.0,0.0,2025-12-06T15:00:00Z,0,False,13,0,0,0,0,0,15,0,49608,0,0,0,3,0.0,0,795,1488,693,39,False,0
Ben Winterburn,MID,Bournemouth,0.0,0,0,0,0,0,0.0,0,96,0.00,0.00,0.00,0.00,142,0,0,0.0,0.0,2025-12-06T15:00:00Z,0,False,7,0,0,0,0,0,15,0,4443,0,0,0,0,0.0,0,-64,0,64,45,True,0
Mikey Moore,MID,Spurs,0.0,0,0,0,0,0,0.0,0,592,0.00,0.00,0.00,0.00,149,0,0,0.0,0.0,2025-12-06T15:00:00Z,0,False,5,0,0,0,0,0,15,0,443,0,0,0,2,0.0,0,-1,0,1,50,True,0
Pape Matar Sarr,MID,Spurs,0.0,0,0,2,0,0,0.5,1,593,0.00,0.30,0.30,0.21,149,0,0,2.1,3.2,2025-12-06T15:00:00Z,10,False,5,0,0,0,1,0,15,0,168056,0,0,0,2,17.0,1,-6970,4873,11843,47,True,0
Hákon Rafn Valdimarsson,GK,Brentford,0.0,0,0,0,0,0,0.0,0,105,0.00,0.00,0.00,0.00,149,0,0,0.0,0.0,2025-12-06T15:00:00Z,0,False,18,0,0,0,0,0,15,0,91261,0,0,0,2,0.0,0,-713,914,1627,39,False,0
Toby Collyer,MID,Man Utd,0.0,0,0,0,0,0,0.0,0,460,0.00,0.00,0.00,0.00,150,0,0,0.0,0.0,2025-12-08T20:00:00Z,0,False,20,0,0,0,0,0,15,0,3652,0,0,4,1,0.0,0,-55,0,55,45,False,0
Marcos Senesi Barón,DEF,Bournemouth,0.0,0,0,28,1,10,20.3,11,72,0.00,0.00,0.00,0.69,142,0,0,4.4,24.0,2025-12-06T15:00:00Z,61,False,7,0,0,0,6,0,15,0,2400301,1,1,0,0,0.0,8,-201726,14051,215777,50,True,0
Tyler Morton,MID,Liverpool,0.0,0,0,0,0,0,0.0,0,395,0.00,0.00,0.00,0.00,146,0,0,0.0,0.0,2025-12-06T17:30:00Z,0,False,11,0,0,0,0,0,15,0,283,0,0,3,3,0.0,0,-1,0,1,45,False,0
Alexis Mac Allister,MID,Liverpool,0.0,0,0,6,0,0,0.1,4,386,0.00,0.00,0.00,1.19,146,3,0,0.5,4.8,2025-12-06T17:30:00Z,22,False,11,0,0,0,2,0,15,0,151431,0,2,3,3,0.0,1,-2243,2428,4671,63,False,0
André Trindade da Costa Neto,MID,Wolves,0.0,0,0,9,0,2,31.1,11,643,0.08,0.12,0.04,4.10,150,4,0,4.4,7.2,2025-12-08T20:00:00Z,90,False,14,0,0,0,8,0,15,0,8903,1,1,4,1,6.0,2,-444,240,684,53,True,0
Harrison Ashby,DEF,Newcastle,0.0,0,0,0,0,0,0.0,0,482,0.00,0.00,0.00,0.00,148,0,0,0.0,0.0,2025-12-06T15:00:00Z,0,False,3,0,0,0,0,0,15,0,15915,0,0,1,2,0.0,0,-147,89,236,39,True,0
Samuel Amissah,DEF,Fulham,0.0,0,0,0,0,0,0.0,0,323,0.00,0.00,0.00,0.00,145,0,0,0.0,0.0,2025-12-07T16:30:00Z,0,False,8,0,0,0,0,0,15,0,19491,0,0,2,1,0.0,0,553,893,340,38,True,0
Luís Hemir Silva Semedo,FWD,Sunderland,0.0,0,0,0,0,0,0.0,0,563,0.00,0.00,0.00,0.00,147,0,0,0.0,0.0,2025-12-06T15:00:00Z,0,False,13,0,0,0,0,0,15,0,11983,0,0,0,3,0.0,0,-176,0,176,44,False,0
Adama Traoré Diarra,MID,Fulham,0.0,0,0,3,0,0,1.8,0,326,0.00,0.00,0.00,0.00,145,0,0,0.2,0.2,2025-12-07T16:30:00Z,1,False,8,0,0,0,0,0,15,0,18267,0,0,2,1,0.0,1,-316,267,583,51,True,0
Yasin Ayari,MID,Brighton,0.0,0,0,0,0,0,0.0,0,166,0.00,0.00,0.00,0.00,143,0,0,0.0,0.0,2025-12-07T14:00:00Z,0,False,19,0,0,0,0,0,15,0,28716,0,0,1,1,0.0,0,-3542,219,3761,49,True,0
Mateo Kovačić,MID,Man City,0.0,0,0,0,0,0,0.0,0,422,0.00,0.00,0.00,0.00,147,0,0,0.0,0.0,2025-12-06T15:00:00Z,0,False,17,0,0,0,0,0,15,0,2619,0,0,0,3,0.0,0,-52,13,65,59,True,0
Thierno Barry,FWD,Everton,0.0,0,0,23,1,0,1.8,2,310,0.01,0.37,0.36,0.21,144,0,1,4.8,27.0,2025-12-06T15:00:00Z,61,False,16,0,0,0,2,0,15,0,44483,1,0,0,3,19.0,5,2090,3749,1659,57,True,1
Ollie Scarles,DEF,West Ham,0.0,0,0,0,0,0,0.0,0,608,0.00,0.00,0.00,0.00,143,0,0,0.0,0.0,2025-12-07T14:00:00Z,0,False,6,0,0,0,0,0,15,0,3488,0,0,1,1,0.0,0,-33,11,44,43,False,0
Rico Lewis,DEF,Man City,0.0,0,0,3,0,0,1.4,0,410,0.00,0.00,0.00,0.02,147,0,0,0.2,0.8,2025-12-06T15:00:00Z,8,False,17,0,0,0,1,0,15,0,179918,0,0,0,3,0.0,1,-5414,792,6206,47,True,0
Brenden Aaronson,MID,Leeds,0.0,1,0,14,0,0,11.2,0,350,0.02,0.04,0.02,0.67,146,1,0,5.1,20.6,2025-12-06T17:30:00Z,25,False,12,0,0,0,0,0,15,0,16799,0,0,3,3,19.0,4,-1981,547,2528,54,True,0
