assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,threat,total_points,yellow_cards
0,1,0,0,0.0,50175,60,0,1,0.0,0.0,118,0,0,0,0,0,2008/09,60,0.0,9,0
0,0,0,0,0.0,50175,59,3,0,0.0,0.0,141,0,0,0,0,0,2009/10,60,0.0,6,0
1,11,0,9,0.0,50175,44,27,6,0.0,0.0,1756,0,0,0,0,0,2010/11,55,0.0,79,2
5,12,0,11,0.0,50175,63,24,9,0.0,0.0,2012,0,0,0,0,0,2011/12,70,0.0,112,3
4,2,0,4,0.0,50175,78,12,1,0.0,0.0,1301,0,0,0,0,0,2012/13,85,0.0,57,1
4,16,124,4,0.0,50175,66,22,9,0.0,0.0,1462,0,0,0,0,0,2013/14,75,0.0,100,2
7,10,328,6,0.0,50175,69,19,4,0.0,0.0,1709,0,0,0,0,0,2014/15,70,0.0,89,3
3,7,175,3,0.0,50175,69,10,4,0.0,0.0,575,0,0,0,0,0,2015/16,75,0.0,48,1
2,0,117,3,89.9,50175,73,11,2,55.5,144.8,748,0,0,0,0,0,2016/17,75,321.0,37,0
2,6,249,4,212.8,50175,73,21,5,96.0,309.8,1178,0,0,0,0,0,2017/18,75,435.0,70,1
1,3,63,0,56.8,50175,64,3,1,19.5,73.6,146,0,0,0,0,0,2018/19,65,66.0,19,0
