season,team_name,n__Attacking / ball-playing defender,n__Balanced defender,n__Creative midfielder,n__Defensive / rotation defender,n__Elite goalscorer,n__Elite playmaker,n__Goalkeeper,n__Premium attacker,n__Rotation midfielder,n_classified,p__Attacking / ball-playing defender,p__Balanced defender,p__Creative midfielder,p__Defensive / rotation defender,p__Elite goalscorer,p__Elite playmaker,p__Goalkeeper,p__Premium attacker,p__Rotation midfielder
2023-24,Arsenal,0,1,1,0,2,1,1,2,2,10,0.0,0.1,0.1,0.0,0.2,0.1,0.1,0.2,0.2
2023-24,Aston Villa,3,2,2,2,1,1,1,0,1,13,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693
2023-24,Bournemouth,3,3,0,2,1,0,1,3,3,16,0.1875,0.1875,0.0,0.125,0.0625,0.0,0.0625,0.1875,0.1875
2023-24,Brentford,5,2,1,2,1,0,1,3,1,16,0.3125,0.125,0.0625,0.125,0.0625,0.0,0.0625,0.1875,0.0625
2023-24,Brighton,1,2,2,4,0,1,2,3,3,18,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.16666666666666666
2023-24,Burnley,2,5,0,3,0,0,2,3,2,17,0.11764705882352941,0.29411764705882354,0.0,0.17647058823529413,0.0,0.0,0.11764705882352941,0.17647058823529413,0.11764705882352941
2023-24,Chelsea,5,2,2,3,2,0,2,1,0,17,0.29411764705882354,0.11764705882352941,0.11764705882352941,0.17647058823529413,0.11764705882352941,0.0,0.11764705882352941,0.058823529411764705,0.0
2023-24,Crystal Palace,3,1,2,5,1,0,2,1,4,19,0.15789473684210525,0.05263157894736842,0.10526315789473684,0.2631578947368421,0.05263157894736842,0.0,0.10526315789473684,0.05263157894736842,0.21052631578947367
2023-24,Everton,3,1,0,1,0,1,1,4,1,12,0.25,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.08333333333333333
2023-24,Fulham,2,4,1,2,0,1,1,4,2,17,0.11764705882352941,0.23529411764705882,0.058823529411764705,0.11764705882352941,0.0,0.058823529411764705,0.058823529411764705,0.23529411764705882,0.11764705882352941
2023-24,Liverpool,0,4,2,2,2,1,2,4,2,19,0.0,0.21052631578947367,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.21052631578947367,0.10526315789473684
2023-24,Luton,2,0,0,5,1,1,1,2,3,15,0.13333333333333333,0.0,0.0,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.2
2023-24,Man City,0,1,2,1,3,2,1,0,2,12,0.0,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.25,0.16666666666666666,0.08333333333333333,0.0,0.16666666666666666
2023-24,Man Utd,1,1,0,5,0,1,1,3,2,14,0.07142857142857142,0.07142857142857142,0.0,0.35714285714285715,0.0,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.14285714285714285
2023-24,Newcastle,3,0,1,4,1,3,2,2,3,19,0.15789473684210525,0.0,0.05263157894736842,0.21052631578947367,0.05263157894736842,0.15789473684210525,0.10526315789473684,0.10526315789473684,0.15789473684210525
2023-24,Nott'm Forest,1,2,1,4,0,1,2,3,2,16,0.0625,0.125,0.0625,0.25,0.0,0.0625,0.125,0.1875,0.125
2023-24,Sheffield Utd,5,2,0,4,0,0,1,3,0,15,0.3333333333333333,0.13333333333333333,0.0,0.26666666666666666,0.0,0.0,0.06666666666666667,0.2,0.0
2023-24,Spurs,2,3,2,2,1,2,1,1,2,16,0.125,0.1875,0.125,0.125,0.0625,0.125,0.0625,0.0625,0.125
2023-24,West Ham,5,2,1,1,1,1,1,1,0,13,0.38461538461538464,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0
2023-24,Wolves,5,3,2,2,1,0,1,1,0,15,0.3333333333333333,0.2,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0
2024-25,Arsenal,1,2,4,1,2,0,1,1,2,14,0.07142857142857142,0.14285714285714285,0.2857142857142857,0.07142857142857142,0.14285714285714285,0.0,0.07142857142857142,0.07142857142857142,0.14285714285714285
2024-25,Aston Villa,3,1,2,5,2,0,1,2,0,16,0.1875,0.0625,0.125,0.3125,0.125,0.0,0.0625,0.125,0.0
2024-25,Bournemouth,3,2,1,3,4,0,1,1,0,15,0.2,0.13333333333333333,0.06666666666666667,0.2,0.26666666666666666,0.0,0.06666666666666667,0.06666666666666667,0.0
2024-25,Brentford,3,1,1,4,3,0,1,0,1,14,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.21428571428571427,0.0,0.07142857142857142,0.0,0.07142857142857142
2024-25,Brighton,3,2,1,3,3,0,1,3,1,17,0.17647058823529413,0.11764705882352941,0.058823529411764705,0.17647058823529413,0.17647058823529413,0.0,0.058823529411764705,0.17647058823529413,0.058823529411764705
2024-25,Chelsea,2,1,3,3,3,0,1,1,1,15,0.13333333333333333,0.06666666666666667,0.2,0.2,0.2,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667
2024-25,Crystal Palace,3,3,1,1,3,0,1,1,1,14,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142
2024-25,Everton,4,2,1,4,0,0,1,2,1,15,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.26666666666666666,0.0,0.0,0.06666666666666667,0.13333333333333333,0.06666666666666667
2024-25,Fulham,2,1,3,6,1,0,1,2,0,16,0.125,0.0625,0.1875,0.375,0.0625,0.0,0.0625,0.125,0.0
2024-25,Ipswich,1,4,0,7,1,0,1,2,2,18,0.05555555555555555,0.2222222222222222,0.0,0.3888888888888889,0.05555555555555555,0.0,0.05555555555555555,0.1111111111111111,0.1111111111111111
2024-25,Leicester,5,0,0,11,1,0,1,0,0,18,0.2777777777777778,0.0,0.0,0.6111111111111112,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0
2024-25,Liverpool,1,3,3,1,3,0,1,2,0,14,0.07142857142857142,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.21428571428571427,0.0,0.07142857142857142,0.14285714285714285,0.0
2024-25,Man City,1,2,6,3,2,0,1,1,0,16,0.0625,0.125,0.375,0.1875,0.125,0.0,0.0625,0.0625,0.0
2024-25,Man Utd,2,0,2,7,1,0,1,3,0,16,0.125,0.0,0.125,0.4375,0.0625,0.0,0.0625,0.1875,0.0
2024-25,Newcastle,4,1,3,1,3,0,1,0,2,15,0.26666666666666666,0.06666666666666667,0.2,0.06666666666666667,0.2,0.0,0.06666666666666667,0.0,0.13333333333333333
2024-25,Nott'm Forest,5,0,2,2,1,0,1,0,1,12,0.4166666666666667,0.0,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333
2024-25,Southampton,3,1,0,8,0,0,1,2,2,17,0.17647058823529413,0.058823529411764705,0.0,0.47058823529411764,0.0,0.0,0.058823529411764705,0.11764705882352941,0.11764705882352941
2024-25,Spurs,2,1,2,7,3,0,1,1,2,19,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.3684210526315789,0.15789473684210525,0.0,0.05263157894736842,0.05263157894736842,0.10526315789473684
2024-25,West Ham,3,4,0,6,2,0,1,0,0,16,0.1875,0.25,0.0,0.375,0.125,0.0,0.0625,0.0,0.0
2024-25,Wolves,1,2,1,5,2,0,1,2,1,15,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.0,0.06666666666666667,0.13333333333333333,0.06666666666666667
2025-26,Arsenal,3,0,0,1,2,0,1,5,3,15,0.2,0.0,0.0,0.06666666666666667,0.13333333333333333,0.0,0.06666666666666667,0.3333333333333333,0.2
2025-26,Aston Villa,2,1,0,4,2,0,1,3,2,15,0.13333333333333333,0.06666666666666667,0.0,0.26666666666666666,0.13333333333333333,0.0,0.06666666666666667,0.2,0.13333333333333333
2025-26,Bournemouth,4,1,0,2,1,0,1,5,3,17,0.23529411764705882,0.058823529411764705,0.0,0.11764705882352941,0.058823529411764705,0.0,0.058823529411764705,0.29411764705882354,0.17647058823529413
2025-26,Brentford,4,0,0,1,2,0,1,4,2,14,0.2857142857142857,0.0,0.0,0.07142857142857142,0.14285714285714285,0.0,0.07142857142857142,0.2857142857142857,0.14285714285714285
2025-26,Brighton,3,0,0,2,1,0,1,6,2,15,0.2,0.0,0.0,0.13333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.4,0.13333333333333333
2025-26,Burnley,2,3,0,2,0,0,1,2,5,15,0.13333333333333333,0.2,0.0,0.13333333333333333,0.0,0.0,0.06666666666666667,0.13333333333333333,0.3333333333333333
2025-26,Chelsea,0,5,0,1,3,0,1,3,2,15,0.0,0.3333333333333333,0.0,0.06666666666666667,0.2,0.0,0.06666666666666667,0.2,0.13333333333333333
2025-26,Crystal Palace,3,1,0,1,0,0,1,3,5,14,0.21428571428571427,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.21428571428571427,0.35714285714285715
