season,team_name,n_classified,team_cluster,team_cluster_hdbscan,viz_x,viz_y,n__Attacking / ball-playing defender,n__Balanced defender,n__Creative midfielder,n__Defensive / rotation defender,n__Elite goalscorer,n__Elite playmaker,n__Goalkeeper,n__Premium attacker,n__Rotation midfielder,p__Attacking / ball-playing defender,p__Balanced defender,p__Creative midfielder,p__Defensive / rotation defender,p__Elite goalscorer,p__Elite playmaker,p__Goalkeeper,p__Premium attacker,p__Rotation midfielder
2023-24,Arsenal,10,2,0,-2.3713508,11.7925625,0,1,1,0,2,1,1,2,2,0.0,0.1,0.1,0.0,0.2,0.1,0.1,0.2,0.2
2023-24,Aston Villa,13,6,0,-1.9359694,11.997746,3,2,2,2,1,1,1,0,1,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693
2023-24,Bournemouth,16,5,0,-0.22471057,12.719143,3,3,0,2,1,0,1,3,3,0.1875,0.1875,0.0,0.125,0.0625,0.0,0.0625,0.1875,0.1875
2023-24,Brentford,16,6,0,-0.88037795,12.197721,5,2,1,2,1,0,1,3,1,0.3125,0.125,0.0625,0.125,0.0625,0.0,0.0625,0.1875,0.0625
2023-24,Brighton,18,4,1,-3.5912662,11.228851,1,2,2,4,0,1,2,3,3,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.16666666666666666
2023-24,Burnley,17,4,1,-3.8569655,10.909672,2,5,0,3,0,0,2,3,2,0.11764705882352941,0.29411764705882354,0.0,0.17647058823529413,0.0,0.0,0.11764705882352941,0.17647058823529413,0.11764705882352941
2023-24,Chelsea,17,4,1,-3.9300504,11.892722,5,2,2,3,2,0,2,1,0,0.29411764705882354,0.11764705882352941,0.11764705882352941,0.17647058823529413,0.11764705882352941,0.0,0.11764705882352941,0.058823529411764705,0.0
2023-24,Crystal Palace,19,4,1,-4.158777,11.631416,3,1,2,5,1,0,2,1,4,0.15789473684210525,0.05263157894736842,0.10526315789473684,0.2631578947368421,0.05263157894736842,0.0,0.10526315789473684,0.05263157894736842,0.21052631578947367
2023-24,Everton,12,0,0,0.8524859,12.624912,3,1,0,1,0,1,1,4,1,0.25,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.08333333333333333
2023-24,Fulham,17,5,0,-0.6084289,12.598864,2,4,1,2,0,1,1,4,2,0.11764705882352941,0.23529411764705882,0.058823529411764705,0.11764705882352941,0.0,0.058823529411764705,0.058823529411764705,0.23529411764705882,0.11764705882352941
2023-24,Liverpool,19,4,1,-3.9163942,10.972651,0,4,2,2,2,1,2,4,2,0.0,0.21052631578947367,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.21052631578947367,0.10526315789473684
2023-24,Luton,15,2,0,-2.2483594,10.412023,2,0,0,5,1,1,1,2,3,0.13333333333333333,0.0,0.0,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.2
2023-24,Man City,12,2,0,-2.51193,11.669285,0,1,2,1,3,2,1,0,2,0.0,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.25,0.16666666666666666,0.08333333333333333,0.0,0.16666666666666666
2023-24,Man Utd,14,2,0,-2.078413,10.716692,1,1,0,5,0,1,1,3,2,0.07142857142857142,0.07142857142857142,0.0,0.35714285714285715,0.0,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.14285714285714285
2023-24,Newcastle,19,2,-1,-3.3335466,11.187955,3,0,1,4,1,3,2,2,3,0.15789473684210525,0.0,0.05263157894736842,0.21052631578947367,0.05263157894736842,0.15789473684210525,0.10526315789473684,0.10526315789473684,0.15789473684210525
2023-24,Nott'm Forest,16,4,1,-3.8096955,11.141814,1,2,1,4,0,1,2,3,2,0.0625,0.125,0.0625,0.25,0.0,0.0625,0.125,0.1875,0.125
