,element_in,element_in_cost,element_out,element_out_cost,entry,event,id,time,time_formatted
0,393,65,172,75,4582,2,435576,2018-08-11T17:59:04Z,11 Aug 18:59
1,18,70,295,105,4582,3,10155059,2018-08-19T18:05:18Z,19 Aug 19:05
2,267,62,95,40,4582,3,11973286,2018-08-20T21:43:59Z,20 Aug 22:43
3,164,66,393,66,4582,4,21040091,2018-08-26T17:11:37Z,26 Aug 18:11
4,115,66,28,45,4582,4,21100675,2018-08-26T17:31:51Z,26 Aug 18:31
5,391,63,432,62,4582,5,37462658,2018-09-15T05:26:09Z,15 Sep 06:26
6,233,66,18,70,4582,6,44014001,2018-09-21T18:03:03Z,21 Sep 19:03
7,393,66,164,66,4582,7,51252063,2018-09-28T22:16:37Z,28 Sep 23:16
8,357,61,267,62,4582,7,51252064,2018-09-28T22:16:37Z,28 Sep 23:16
9,454,45,490,45,4582,9,58879969,2018-10-07T00:16:33Z,07 Oct 01:16
10,425,46,286,50,4582,9,58879970,2018-10-07T00:16:33Z,07 Oct 01:16
11,410,44,391,63,4582,9,58879971,2018-10-07T00:16:33Z,07 Oct 01:16
12,45,63,23,107,4582,9,58879972,2018-10-07T00:16:33Z,07 Oct 01:16
13,122,112,56,44,4582,9,58879973,2018-10-07T00:16:33Z,07 Oct 01:16
14,480,69,417,70,4582,9,61765034,2018-10-15T03:53:06Z,15 Oct 04:53
15,267,62,357,62,4582,9,63126746,2018-10-19T05:11:16Z,19 Oct 06:11
16,245,52,247,61,4582,9,63126747,2018-10-19T05:11:16Z,19 Oct 06:11
17,189,44,45,63,4582,9,63126748,2018-10-19T05:11:16Z,19 Oct 06:11
18,14,74,410,44,4582,9,63126749,2018-10-19T05:11:16Z,19 Oct 06:11
19,301,74,14,74,4582,11,76243769,2018-11-03T03:10:25Z,03 Nov 03:10
20,417,70,480,68,4582,11,76243770,2018-11-03T03:10:25Z,03 Nov 03:10
21,465,69,233,67,4582,12,80199997,2018-11-09T04:30:26Z,09 Nov 04:30
22,221,50,267,63,4582,13,85360949,2018-11-21T17:57:07Z,21 Nov 17:57
23,23,109,280,112,4582,15,93591498,2018-12-02T18:41:04Z,02 Dec 18:41
24,271,87,301,75,4582,15,93600694,2018-12-02T18:45:08Z,02 Dec 18:45
25,43,69,417,71,4582,16,98473077,2018-12-05T22:04:13Z,05 Dec 22:04
26,364,92,251,96,4582,16,101304315,2018-12-07T17:34:23Z,07 Dec 17:34
27,489,53,271,87,4582,17,106069746,2018-12-12T10:02:20Z,12 Dec 10:02
28,270,116,364,92,4582,18,110993987,2018-12-18T11:20:25Z,18 Dec 11:20
29,300,67,489,53,4582,19,114735200,2018-12-23T02:30:46Z,23 Dec 02:30
30,367,87,270,114,4582,20,122602892,2018-12-28T15:48:11Z,28 Dec 15:48
31,302,82,300,68,4582,21,127684814,2018-12-31T05:46:24Z,31 Dec 05:46
32,437,64,43,67,4582,22,134341479,2019-01-09T19:13:59Z,09 Jan 19:13
33,569,55,367,87,4582,23,141361207,2019-01-16T04:33:25Z,16 Jan 04:33
34,253,134,122,111,4582,23,141361208,2019-01-16T04:33:25Z,16 Jan 04:33
35,25,39,454,45,4582,24,149996161,2019-01-29T04:52:08Z,29 Jan 04:52
36,305,77,189,44,4582,24,149996162,2019-01-29T04:52:08Z,29 Jan 04:52
37,280,113,23,111,4582,25,152272268,2019-01-31T04:35:09Z,31 Jan 04:35
38,23,112,280,113,4582,26,161213891,2019-02-09T05:24:36Z,09 Feb 05:24
39,92,44,115,65,4582,27,167147209,2019-02-22T06:07:43Z,22 Feb 06:07
40,367,90,393,66,4582,27,167147210,2019-02-22T06:07:43Z,22 Feb 06:07
41,85,56,305,77,4582,28,171051319,2019-02-25T19:35:24Z,25 Feb 19:35
42,251,97,367,89,4582,29,175079129,2019-03-01T07:32:35Z,01 Mar 07:32
43,122,108,302,86,4582,30,178061709,2019-03-04T06:18:28Z,04 Mar 06:18
44,234,89,23,109,4582,30,178061710,2019-03-04T06:18:28Z,04 Mar 06:18
45,40,62,569,52,4582,31,185400051,2019-03-13T22:40:23Z,13 Mar 22:40
46,270,115,122,108,4582,32,193212664,2019-03-18T04:14:06Z,18 Mar 04:14
47,280,118,85,56,4582,32,193212665,2019-03-18T04:14:06Z,18 Mar 04:14
48,150,63,253,133,4582,32,193212666,2019-03-18T04:14:06Z,18 Mar 04:14
49,260,56,400,46,4582,32,193214516,2019-03-18T04:22:20Z,18 Mar 04:22
50,286,51,245,54,4582,32,193214517,2019-03-18T04:22:20Z,18 Mar 04:22
51,556,40,221,52,4582,32,193214518,2019-03-18T04:22:20Z,18 Mar 04:22
52,302,89,40,62,4582,32,193214519,2019-03-18T04:22:20Z,18 Mar 04:22
53,305,76,234,90,4582,32,193214520,2019-03-18T04:22:20Z,18 Mar 04:22
54,432,61,465,70,4582,32,193214521,2019-03-18T04:22:20Z,18 Mar 04:22
55,383,42,286,51,4582,32,194047854,2019-03-19T18:37:22Z,19 Mar 18:37
56,122,109,251,98,4582,32,194047855,2019-03-19T18:37:22Z,19 Mar 18:37
57,116,59,383,42,4582,32,194065653,2019-03-19T18:58:51Z,19 Mar 18:58
58,131,42,432,61,4582,32,194065654,2019-03-19T18:58:51Z,19 Mar 18:58
59,286,51,425,50,4582,32,199774512,2019-03-30T04:42:27Z,30 Mar 04:42
60,592,65,437,66,4582,32,199774514,2019-03-30T04:42:27Z,30 Mar 04:42
61,591,61,465,70,4582,33,203128574,2019-04-04T07:42:13Z,04 Apr 08:42
62,452,43,25,40,4582,34,206726881,2019-04-06T05:47:11Z,06 Apr 06:47
63,48,44,92,44,4582,34,206726882,2019-04-06T05:47:11Z,06 Apr 06:47
64,292,50,221,52,4582,34,206726883,2019-04-06T05:47:11Z,06 Apr 06:47
65,276,76,251,99,4582,34,206726884,2019-04-06T05:47:11Z,06 Apr 06:47
66,270,115,591,61,4582,34,206726885,2019-04-06T05:47:11Z,06 Apr 06:47
67,394,57,253,132,4582,34,206726886,2019-04-06T05:47:11Z,06 Apr 06:47
68,364,92,122,109,4582,34,206726887,2019-04-06T05:47:11Z,06 Apr 06:47
69,432,61,40,62,4582,34,206726888,2019-04-06T05:47:11Z,06 Apr 06:47
70,372,125,234,90,4582,34,206726889,2019-04-06T05:47:11Z,06 Apr 06:47
71,445,46,400,46,4582,34,206726890,2019-04-06T05:47:11Z,06 Apr 06:47
72,22,94,85,56,4582,34,206726891,2019-04-06T05:47:11Z,06 Apr 06:47
73,556,41,245,53,4582,34,206726892,2019-04-06T05:47:11Z,06 Apr 06:47
74,8,50,145,42,4582,34,206726893,2019-04-06T05:47:11Z,06 Apr 06:47
75,302,87,432,61,4582,34,207886483,2019-04-08T17:46:18Z,08 Apr 18:46
76,62,63,22,94,4582,34,207886484,2019-04-08T17:46:18Z,08 Apr 18:46
77,47,44,445,46,4582,34,207886485,2019-04-08T17:46:18Z,08 Apr 18:46
78,268,60,8,50,4582,34,207886486,2019-04-08T17:46:18Z,08 Apr 18:46
79,335,40,556,41,4582,34,207886487,2019-04-08T17:46:18Z,08 Apr 18:46
80,113,64,292,50,4582,34,208744430,2019-04-09T21:20:51Z,09 Apr 22:20
81,367,85,270,115,4582,34,208744432,2019-04-09T21:20:51Z,09 Apr 22:20
82,280,118,372,125,4582,34,208744433,2019-04-09T21:20:51Z,09 Apr 22:20
83,13,79,394,57,4582,34,208744434,2019-04-09T21:20:51Z,09 Apr 22:20
84,357,60,113,64,4582,34,208745092,2019-04-09T21:21:29Z,09 Apr 22:21
85,378,48,268,60,4582,34,208754907,2019-04-09T21:31:34Z,09 Apr 22:31
86,270,115,276,76,4582,34,208754908,2019-04-09T21:31:34Z,09 Apr 22:31
87,394,57,13,79,4582,34,208754909,2019-04-09T21:31:34Z,09 Apr 22:31
88,14,71,302,87,4582,34,210392485,2019-04-12T05:17:50Z,12 Apr 06:17
89,260,56,452,43,4582,34,210392486,2019-04-12T05:17:50Z,12 Apr 06:17
90,556,41,335,40,4582,34,210392488,2019-04-12T05:17:50Z,12 Apr 06:17
91,452,43,260,56,4582,34,211874364,2019-04-12T16:29:47Z,12 Apr 17:29
92,267,61,378,48,4582,34,211874365,2019-04-12T16:29:47Z,12 Apr 17:29
93,445,46,452,43,4582,34,211886348,2019-04-12T16:32:10Z,12 Apr 17:32
94,268,60,267,61,4582,34,211886349,2019-04-12T16:32:10Z,12 Apr 17:32
95,343,53,14,71,4582,35,215025593,2019-04-18T21:04:13Z,18 Apr 22:04
96,305,74,62,63,4582,35,217320292,2019-04-20T07:38:16Z,20 Apr 08:38
97,245,56,357,60,4582,36,219381031,2019-04-25T07:14:46Z,25 Apr 08:14
98,251,100,364,92,4582,36,219381034,2019-04-25T07:14:46Z,25 Apr 08:14
99,122,109,367,86,4582,37,223497866,2019-05-03T04:56:50Z,03 May 05:56
100,347,47,305,73,4582,37,223497867,2019-05-03T04:56:50Z,03 May 05:56
101,40,63,394,57,4582,38,225502827,2019-05-06T21:38:52Z,06 May 22:38
102,233,66,122,109,4582,38,229083116,2019-05-12T11:00:52Z,12 May 12:00
103,23,108,437,66,4582,38,229083117,2019-05-12T11:00:52Z,12 May 12:00
