,bank,entry,event,event_transfers,event_transfers_cost,id,movement,overall_rank,points,points_on_bench,rank,rank_sort,targets,total_points,value
0,0,4582,1,0,0,4582,new,704388,69,14,704389,704484,,69,1000
1,10,4582,2,1,0,4560894,up,639152,73,4,1205550,1205567,,142,1005
2,23,4582,3,2,4,9670108,down,1793543,31,9,5090978,5090992,,169,1010
3,2,4582,4,2,4,15043978,up,1166099,61,14,445189,445207,,226,1015
4,1,4582,5,1,0,20548918,up,1054575,54,4,1588828,1588868,,280,1017
5,5,4582,6,1,0,26184928,up,715805,66,12,480512,480566,,346,1016
6,6,4582,7,2,4,31820938,down,826158,54,9,2284297,2284339,,396,1016
7,6,4582,8,0,0,37522483,up,703561,61,11,1309975,1310011,,457,1019
8,4,4582,9,0,0,43289563,down,803528,38,2,3812011,3812057,,495,1020
9,4,4582,10,0,0,49056643,down,1052408,51,8,3655590,3655614,,546,1020
10,2,4582,11,2,0,54889258,up,578457,83,4,145090,145100,,629,1019
11,0,4582,12,1,0,60721873,up,446517,63,5,469336,469418,,692,1019
12,13,4582,13,1,0,66620023,down,454177,50,8,2848945,2848998,,742,1022
13,13,4582,14,0,0,72518173,up,395935,59,15,1157749,1157823,,801,1023
14,4,4582,15,2,0,78481858,down,498755,41,10,3771359,3771383,,842,1023
15,10,4582,16,2,4,84445543,down,559793,57,8,2496887,2496928,,895,1030
16,44,4582,17,1,0,90409228,up,410732,61,15,442624,442668,,956,1031
17,20,4582,18,1,0,96372913,down,566656,42,3,4701035,4701068,,998,1034
18,6,4582,19,1,0,102402133,up,413244,84,16,309197,309212,,1082,1030
19,33,4582,20,1,0,108431353,down,619125,31,11,5648522,5648534,,1113,1030
20,19,4582,21,1,0,114526108,up,589310,59,24,2064064,2064113,,1172,1030
21,22,4582,22,1,0,120620863,down,687274,46,8,3615118,3615149,,1218,1033
22,31,4582,23,2,4,126781153,down,807549,54,2,3090604,3090627,,1268,1032
23,4,4582,24,2,4,132941443,up,594744,68,10,142280,142280,,1332,1032
24,2,4582,25,1,0,139101733,up,414696,92,5,557865,557881,,1424,1032
25,3,4582,26,1,0,145327558,down,540909,48,3,4341161,4341175,,1472,1030
26,0,4582,27,2,4,151553383,down,659239,29,1,4447866,4447900,,1497,1033
27,21,4582,28,1,0,157779208,down,714009,50,2,3739721,3739766,,1547,1033
28,13,4582,29,1,0,164005033,down,739976,40,12,3272613,3272659,,1587,1034
29,11,4582,30,2,4,170296393,up,534551,79,14,210708,210721,,1662,1030
30,1,4582,31,1,0,176587753,up,367292,59,2,105153,105154,,1721,1035
31,1,4582,32,0,0,182879113,up,317239,91,15,821933,822008,,1812,1033
32,10,4582,33,1,0,189170473,up,177859,88,0,15447,15463,,1900,1033
33,0,4582,34,0,0,195461833,down,222515,41,5,4937377,4937472,,1941,1019
34,7,4582,35,2,4,201753387,up,115565,126,0,10844,10847,,2063,1024
35,3,4582,36,2,4,208110282,down,143467,75,11,2456277,2456295,,2134,1027
36,6,4582,37,2,4,214467177,up,124163,62,8,1021340,1021360,,2192,1027
37,1,4582,38,3,8,220824072,up,87381,93,4,38541,38543,,2277,1030
