h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.235825,1.8591,0.235825,1.8591,"{'att': 200, 'def': 15}","{'att': 152, 'def': 25}",2,24,0,2,0.2541,l,2022-08-06 14:00:00,0,0,1,0,-1.623275
h,1.9717,2.08634,1.9717,1.32517,"{'att': 173, 'def': 16}","{'att': 123, 'def': 15}",4,7,1,0,1.2978,w,2022-08-14 13:00:00,1,0,0,3,0.64653
a,0.918315,1.43408,0.918315,1.43408,"{'att': 221, 'def': 14}","{'att': 242, 'def': 13}",1,8,1,1,0.9539,d,2022-08-20 14:00:00,0,1,0,1,-0.515765
h,0.801369,2.44473,0.801369,1.68356,"{'att': 282, 'def': 29}","{'att': 272, 'def': 18}",11,6,0,2,0.3642,l,2022-08-28 15:30:00,0,0,1,0,-0.882191
a,0.729752,3.83759,0.729752,3.83759,"{'att': 464, 'def': 10}","{'att': 147, 'def': 23}",1,13,0,6,0.0807,l,2022-08-31 18:30:00,0,0,1,0,-3.107838
h,1.32895,0.905041,0.567779,0.905041,"{'att': 232, 'def': 17}","{'att': 251, 'def': 16}",6,10,2,3,1.7698,l,2022-09-03 14:00:00,0,0,1,0,-0.33726199999999995
h,1.41541,1.3496,1.41541,1.3496,"{'att': 306, 'def': 19}","{'att': 218, 'def': 18}",2,2,2,3,1.4134000000000002,l,2022-09-16 19:00:00,0,0,1,0,0.06581000000000015
a,1.22169,1.2497,1.22169,1.2497,"{'att': 280, 'def': 13}","{'att': 291, 'def': 29}",4,7,0,4,1.345,l,2022-10-03 19:00:00,0,0,1,0,-0.02801000000000009
h,0.221346,0.657187,0.221346,0.657187,"{'att': 278, 'def': 11}","{'att': 157, 'def': 22}",0,9,1,1,0.7877000000000001,d,2022-10-10 19:00:00,0,1,0,1,-0.435841
a,1.24761,1.22368,0.486443,0.462512,"{'att': 240, 'def': 25}","{'att': 168, 'def': 16}",3,5,0,1,1.3323,l,2022-10-15 14:00:00,0,0,1,0,0.023931000000000036
a,0.195003,2.10188,0.195003,2.10188,"{'att': 320, 'def': 16}","{'att': 132, 'def': 17}",1,15,0,0,0.1505,d,2022-10-18 18:30:00,0,1,0,1,-1.906877
h,2.50163,2.19752,2.50163,2.19752,"{'att': 372, 'def': 15}","{'att': 109, 'def': 20}",6,13,1,0,1.6084999999999998,w,2022-10-22 11:30:00,1,0,0,3,0.3041100000000001
a,0.206127,3.00699,0.206127,3.00699,"{'att': 315, 'def': 12}","{'att': 148, 'def': 19}",2,21,0,5,0.054400000000000004,l,2022-10-30 14:00:00,0,0,1,0,-2.800863
h,1.29696,1.2204,1.29696,0.459234,"{'att': 276, 'def': 17}","{'att': 187, 'def': 14}",10,6,2,2,1.3615,d,2022-11-05 15:00:00,0,1,0,1,0.837726
h,1.23752,1.14552,1.23752,0.384356,"{'att': 384, 'def': 15}","{'att': 164, 'def': 20}",4,3,1,0,1.4003,w,2022-11-12 15:00:00,1,0,0,3,0.853164
a,0.477076,2.13668,0.477076,2.13668,"{'att': 333, 'def': 8}","{'att': 131, 'def': 23}",2,22,0,3,0.2949,l,2022-12-27 20:00:00,0,0,1,0,-1.659604
h,0.985219,1.37305,0.985219,1.37305,"{'att': 463, 'def': 24}","{'att': 135, 'def': 22}",10,6,1,1,0.9858,d,2023-01-01 16:30:00,0,1,0,1,-0.38783100000000015
a,1.22324,0.62937,1.22324,0.62937,"{'att': 237, 'def': 20}","{'att': 128, 'def': 23}",4,4,1,0,1.9408000000000003,w,2023-01-04 19:30:00,1,0,0,3,0.5938700000000001
h,1.75313,0.803421,1.75313,0.803421,"{'att': 324, 'def': 19}","{'att': 186, 'def': 16}",6,3,2,0,2.102,w,2023-01-14 15:00:00,1,0,0,3,0.949709
a,1.57544,1.80549,1.57544,1.80549,"{'att': 170, 'def': 17}","{'att': 273, 'def': 14}",5,10,1,1,1.1899,d,2023-01-21 15:00:00,0,1,0,1,-0.2300500000000001
h,0.3325,1.12331,0.3325,1.12331,"{'att': 303, 'def': 21}","{'att': 100, 'def': 30}",1,7,1,0,0.5509999999999999,w,2023-02-05 14:00:00,1,0,0,3,-0.79081
a,0.686824,1.69704,0.686824,1.69704,"{'att': 229, 'def': 20}","{'att': 258, 'def': 23}",6,6,0,2,0.5786,l,2023-02-11 15:00:00,0,0,1,0,-1.0102160000000002
h,1.12735,2.80966,1.12735,2.80966,"{'att': 317, 'def': 8}","{'att': 127, 'def': 17}",1,16,1,1,0.22080000000000002,d,2023-02-18 15:00:00,0,1,0,1,-1.68231
a,0.350849,3.05032,0.350849,3.05032,"{'att': 191, 'def': 13}","{'att': 229, 'def': 22}",3,13,0,4,0.049699999999999994,l,2023-02-25 15:00:00,0,0,1,0,-2.699471
h,0.799733,1.70877,0.799733,0.947603,"{'att': 145, 'def': 21}","{'att': 261, 'def': 33}",5,12,2,2,0.593,d,2023-03-05 14:00:00,0,1,0,1,-0.14786999999999995
a,1.62805,1.73482,0.866885,0.973653,"{'att': 309, 'def': 19}","{'att': 210, 'def': 24}",6,10,1,3,1.2992,l,2023-03-11 15:00:00,0,0,1,0,-0.10676799999999997
h,0.531985,2.50027,0.531985,1.7391,"{'att': 238, 'def': 22}","{'att': 133, 'def': 27}",3,15,1,2,0.1872,l,2023-03-17 20:00:00,0,0,1,0,-1.207115
