h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.8591,0.235825,1.8591,0.235825,"{'att': 152, 'def': 25}","{'att': 200, 'def': 15}",24,2,2,0,2.5764000000000005,w,2022-08-06 14:00:00,1,0,0,3,1.623275
a,0.183952,1.60835,0.183952,1.60835,"{'att': 158, 'def': 17}","{'att': 151, 'def': 24}",2,15,0,0,0.2676,d,2022-08-13 14:00:00,0,1,0,1,-1.424398
h,2.2127,3.67382,2.2127,3.67382,"{'att': 350, 'def': 29}","{'att': 122, 'def': 18}",9,9,3,3,0.6023,d,2022-08-21 15:30:00,0,1,0,1,-1.4611200000000002
a,1.93362,1.13248,1.93362,1.13248,"{'att': 123, 'def': 13}","{'att': 246, 'def': 13}",13,3,1,1,1.9597999999999998,d,2022-08-28 13:00:00,0,1,0,1,0.80114
a,0.643546,1.76119,0.643546,1.76119,"{'att': 361, 'def': 17}","{'att': 119, 'def': 12}",2,13,1,2,0.5213,l,2022-08-31 19:00:00,0,0,1,0,-1.117644
h,2.90672,0.920595,2.90672,0.920595,"{'att': 208, 'def': 33}","{'att': 178, 'def': 15}",10,4,0,0,2.5724,d,2022-09-03 14:00:00,0,1,0,1,1.986125
h,1.54758,0.976948,0.786407,0.976948,"{'att': 123, 'def': 29}","{'att': 285, 'def': 14}",18,5,1,1,1.8407999999999998,d,2022-09-17 14:00:00,0,1,0,1,-0.19054100000000007
a,4.67198,0.683701,4.67198,0.683701,"{'att': 147, 'def': 18}","{'att': 354, 'def': 11}",17,5,4,1,2.9858,w,2022-10-01 14:00:00,1,0,0,3,3.9882789999999995
h,2.44631,1.13466,2.44631,0.373493,"{'att': 170, 'def': 22}","{'att': 183, 'def': 20}",9,4,5,1,2.3994,w,2022-10-08 14:00:00,1,0,0,3,2.072817
a,0.78815,1.41606,0.78815,1.41606,"{'att': 239, 'def': 18}","{'att': 153, 'def': 17}",9,8,0,0,0.7922,d,2022-10-16 13:00:00,0,1,0,1,-0.6279100000000001
h,1.13393,0.0609567,1.13393,0.0609567,"{'att': 249, 'def': 26}","{'att': 218, 'def': 20}",8,5,1,0,2.318,w,2022-10-19 18:30:00,1,0,0,3,1.0729733000000001
a,1.1294,1.56513,1.1294,1.56513,"{'att': 271, 'def': 18}","{'att': 204, 'def': 24}",11,7,2,1,1.0397,w,2022-10-23 15:30:00,1,0,0,3,-0.43572999999999995
h,4.18808,0.270814,3.42692,0.270814,"{'att': 193, 'def': 18}","{'att': 280, 'def': 16}",15,2,4,0,2.9801,w,2022-10-29 14:00:00,1,0,0,3,3.156106
a,1.42101,1.65228,1.42101,1.65228,"{'att': 214, 'def': 15}","{'att': 199, 'def': 22}",4,6,4,1,1.1618,w,2022-11-06 14:00:00,1,0,0,3,-0.23126999999999986
h,1.3601,0.359105,1.3601,0.359105,"{'att': 297, 'def': 35}","{'att': 235, 'def': 22}",7,2,1,0,2.2991,w,2022-11-12 17:30:00,1,0,0,3,1.000995
a,1.76382,0.31099,1.00265,0.31099,"{'att': 348, 'def': 15}","{'att': 209, 'def': 30}",5,4,3,0,2.5989000000000004,w,2022-12-26 15:00:00,1,0,0,3,0.69166
h,2.78846,0.517099,2.78846,0.517099,"{'att': 147, 'def': 23}","{'att': 209, 'def': 23}",9,4,0,0,2.7312999999999996,d,2022-12-31 15:00:00,0,1,0,1,2.271361
a,0.959523,0.970637,0.959523,0.970637,"{'att': 262, 'def': 22}","{'att': 112, 'def': 15}",4,9,0,0,1.356,d,2023-01-03 19:45:00,0,1,0,1,-0.011113999999999957
h,1.96256,0.989872,1.96256,0.228703,"{'att': 148, 'def': 24}","{'att': 221, 'def': 15}",13,3,1,0,2.1173,w,2023-01-15 14:00:00,1,0,0,3,1.733857
a,1.44384,0.333154,1.44384,0.333154,"{'att': 130, 'def': 19}","{'att': 244, 'def': 31}",13,3,0,0,2.3175999999999997,d,2023-01-21 17:30:00,0,1,0,1,1.110686
h,1.22883,1.27831,1.22883,1.27831,"{'att': 161, 'def': 20}","{'att': 275, 'def': 26}",6,4,1,1,1.3,d,2023-02-04 17:30:00,0,1,0,1,-0.04947999999999997
a,1.54853,1.54458,1.54853,1.54458,"{'att': 124, 'def': 27}","{'att': 310, 'def': 20}",6,4,1,1,1.332,d,2023-02-11 17:30:00,0,1,0,1,0.003949999999999898
h,1.74852,2.16549,1.74852,2.16549,"{'att': 412, 'def': 10}","{'att': 184, 'def': 26}",5,7,0,2,1.0993,l,2023-02-18 17:30:00,0,0,1,0,-0.41697000000000006
a,0.359809,1.34144,0.359809,1.34144,"{'att': 320, 'def': 22}","{'att': 232, 'def': 22}",7,12,0,2,0.5315000000000001,l,2023-03-04 12:30:00,0,0,1,0,-0.9816309999999999
h,2.45527,0.709895,2.45527,0.709895,"{'att': 245, 'def': 23}","{'att': 144, 'def': 11}",12,3,2,1,2.5222,w,2023-03-12 16:30:00,1,0,0,3,1.7453750000000001
a,2.50027,0.531985,1.7391,0.531985,"{'att': 133, 'def': 27}","{'att': 238, 'def': 22}",15,3,2,1,2.7075,w,2023-03-17 20:00:00,1,0,0,3,1.207115
h,3.33162,0.334127,3.33162,0.334127,"{'att': 249, 'def': 34}","{'att': 162, 'def': 26}",11,5,2,0,2.9128000000000003,w,2023-04-02 15:30:00,1,0,0,3,2.997493
a,2.84091,0.83342,2.84091,0.83342,"{'att': 159, 'def': 25}","{'att': 278, 'def': 24}",11,3,5,1,2.6578,w,2023-04-05 19:00:00,1,0,0,3,2.0074899999999998
a,1.02337,2.06521,1.02337,0.542871,"{'att': 148, 'def': 27}","{'att': 201, 'def': 16}",9,5,2,1,0.5442,w,2023-04-08 14:00:00,1,0,0,3,0.4804989999999999
a,0.425086,1.91802,0.425086,1.91802,"{'att': 219, 'def': 38}","{'att': 188, 'def': 27}",6,12,0,3,0.317,l,2023-04-15 11:30:00,0,0,1,0,-1.492934
h,3.98532,0.883001,3.98532,0.883001,"{'att': 241, 'def': 17}","{'att': 255, 'def': 18}",12,2,6,1,2.8387999999999995,w,2023-04-23 13:00:00,1,0,0,3,3.102319
a,2.86368,0.777008,2.86368,0.777008,"{'att': 126, 'def': 14}","{'att': 250, 'def': 22}",9,6,4,1,2.7298,w,2023-04-27 18:45:00,1,0,0,3,2.086672
h,3.91457,0.897175,3.91457,0.897175,"{'att': 152, 'def': 25}","{'att': 261, 'def': 17}",12,4,3,1,2.9389,w,2023-04-30 13:00:00,1,0,0,3,3.017395
h,1.37224,1.29061,1.37224,1.29061,"{'att': 197, 'def': 24}","{'att': 207, 'def': 26}",11,8,0,2,1.4103,l,2023-05-07 15:30:00,0,0,1,0,0.08162999999999987
a,2.35118,2.01567,0.82884,1.2545,"{'att': 105, 'def': 29}","{'att': 221, 'def': 28}",9,5,2,2,1.613,d,2023-05-13 11:30:00,0,1,0,1,-0.4256599999999999
h,4.11359,0.593493,4.11359,0.593493,"{'att': 343, 'def': 37}","{'att': 119, 'def': 17}",15,2,4,1,2.932,w,2023-05-18 18:30:00,1,0,0,3,3.5200970000000003
h,2.05089,0.0839072,2.05089,0.0839072,"{'att': 67, 'def': 16}","{'att': 316, 'def': 11}",13,0,0,0,2.7851000000000004,d,2023-05-22 19:00:00,0,1,0,1,1.9669827999999998
a,1.51899,2.01924,1.51899,2.01924,"{'att': 294, 'def': 18}","{'att': 195, 'def': 29}",5,17,1,1,1.0561,d,2023-05-28 15:30:00,0,1,0,1,-0.5002499999999999
